instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel,cpuLbCopy
Kirlik14-ILP_p-4_n-20_m-10_ins-7.dat,4,20,WLP,breadth,noOB,med,1,312,1143.75,5112787,0.0071468,853.421,246.571,108105,5,36,19.9917,26112,477,27464,2.8983,0.744515,1113.68,0.0224776,18.6007,0.0576815,17.4316
Kirlik14-ILP_p-4_n-20_m-10_ins-7.dat,4,20,WLP,breadth,noOB,mofv,1,312,1509.32,6138048,0.0130694,1121.73,336.23,104033,5,39,20.9243,25786,565,25666,2.80645,0.915616,1473.55,0.0220572,22.5769,0.0707904,21.3613
Kirlik14-ILP_p-4_n-20_m-10_ins-7.dat,4,20,WLP,breadth,noOB,rand,1,312,1239.54,5100781,0.0112198,932.05,259.636,100315,5,49,24.6657,26576,557,23025,3.32077,0.823673,1205.65,0.0216465,20.8935,0.0505833,19.8308
Kirlik14-ILP_p-4_n-20_m-10_ins-8.dat,4,20,WLP,breadth,noOB,med,1,243,423.226,2031261,0.0065119,319.221,84.4782,67417,4,35,20.4294,22365,620,10724,1.38544,0.311392,409.936,0.0129234,7.9653,0.028341,7.47
Kirlik14-ILP_p-4_n-20_m-10_ins-8.dat,4,20,WLP,breadth,noOB,mofv,1,243,373.479,1804173,0.0052247,278.941,77.8536,53395,4,36,21.6898,17689,576,8433,0.984887,0.275087,362.077,0.0102272,6.9664,0.0232626,6.56511
Kirlik14-ILP_p-4_n-20_m-10_ins-8.dat,4,20,WLP,breadth,noOB,rand,1,243,392.733,1850928,0.002586,295.161,79.398,56759,3,41,24.1277,18859,600,8921,1.05594,0.292942,380.089,0.0110432,7.79673,0.0245493,7.37674
Kirlik14-ILP_p-4_n-20_m-10_ins-9.dat,4,20,WLP,breadth,noOB,med,1,174,61.8089,301586,0.0022513,46.9332,11.3861,17047,2,29,18.8674,6363,106,2055,0.100305,0.0546222,59.4868,0.0026826,1.45186,0.0057563,1.34948
Kirlik14-ILP_p-4_n-20_m-10_ins-9.dat,4,20,WLP,breadth,noOB,mofv,1,174,50.1547,262442,0.0033961,36.8465,10.478,11695,2,32,19.8712,4355,162,1331,0.068729,0.0468344,48.2203,0.0019871,1.23453,0.0041675,1.16456
Kirlik14-ILP_p-4_n-20_m-10_ins-9.dat,4,20,WLP,breadth,noOB,rand,1,174,50.6361,251458,0.002078,36.9987,10.6264,10883,2,37,22.172,4053,166,1223,0.09251,0.0543731,48.4892,0.0018603,1.36467,0.0038921,1.29495
Kirlik14-ILP_p-4_n-30_m-15_ins-1.dat,4,30,WLP,breadth,noOB,med,1,60,496.775,2060507,0.0157531,374.936,101.593,56875,4,38,22.3087,22731,237,5470,0.351299,0.305806,483.587,0.0107392,8.56233,0.0240865,7.97481
Kirlik14-ILP_p-4_n-30_m-15_ins-1.dat,4,30,WLP,breadth,noOB,mofv,1,60,419.605,1821784,0.0081235,313.168,89.1148,47169,4,42,23.7202,18319,197,5069,0.300684,0.263051,408.33,0.0090279,7.3351,0.020441,6.87759
Kirlik14-ILP_p-4_n-30_m-15_ins-1.dat,4,30,WLP,breadth,noOB,rand,1,60,438.704,1922587,0.0051208,319.74,98.8205,48557,2,47,26.7369,19464,186,4629,0.36385,0.315439,424.983,0.0093859,8.98321,0.0216807,8.45847
Kirlik14-ILP_p-4_n-30_m-15_ins-2.dat,4,30,WLP,breadth,noOB,med,0,104,3600.06,10230260,0.0614563,2804.06,677.849,96378,6,20,17.7324,26785,63,12160,1.75349,1.6186,3519.15,0.0270036,45.2211,9.11463,42.4762
Kirlik14-ILP_p-4_n-30_m-15_ins-2.dat,4,30,WLP,breadth,noOB,mofv,0,120,3600.07,10362674,0.0766883,2871.69,633.887,107566,6,23,19.2472,31885,89,14163,2.01564,1.59695,3534.92,0.0285009,43.0096,1.38073,40.541
Kirlik14-ILP_p-4_n-30_m-15_ins-2.dat,4,30,WLP,breadth,noOB,rand,0,125,3600.07,10743612,0.043333,2825.34,669.754,128611,3,29,23.3341,41898,125,16005,2.4236,1.86603,3525.61,0.0318562,50.3451,0.380771,47.5941
Kirlik14-ILP_p-4_n-30_m-15_ins-3.dat,4,30,WLP,breadth,noOB,med,0,87,3600.11,13837425,0.0446241,2183.73,1249.6,51431,5,17,15.0635,6693,35,5674,1.34274,2.51304,3483.98,0.0208037,70.7014,19.8064,66.6527
Kirlik14-ILP_p-4_n-30_m-15_ins-3.dat,4,30,WLP,breadth,noOB,mofv,0,70,3600.15,12825172,0.0660008,2276.99,1173.39,47042,6,17,15.3062,6731,24,6200,1.16611,2.28933,3496.36,0.0180599,63.4185,16.8835,59.9928
Kirlik14-ILP_p-4_n-30_m-15_ins-3.dat,4,30,WLP,breadth,noOB,rand,0,60,3600.08,12841723,0.0532823,2315.82,1101.4,69906,2,22,19.2744,14226,41,9978,1.33553,2.75666,3471.44,0.0230745,73.7358,19.9147,69.9193
Kirlik14-ILP_p-4_n-30_m-15_ins-4.dat,4,30,WLP,breadth,noOB,med,0,204,3600.08,11002410,0.0708215,2756.77,690.092,121743,6,19,16.9453,29480,131,16183,4.47652,2.16327,3496.23,0.0355801,49.423,19.2366,46.3481
Kirlik14-ILP_p-4_n-30_m-15_ins-4.dat,4,30,WLP,breadth,noOB,mofv,0,244,3600.2,11188569,0.0963044,2773.31,695.829,128895,6,22,18.6649,34740,175,17568,5.68598,1.89035,3509.73,0.0361586,50.0233,9.27347,47.1855
Kirlik14-ILP_p-4_n-30_m-15_ins-4.dat,4,30,WLP,breadth,noOB,rand,0,156,3600.07,8353028,0.0410957,1618.32,4099.03,100921,4,24,20.8545,30266,126,10600,2.25954,1.54754,5743.17,0.0274385,42.5719,2.84555,40.2431
Kirlik14-ILP_p-4_n-30_m-15_ins-5.dat,4,30,WLP,breadth,noOB,med,1,258,2294.01,7182372,0.0312711,1858.06,374.678,121683,4,42,22.7076,34995,485,25362,2.67182,1.1174,2254.12,0.0256879,24.8894,0.0724813,23.1924
Kirlik14-ILP_p-4_n-30_m-15_ins-5.dat,4,30,WLP,breadth,noOB,mofv,1,258,2123.96,7109888,0.0323583,1666.06,397.099,102865,4,44,23.8855,28795,496,22142,2.41962,1.14389,2083.78,0.0223434,25.4965,0.108643,23.9587
Kirlik14-ILP_p-4_n-30_m-15_ins-5.dat,4,30,WLP,breadth,noOB,rand,1,258,3030.93,8916058,0.0415338,2422.82,524.453,123293,3,55,28.2146,37876,522,23249,2.76083,1.63536,2973.33,0.0277363,36.8962,0.0791117,34.7742
Kirlik14-ILP_p-4_n-30_m-15_ins-6.dat,4,30,WLP,breadth,noOB,med,1,39,51.3484,248470,0.0084529,39.5581,9.19088,10491,2,39,21.9276,3760,101,1385,0.0356229,0.0352095,49.8096,0.0017885,1.00146,0.00354692,0.931542
Kirlik14-ILP_p-4_n-30_m-15_ins-6.dat,4,30,WLP,breadth,noOB,mofv,1,39,50.9844,248988,0.0050111,39.1526,9.27568,10217,2,41,22.2584,3558,101,1450,0.0359731,0.0356131,49.4643,0.00172464,1.00403,0.0034119,0.938552
Kirlik14-ILP_p-4_n-30_m-15_ins-6.dat,4,30,WLP,breadth,noOB,rand,1,39,52.8058,257201,0.0019539,40.2672,9.74258,10775,2,44,24.0351,4028,95,1265,0.0321603,0.0392018,51.1008,0.00184161,1.12657,0.0035927,1.05719
Kirlik14-ILP_p-4_n-30_m-15_ins-7.dat,4,30,WLP,breadth,noOB,med,1,297,1135.85,4293595,0.0173367,856.18,234.293,96831,3,45,25.3592,35795,537,12084,2.54266,0.799757,1104.42,0.0203556,19.4068,0.0485214,18.1315
Kirlik14-ILP_p-4_n-30_m-15_ins-7.dat,4,30,WLP,breadth,noOB,mofv,1,297,1025.45,4105074,0.0150729,756.528,226.801,83297,3,47,26.1321,29860,579,11210,2.35894,0.761823,996.107,0.0175175,18.1275,0.04276,17.0478
Kirlik14-ILP_p-4_n-30_m-15_ins-7.dat,4,30,WLP,breadth,noOB,rand,1,297,1227.72,4762288,0.0212857,902.086,273.765,94813,4,52,27.8733,34985,581,11841,2.29816,0.943921,1191.01,0.0203227,23.1274,0.0512415,21.8117
Kirlik14-ILP_p-4_n-30_m-15_ins-8.dat,4,30,WLP,breadth,noOB,med,0,14,3600.3,12043484,0.0596367,2204.21,1252.18,30356,6,15,13.8855,4859,3,474,0.455267,2.19234,3496.89,0.0146374,66.4153,13.5776,62.6535
Kirlik14-ILP_p-4_n-30_m-15_ins-8.dat,4,30,WLP,breadth,noOB,mofv,0,25,3600.06,12203484,0.070671,2202.35,1254.12,32328,5,16,14.3967,5982,14,405,0.454286,2.18288,3497.56,0.0144476,65.144,13.6977,61.6064
Kirlik14-ILP_p-4_n-30_m-15_ins-8.dat,4,30,WLP,breadth,noOB,rand,0,31,3600.04,12621788,0.0665666,2237.45,1182.18,61557,4,21,18.2007,17098,34,2743,0.768773,2.59221,3469.22,0.0219213,74.0158,17.261,70.105
Kirlik14-ILP_p-4_n-30_m-15_ins-9.dat,4,30,WLP,breadth,noOB,rand,0,42,3600.04,5212252,0.0173409,1063,3875.36,71164,2,27,21.6171,22043,82,10561,0.604747,0.820523,4952.83,0.016974,21.6664,0.0448722,20.4516
Kirlik14-ILP_p-5_n-10_m-5_ins-1.dat,5,10,WLP,breadth,noOB,med,1,132,2.84858,15876,0.0030127,1.98353,0.648083,2155,5,16,11.5315,756,195,127,0.00667702,0.0160861,2.69745,0.000263612,0.0760188,0.0003475,0.0705083
Kirlik14-ILP_p-5_n-10_m-5_ins-1.dat,5,10,WLP,breadth,noOB,mofv,1,132,3.04889,16352,0.0018524,1.88323,0.959275,1827,2,18,13.0711,590,172,152,0.0103601,0.0137002,2.90046,0.000219201,0.0830047,0.000270593,0.0778734
Kirlik14-ILP_p-5_n-10_m-5_ins-1.dat,5,10,WLP,breadth,noOB,rand,1,132,3.54154,16926,0.0024263,2.10796,1.21,1803,3,22,14.3581,578,180,144,0.0129926,0.0137405,3.37819,0.000229099,0.09149,0.000281815,0.0868909
Kirlik14-ILP_p-5_n-10_m-5_ins-10.dat,5,10,WLP,breadth,noOB,med,1,376,18.7667,77688,0.0024096,10.2596,7.4057,5867,5,23,13.9945,1574,603,757,0.216583,0.0902138,17.8962,0.000885768,0.379031,0.00116908,0.360508
Kirlik14-ILP_p-5_n-10_m-5_ins-10.dat,5,10,WLP,breadth,noOB,mofv,1,376,16.433,63533,0.0025795,7.64003,7.93023,4209,4,25,16.3477,933,657,515,0.125034,0.0816125,15.7512,0.000614458,0.322553,0.000851451,0.308318
Kirlik14-ILP_p-5_n-10_m-5_ins-10.dat,5,10,WLP,breadth,noOB,rand,1,376,34.3163,102366,0.0019384,13.3347,19.3842,5125,3,29,19.0538,1409,570,584,0.239969,0.088387,32.9982,0.000825761,0.69881,0.00122954,0.677108
Kirlik14-ILP_p-5_n-10_m-5_ins-2.dat,5,10,WLP,breadth,noOB,med,1,99,13.6298,55542,0.0020326,7.25444,5.81077,3691,5,19,12.8239,1228,230,388,0.0260105,0.0211706,13.2178,0.000486446,0.24595,0.00070529,0.233814
Kirlik14-ILP_p-5_n-10_m-5_ins-2.dat,5,10,WLP,breadth,noOB,mofv,1,99,11.4632,47765,0.0019887,6.24036,4.73945,3115,3,21,14.5693,964,209,385,0.0232382,0.0148216,11.1117,0.000412214,0.209593,0.000619992,0.199931
Kirlik14-ILP_p-5_n-10_m-5_ins-2.dat,5,10,WLP,breadth,noOB,rand,1,99,12.6346,50184,0.0019494,6.28472,5.79115,2897,3,23,16.2243,909,189,351,0.0206422,0.0143481,12.2135,0.000383077,0.267349,0.000633496,0.257464
Kirlik14-ILP_p-5_n-10_m-5_ins-3.dat,5,10,WLP,breadth,noOB,med,1,273,15.4805,58170,0.0019449,7.59384,7.06228,4159,5,20,13.7322,1415,369,296,0.101117,0.0956865,14.8257,0.000655122,0.30732,0.000863092,0.293045
Kirlik14-ILP_p-5_n-10_m-5_ins-3.dat,5,10,WLP,breadth,noOB,mofv,1,273,14.6918,51225,0.0020201,6.73639,7.21346,3139,4,21,14.6401,954,376,240,0.0953098,0.0848556,14.0932,0.000469717,0.281203,0.000669946,0.269843
Kirlik14-ILP_p-5_n-10_m-5_ins-3.dat,5,10,WLP,breadth,noOB,rand,1,273,14.6202,48617,0.0018886,6.29834,7.57361,3003,3,30,19.2297,907,377,218,0.0959783,0.0700972,14.0092,0.000456725,0.305435,0.000625506,0.294612
Kirlik14-ILP_p-5_n-10_m-5_ins-4.dat,5,10,WLP,breadth,noOB,med,1,167,8.12755,35838,0.0019724,4.65155,3.05186,2973,3,19,13.2636,1120,252,115,0.0133662,0.0268993,7.81365,0.00036607,0.181339,0.000538382,0.172231
Kirlik14-ILP_p-5_n-10_m-5_ins-4.dat,5,10,WLP,breadth,noOB,mofv,1,167,9.41659,33980,0.0023866,4.47577,4.54157,2141,2,22,15.3305,729,218,124,0.0184441,0.0220234,9.11263,0.000292992,0.178226,0.000390013,0.170909
Kirlik14-ILP_p-5_n-10_m-5_ins-4.dat,5,10,WLP,breadth,noOB,rand,1,167,9.94298,36553,0.0019315,4.77759,4.69452,2465,3,24,15.854,878,258,97,0.0143868,0.0226222,9.57792,0.000322195,0.223383,0.000482963,0.215258
Kirlik14-ILP_p-5_n-10_m-5_ins-5.dat,5,10,WLP,breadth,noOB,med,1,473,21.325,91900,0.0019523,12.1995,7.84119,7387,4,24,14.9031,2203,1024,467,0.152669,0.159904,20.3204,0.00110208,0.473136,0.0014622,0.448768
Kirlik14-ILP_p-5_n-10_m-5_ins-5.dat,5,10,WLP,breadth,noOB,mofv,1,473,14.64,64058,0.0018523,8.19688,5.45059,5819,3,27,16.5948,1388,1155,367,0.127287,0.153412,13.8579,0.000814796,0.340451,0.00112206,0.322075
Kirlik14-ILP_p-5_n-10_m-5_ins-5.dat,5,10,WLP,breadth,noOB,rand,1,473,23.22,93285,0.0019373,11.9027,9.98797,6709,1,28,18.5711,1939,867,549,0.161035,0.127972,22.1625,0.000940903,0.525856,0.00134524,0.504304
Kirlik14-ILP_p-5_n-10_m-5_ins-6.dat,5,10,WLP,breadth,noOB,med,1,55,2.79572,14300,0.0019647,1.82157,0.834416,1231,3,19,12.4513,421,84,111,0.00253133,0.00439229,2.70046,0.000145704,0.0568029,0.000189484,0.0533451
Kirlik14-ILP_p-5_n-10_m-5_ins-6.dat,5,10,WLP,breadth,noOB,mofv,1,55,2.79789,13912,0.0019103,1.77733,0.882462,1129,2,20,12.885,378,79,108,0.00256488,0.00411553,2.70213,0.00013539,0.0571849,0.000180962,0.0540191
Kirlik14-ILP_p-5_n-10_m-5_ins-6.dat,5,10,WLP,breadth,noOB,rand,1,55,2.67873,13449,0.0020463,1.71904,0.816195,1109,1,22,14.2829,375,80,100,0.00309641,0.003712,2.57697,0.000134708,0.0615716,0.000188079,0.0585657
Kirlik14-ILP_p-5_n-10_m-5_ins-7.dat,5,10,WLP,breadth,noOB,med,1,22,2.20903,8830,0.0019315,1.18677,0.943974,431,3,15,10.5602,148,28,40,0.000621792,0.0011273,2.15379,5.2697e-05,0.0348349,7.1618e-05,0.0332696
Kirlik14-ILP_p-5_n-10_m-5_ins-7.dat,5,10,WLP,breadth,noOB,mofv,1,22,1.99629,8095,0.0019636,1.08494,0.838014,393,3,16,10.8832,129,26,42,0.000645508,0.00105239,1.94419,4.9008e-05,0.0330123,6.0004e-05,0.0315805
Kirlik14-ILP_p-5_n-10_m-5_ins-7.dat,5,10,WLP,breadth,noOB,rand,1,22,2.99474,11461,0.002201,1.5457,1.33022,555,1,18,12.1367,201,34,43,0.000855079,0.00134591,2.90672,6.8094e-05,0.0560339,0.000100094,0.0540646
Kirlik14-ILP_p-5_n-10_m-5_ins-8.dat,5,10,WLP,breadth,noOB,med,1,52,9.44578,33720,0.0026009,4.58136,4.53647,1611,3,19,12.6079,538,105,163,0.00699199,0.0072853,9.20395,0.000202807,0.152757,0.000317787,0.146312
Kirlik14-ILP_p-5_n-10_m-5_ins-8.dat,5,10,WLP,breadth,noOB,mofv,1,52,10.68,33928,0.0019282,4.65943,5.69128,1371,1,22,14.5933,445,85,156,0.0069277,0.00648879,10.434,0.000189283,0.158186,0.000295016,0.152419
