instance,p,n,solved,cpu,YN
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_10_10.lp,3,30,1,52.6067,797
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_1_1.lp,3,30,1,3.46697,94
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_2_2.lp,3,30,1,7.13744,150
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_3_3.lp,3,30,1,15.3864,328
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_4_4.lp,3,30,1,14.7959,412
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_5_5.lp,3,30,1,11.2194,418
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_6_6.lp,3,30,1,44.4849,1232
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_7_7.lp,3,30,1,4.38254,176
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_8_8.lp,3,30,1,110.182,2136
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_9_9.lp,3,30,1,5.51848,203
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_10_10.lp,3,33,1,45.5361,1118
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_1_1.lp,3,33,1,19.7105,657
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_2_2.lp,3,33,1,16.0565,404
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_3_3.lp,3,33,1,13.1098,436
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_4_4.lp,3,33,1,131.207,2478
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_5_5.lp,3,33,1,13.1668,474
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_6_6.lp,3,33,1,33.8561,958
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_7_7.lp,3,33,1,27.8633,824
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_8_8.lp,3,33,1,4.17916,153
Forget21-PPP_11_3_1-100_1-100_1-2500_1_50_random_9_9.lp,3,33,1,157.083,3336
Forget21-PPP_7_4_1-100_1-100_1-2500_1_50_random_10_10.lp,4,21,1,29.8923,188
