instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel,cpuLbCopy
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_10_10.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,797,3.26094,18560,0.0005729,2.6105,0.108922,4559,1,38,24.7868,213,1048,1019,0.0963049,0.0255504,3.03842,0.0005822,0.0630321,0.0007272,0.0478767
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_1_1.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,94,0.612115,3470,0.0007112,0.528007,0.028227,419,1,29,13.6905,17,51,142,0.0024755,0.001447,0.589667,5.5e-05,0.0075237,6.46e-05,0.0061052
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_2_2.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,150,0.680134,3579,0.0013932,0.576603,0.0320346,535,1,33,16.4701,5,159,104,0.0043587,0.0024728,0.65564,7.51e-05,0.0100716,0.0001081,0.0080401
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_3_3.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,328,1.94117,11524,0.000853,1.61156,0.0740233,2421,1,41,23.0091,262,253,696,0.0244052,0.0073759,1.85278,0.0003529,0.0339552,0.0003232,0.0267349
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_4_4.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,412,1.3443,6878,0.0005701,1.10275,0.0480782,1557,1,34,22.4968,100,445,234,0.0238395,0.0085176,1.27185,0.0002284,0.0233023,0.0002769,0.0179149
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_5_5.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,418,1.25109,8008,0.0005837,1.02665,0.0516578,1671,1,43,24.9486,71,506,259,0.0172896,0.0058874,1.18985,0.0002053,0.0222944,0.0001892,0.0174099
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_6_6.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,1232,7.53516,45685,0.0006356,5.64465,0.251728,13331,1,50,31.261,1609,2058,2999,0.432064,0.0638826,6.76774,0.0021432,0.169564,0.0020391,0.131062
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_7_7.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,176,0.997453,6277,0.0005813,0.829625,0.0422142,1221,1,36,21.581,73,248,290,0.0071713,0.0038992,0.956648,0.0001276,0.017285,0.0001565,0.0136654
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_8_8.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,2136,6.7911,38943,0.0006831,5.07723,0.20028,11387,1,47,26.516,941,2727,2026,0.484735,0.0846216,6.00229,0.001779,0.14074,0.0017298,0.106148
Forget21-PPP_10_3_1-100_1-100_1-2500_1_50_random_9_9.txt,3,30,WLP,breadth,noOB,mofvRevisited2,1,203,1.18214,7201,0.0005823,1.00182,0.0452406,1401,1,38,21.7389,102,287,312,0.0057033,0.0035129,1.14104,0.0001566,0.0184649,0.0001727,0.014521
Forget21-PPP_10_5_1-100_1-100_1-2500_1_50_random_10_10.txt,5,30,WLP,breadth,noOB,mofvRevisited2,1,554,7.00007,27190,0.0008479,3.62927,0.886806,4191,1,42,24.3583,560,717,819,1.97666,0.0217428,4.82124,0.0009975,0.114703,0.0009466,0.1015
Forget21-PPP_10_5_1-100_1-100_1-2500_1_50_random_1_1.txt,5,30,WLP,breadth,noOB,mofvRevisited2,1,561,2.56935,13490,0.0008265,1.68699,0.267696,2333,1,36,22.4996,157,645,365,0.360712,0.0112302,2.1188,0.0004385,0.0488412,0.0004151,0.0418876
Forget21-PPP_10_5_1-100_1-100_1-2500_1_50_random_2_2.txt,5,30,WLP,breadth,noOB,mofvRevisited2,1,1393,20.6508,55975,0.0008673,7.33889,1.2073,9845,1,45,24.2375,1001,1478,2444,10.8327,0.101791,9.28526,0.0034822,0.270204,0.0026443,0.232787
Forget21-PPP_10_5_1-100_1-100_1-2500_1_50_random_3_3.txt,5,30,WLP,breadth,noOB,mofvRevisited2,1,61,1.5374,7130,0.0008866,1.08547,0.382512,347,1,20,11.4195,1,73,100,0.005873,0.0014791,1.50203,4.85e-05,0.0167409,6.39e-05,0.0154141
Forget21-PPP_10_5_1-100_1-100_1-2500_1_50_random_4_4.txt,5,30,WLP,breadth,noOB,mofvRevisited2,1,8592,973.619,339362,0.0008898,46.277,8.00425,69333,1,60,33.5092,7395,12186,15086,905.605,4.80143,59.9087,0.0586409,2.00557,0.0199636,1.66026
Forget21-PPP_10_5_1-100_1-100_1-2500_1_50_random_5_5.txt,5,30,WLP,breadth,noOB,mofvRevisited2,1,776,8.76927,42445,0.0009055,5.8685,1.24908,6967,1,41,23.5766,681,1190,1613,0.856882,0.0384621,7.60995,0.0011741,0.169956,0.0013826,0.148049
Forget21-PPP_10_5_1-100_1-100_1-2500_1_50_random_8_8.txt,5,30,WLP,breadth,noOB,mofvRevisited2,1,367,3.23348,17490,0.000969,2.38668,0.43939,2241,1,34,18.8483,173,314,634,0.145554,0.0094722,2.98779,0.0003812,0.0556802,0.0004075,0.0485345
Forget21-PPP_10_5_1-100_1-100_1-2500_1_50_random_9_9.txt,5,30,WLP,breadth,noOB,mofvRevisited2,1,2184,24.7905,63151,0.000862,8.41539,1.75158,10793,1,46,24.5811,981,2304,2112,13.1307,0.18606,10.9818,0.005156,0.316027,0.0031386,0.272581
