depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,45,54,45,54,45,54,0.00273,0.0154473,0,45,11,0,0
1,2,1,45,54,45,54,45,54,0.0044336,0.0141329,0,45,11,0,0
2,2,0,43,51.5,38,45,48,48,0.0117188,0.0342134,0,43,10,0,0
3,4,0,43,51.5,38,38,48,48,0.0249844,0.0703275,0,43,10,0,0
4,8,0,43,51.5,38,38,48,48,0.0361289,0.12226,0,43,10,0,0
5,16,0,35,41,25,25,48,48,0.0528289,0.18013,0,35,8,0,0
6,32,0,35,41,25,25,48,48,0.0942541,0.337967,0,35,8,0,0
7,64,0,29.625,34.375,18,18,46,46,0.13399,0.531466,2,28,6,0,0
8,64,0,22.1094,25.5625,11,11,47,47,0.0809117,0.33657,1,20,4,0,0
9,38,0,17.6053,20.4737,9,9,43,43,0.0280592,0.142309,1,15,3,0,0
10,34,0,15.7647,17.4706,5,5,38,38,0.0198339,0.097036,1,11,3,0,0
11,14,0,11,12,11,11,11,12,0.0006052,0.0100983,1,2,2,0,0
12,20,0,11,12,11,11,11,12,0.0008762,0.0143607,1,2,2,0,0
13,28,0,11,12,11,11,11,12,0.0012372,0.0218356,1,2,2,0,0
14,46,0,6.43478,7.43478,5,5,11,12,0.0018284,0.0277043,2,2,1,0,0
15,18,0,8.33333,9.33333,5,5,11,11,0.0007525,0.0122413,2,2,1,0,0
16,16,0,5,6,5,5,5,6,0.0005802,0.0086698,3,2,1,0,0
