depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,39,53,39,53,39,53,0.001133,0.0143949,0,39,14,0,0,0
1,2,1,39,53,39,53,39,53,0.0013548,0.0103001,0,39,14,0,0,0
2,2,0,39,53,39,39,39,53,0.0038031,0.0255589,0,39,14,0,0,0
3,4,0,39,53,39,39,39,53,0.0078319,0.053572,0,39,14,0,0,0
4,8,0,38.5,52.5,36,36,41,49,0.0191946,0.120275,0,38,14,0,0,0
5,16,0,34.5,46.75,25,25,41,49,0.0267605,0.167977,0,33,12,0,0,0
6,32,0,28.25,37.875,17,17,41,41,0.0362166,0.241732,0,27,9,0,0,0
7,64,0,25.3125,33.875,13,13,39,39,0.0631141,0.451491,0,24,8,0,0,0
8,128,0,22.9688,30.625,10,10,37,37,0.105185,0.761981,1,22,7,0,0,0
9,234,0,19.4829,25.7265,7,7,35,35,0.135305,1.04372,1,17,6,0,0,1
10,346,0,17.4249,22.9133,7,7,35,35,0.152158,1.25567,1,14,5,0,0,2
11,464,0,16.2845,21.4698,4,4,35,35,0.176322,1.52728,1,13,5,0,0,5
12,464,0,17.9569,23.7651,7,7,35,35,0.100184,0.931344,3,7,5,0,0,5
13,474,22,17.9513,23.7721,7,7,35,35,0.0946618,0.878372,3,7,5,0,0,5
14,590,44,17.7967,23.5531,4,4,35,35,0.11396,1.04393,3,6,5,0,0,5
15,778,38,17.4838,23.1257,4,4,35,35,0.143157,1.41097,3,6,5,0,0,5
16,1078,40,17.1127,22.6416,4,4,35,35,0.190531,1.9655,3,6,5,0,0,5
17,1486,57,16.739,22.1428,4,4,35,35,0.241677,2.69023,3,6,5,0,0,5
18,1958,58,16.4074,21.6911,4,4,35,35,0.304852,3.69368,3,6,5,0,0,5
19,2490,102,15.9384,21.0456,4,4,35,35,0.356788,4.67148,3,5,5,0,0,5
20,3088,146,15.1764,19.9823,4,4,35,35,0.395585,5.92144,3,5,4,0,0,4
21,3784,218,14.5381,19.0822,4,4,35,35,0.434736,7.61544,2,5,4,0,0,4
22,4550,312,13.7437,17.9696,4,4,35,35,0.464426,9.84661,2,4,4,0,0,4
23,5292,376,12.9827,16.9146,4,4,34,34,0.491711,13.0086,2,4,3,0,0,3
24,6252,443,12.419,16.1394,4,4,34,34,0.533075,18.5992,2,4,3,0,0,3
25,7532,517,11.8241,15.3357,4,4,30,30,0.604847,27.5626,2,4,3,0,0,3
26,8890,711,11.3241,14.6676,4,4,30,30,0.654472,38.5623,2,4,3,0,0,3
27,10654,863,10.8306,14.0123,4,4,30,30,0.730107,54.9539,2,3,3,0,0,3
28,12888,982,10.4352,13.4924,4,4,28,28,0.845121,77.3946,2,3,3,0,0,3
29,15342,1172,10.1268,13.0868,4,4,28,28,0.960535,106.365,2,3,2,0,0,2
30,17640,1380,9.79416,12.6504,4,4,24,24,1.0516,135.936,2,3,2,0,0,2
31,19754,1579,9.49365,12.2569,4,4,24,24,1.11589,167.023,2,3,2,0,0,2
32,21618,1845,9.2074,11.8805,4,4,24,24,1.15406,196.693,2,3,2,0,0,2
33,22848,1974,8.97954,11.5804,4,4,23,23,1.16443,221.446,2,3,2,0,0,2
34,23580,2145,8.80107,11.3457,4,4,23,23,1.15133,245.735,2,3,2,0,0,2
35,23872,2179,8.62725,11.1186,4,4,22,22,1.12923,265.021,2,2,2,0,0,2
36,23468,2096,8.47024,10.9136,4,4,22,22,1.08921,277.77,2,2,2,0,0,2
37,22578,2055,8.33445,10.7366,4,4,22,22,1.01818,280.232,2,2,2,0,0,2
38,21258,1876,8.21556,10.582,4,4,22,22,0.940944,278.358,2,2,2,0,0,2
39,19714,1718,8.06329,10.3831,4,4,17,17,0.846171,267.747,2,2,2,0,0,2
40,17768,1529,7.9375,10.2198,4,4,17,17,0.742476,253.125,2,2,2,0,0,2
41,15848,1277,7.80578,10.048,4,4,17,17,0.646221,236.938,2,2,2,0,0,2
42,13888,1104,7.69454,9.90277,4,4,17,17,0.552492,216,2,2,2,0,0,2
43,10768,847,7.45923,9.59268,4,4,17,17,0.40234,170.474,2,2,2,0,0,2
