depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,25,33,25,33,25,33,0.0003989,0.0127061,0,25,16
1,2,1,12.5,33,25,33,25,33,0.0005479,0.0091144,0,25,16
2,2,0,25,66,25,25,25,33,0.0009575,0.0180308,0,25,16
3,4,0,23,122,21,21,25,28,0.0029071,0.0419825,0,23,14
4,8,0,21.75,232,20,20,25,28,0.0030356,0.0569029,0,21,13
5,16,0,20.75,442,17,17,28,28,0.0063255,0.112685,0,20,12
6,32,0,20,850,17,17,27,27,0.0103567,0.207777,0,20,12
7,64,0,18.125,1556,14,14,26,26,0.0184145,0.354663,0,18,10
8,128,0,16.1406,2804,11,11,26,26,0.0307704,0.583292,0,15,9
9,256,0,14.5781,5092,9,9,25,25,0.0529535,0.997369,0,13,8
10,278,0,13.5468,5133,7,7,24,24,0.0535685,1.00554,1,12,7
11,218,0,11.8349,3545,7,7,23,23,0.0320295,0.616793,1,10,6
12,256,0,9.84375,3500,5,5,20,20,0.0266474,0.552318,1,7,5
13,74,0,8.08108,837,3,3,16,16,0.0055821,0.128215,1,6,3
14,28,0,7.07143,276,5,5,11,11,0.0012115,0.0297331,1,3,3
15,28,14,3.53571,138,5,5,11,11,0,0.0051192,3,0,3
16,28,14,3.53571,138,5,5,11,11,0,0.0051523,3,0,3
17,28,14,3.53571,138,5,5,11,11,0,0.0051161,3,0,3
18,28,14,3.53571,138,5,5,11,11,0,0.0049897,3,0,3
19,28,4,5.64286,220,3,3,11,11,0.0006897,0.0188031,1,2,3
20,32,8,5,223,3,3,11,11,0.0005725,0.0173102,2,2,3
21,34,10,4.35294,207,3,3,11,11,0.0003881,0.0144436,2,1,2
22,36,4,5.44444,273,3,3,11,11,0.0009136,0.0243341,1,2,2
23,36,7,4.80556,241,3,3,11,11,0.0006506,0.018861,1,1,2
24,36,9,4.52778,227,3,3,11,11,0.0005107,0.0167356,2,1,2
25,36,3,5.25,263,3,3,11,11,0.00078,0.0218191,1,2,2
26,36,4,5,250,3,3,11,11,0.000688,0.0199976,1,2,2
27,36,3,5.08333,254,3,3,11,11,0.0006885,0.0204427,1,2,2
28,36,0,5.33333,266,3,3,11,11,0.0008253,0.0223772,1,2,2
29,36,0,5.33333,266,3,3,11,11,0.0007831,0.0220504,1,2,2
30,36,0,5.33333,266,3,3,11,11,0.0007527,0.0222031,2,2,2
31,36,0,5.33333,266,3,3,11,11,0.0007746,0.022069,2,2,2
32,36,0,5.33333,266,3,3,11,11,0.0007891,0.02241,2,2,2
33,36,0,5.33333,266,3,3,11,11,0.0007843,0.0232772,2,2,2
34,36,0,5.33333,266,3,3,11,11,0.0007652,0.0220012,2,2,2
35,36,0,5.33333,266,3,3,11,11,0.0007919,0.0221274,2,2,2
36,36,0,5.27778,263,3,3,11,11,0.0007861,0.0220651,2,2,2
37,34,0,5.41176,255,3,3,11,11,0.0007532,0.0216833,2,2,2
38,34,0,5.41176,255,3,3,11,11,0.0007459,0.0211848,2,2,2
39,34,0,5.11765,241,3,3,11,11,0.0007042,0.0205089,2,2,2
40,30,2,4.93333,205,3,3,11,11,0.0006098,0.0168599,2,2,2
41,26,0,5.53846,200,3,3,11,11,0.0006952,0.017315,1,2,2
42,24,2,5.25,175,3,3,11,11,0.0004953,0.0142653,2,2,2
43,22,0,5.72727,175,3,3,11,11,0.0005203,0.0145959,1,2,2
44,22,0,5.72727,175,3,3,11,11,0.0005616,0.014745,1,2,2
45,22,0,5.72727,175,3,3,11,11,0.0005242,0.0145204,2,2,2
46,22,0,5.54545,169,3,3,11,11,0.00055,0.0144977,2,2,2
47,18,0,6.11111,153,3,3,11,11,0.000492,0.0125815,2,2,2
48,18,0,6.11111,153,3,3,11,11,0.0004639,0.0127569,2,2,2
49,18,0,6.11111,153,3,3,11,11,0.0004795,0.0126336,2,2,2
50,18,0,6.11111,153,3,3,11,11,0.0005004,0.0125946,2,2,2
51,22,0,5.27273,161,3,3,8,8,0.0005653,0.0143468,2,2,2
52,22,6,3.81818,117,3,3,8,8,0.0002221,0.0083546,2,1,2
53,26,4,4.38462,158,3,3,8,8,0.0004601,0.0145841,1,2,2
54,24,6,3.66667,122,3,3,8,8,0.0002471,0.0091337,1,1,2
55,24,2,4.16667,138,3,3,8,8,0.000339,0.0107621,1,1,1
56,24,0,4.41667,146,3,3,8,8,0.0003546,0.0119308,1,1,1
57,24,0,4.41667,146,3,3,8,8,0.000402,0.0123283,1,1,1
58,24,0,4.41667,146,3,3,8,8,0.0003558,0.0119434,1,1,1
59,24,0,4.41667,146,3,3,8,8,0.000347,0.0121193,1,1,1
60,24,0,4.41667,146,3,3,8,8,0.0003571,0.0121493,1,1,1
61,24,0,4.41667,146,3,3,8,8,0.0003525,0.0120449,1,1,1
62,24,0,4.41667,146,3,3,8,8,0.0003578,0.01207,1,1,1
63,24,0,4.41667,146,3,3,8,8,0.0003566,0.0120692,1,1,1
64,24,0,4.41667,146,3,3,8,8,0.0003418,0.0121289,1,1,1
65,24,0,4.41667,146,3,3,8,8,0.0003654,0.0122949,1,1,1
66,24,0,4.41667,146,3,3,8,8,0.0003478,0.0118548,1,1,1
67,24,0,4.25,140,3,3,8,8,0.0003424,0.011695,1,1,1
68,20,0,4.3,118,3,3,8,8,0.0003082,0.0100612,1,1,1
69,16,0,3.75,82,3,3,5,5,0.000232,0.0071928,1,1,1
70,8,2,2.75,30,3,3,5,7,4.2e-05,0.002276,1,1,1
71,4,0,5,28,5,5,5,7,0.0001041,0.0026017,1,2,2
72,4,2,2.5,14,5,5,5,7,0,0.0007424,2,0,2
73,4,0,4,22,3,3,5,7,8.03e-05,0.0019395,1,1,1
74,4,0,4,22,3,3,5,7,4.33e-05,0.0018047,1,1,1
75,4,0,4,22,3,3,5,7,5.42e-05,0.0018299,1,1,1
76,4,0,4,22,3,3,5,7,4.66e-05,0.0017842,1,1,1
77,4,0,4,22,3,3,5,7,5.86e-05,0.0019624,1,1,1
78,4,0,4,22,3,3,5,7,4.41e-05,0.0017919,1,1,1
79,4,0,4,22,3,3,5,7,5.36e-05,0.0020202,1,1,1
80,4,0,4,22,3,3,5,7,5.26e-05,0.0018869,1,1,1
81,4,0,3,16,3,3,3,4,4.01e-05,0.001534,1,1,1
