depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,24,33,24,33,24,33,0.0004637,0.0115093,0,24,14
1,2,1,12,33,24,33,24,33,0.0003627,0.0077156,0,24,14
2,2,0,23.5,64,22,25,25,30,0.0009068,0.0163814,0,23,14
3,4,0,22.25,122,18,21,25,25,0.0017898,0.0331223,0,22,13
4,8,0,20.5,226,17,17,26,26,0.0035413,0.0653436,0,20,11
5,16,0,19.75,436,14,14,26,26,0.0068418,0.123917,0,19,11
6,32,0,18.375,812,12,12,26,26,0.0097235,0.18391,0,18,10
7,64,0,17.75,1570,12,12,26,26,0.0192514,0.386355,0,17,9
8,128,0,16.5313,2938,10,10,24,24,0.0322418,0.660982,0,16,9
9,256,0,16,5680,8,8,24,24,0.063986,1.31837,0,15,8
10,512,0,14.5938,10420,8,8,24,24,0.118838,2.71881,1,14,7
11,1024,0,13.4219,19236,7,7,24,24,0.199804,4.73274,1,12,7
12,2048,0,12.1406,34832,5,5,23,23,0.350736,7.38935,1,11,6
13,3044,0,10.8824,46675,3,3,23,23,0.433555,9.03825,1,9,5
14,2410,0,10.495,35763,5,5,23,23,0.30103,6.47242,1,8,5
15,1396,0,9.58309,18898,3,3,21,21,0.132078,2.92848,1,6,4
16,260,0,8.01538,2958,5,5,13,13,0.0140969,0.353479,1,4,3
17,388,115,5.72165,3155,5,5,13,13,0.0087931,0.273344,2,2,3
18,486,109,6.31276,4356,5,5,13,13,0.0157618,0.440568,2,2,3
19,644,217,5.49845,5027,5,5,13,13,0.012197,0.39323,2,2,3
20,768,193,6.2526,6809,5,5,13,13,0.0223742,0.629663,2,2,3
21,1054,217,6.64991,9936,5,5,13,13,0.0348388,0.949146,2,3,3
22,1480,281,6.79257,14253,5,5,13,13,0.0524928,1.39972,2,3,3
23,2118,341,7.04297,21148,3,3,13,13,0.0836001,2.17998,2,3,3
24,2982,416,6.98994,29509,3,3,13,13,0.108542,2.89396,2,3,3
25,3992,396,6.94865,39180,3,3,13,13,0.143611,3.8754,2,3,3
26,4950,495,6.59414,45987,3,3,13,13,0.16159,4.48855,2,2,3
27,5798,569,6.28199,51191,3,3,13,13,0.173738,4.93188,2,2,3
28,6590,554,6.09439,56356,3,3,13,13,0.190975,5.52128,2,2,2
29,7320,608,5.88607,60400,3,3,13,13,0.19772,5.96763,2,2,2
30,7968,764,5.63015,62848,3,3,12,12,0.190723,5.97666,1,2,2
31,8518,881,5.41254,64533,3,3,12,12,0.19221,6.13304,1,2,2
32,9082,979,5.207,66118,3,3,12,12,0.194867,6.39021,1,2,2
33,9812,1045,5.02803,68888,3,3,12,12,0.20509,6.70019,1,2,2
34,11010,1130,4.86085,74630,3,3,12,12,0.225602,7.42801,1,2,2
35,12760,1233,4.7261,84009,3,3,11,11,0.258016,8.50968,1,2,2
36,15188,1390,4.58665,96930,3,3,11,11,0.298294,10.1019,1,1,2
37,18262,1501,4.45565,113033,3,3,11,11,0.342628,12.157,1,1,1
38,21588,1261,4.39179,131427,3,3,11,11,0.388912,14.1914,1,1,1
39,24606,959,4.33354,147512,3,3,11,11,0.427632,16.2671,1,1,1
40,26972,634,4.29356,159939,3,3,11,11,0.450882,17.7637,1,1,1
41,28648,406,4.25869,168294,3,3,11,11,0.46493,18.8999,1,1,1
42,29612,254,4.23035,172646,3,3,11,11,0.463761,19.4525,1,1,1
43,30098,176,4.21108,174589,3,3,11,11,0.462351,19.7469,1,1,1
44,30304,150,4.19611,175108,3,3,11,11,0.464078,19.9788,1,1,1
45,30386,141,4.18745,175194,3,3,11,11,0.454655,19.6772,1,1,1
46,30380,133,4.18015,174839,3,3,11,11,0.449137,19.6455,1,1,1
47,30390,126,4.17407,174629,3,3,11,11,0.450743,19.7023,1,1,1
48,30406,127,4.1698,174535,3,3,11,11,0.449436,19.7093,1,1,1
49,30446,121,4.16741,174659,3,3,11,11,0.451194,19.8414,1,1,1
50,30480,119,4.16463,174732,3,3,11,11,0.45216,19.9297,1,1,1
51,30500,116,4.16105,174689,3,3,11,11,0.450999,19.9744,1,1,1
52,30496,110,4.1591,174577,3,3,11,11,0.45195,20.0711,1,1,1
53,30448,104,4.15843,174270,3,3,11,11,0.452898,20.1634,1,1,1
54,30426,96,4.15684,174071,3,3,11,11,0.451613,20.1753,1,1,1
55,30294,94,4.15313,173150,3,3,11,11,0.445836,20.2543,1,1,1
56,30130,71,4.1532,172209,3,3,11,11,0.448827,21.2613,1,1,1
57,28678,56,4.15929,164151,3,3,11,11,0.424638,20.5287,1,1,1
58,27106,52,4.16369,155314,3,3,11,11,0.402753,19.5401,1,1,1
59,25402,43,4.17085,145801,3,3,11,11,0.377644,18.3185,1,1,1
60,23718,28,4.18185,136498,3,3,11,11,0.35405,16.9986,1,1,1
61,21824,27,4.19185,125901,3,3,11,11,0.32581,15.6641,1,1,1
62,20120,13,4.20502,116438,3,3,11,11,0.303938,14.5471,1,1,1
63,18400,13,4.21755,106806,3,3,11,11,0.282062,13.4375,1,1,1
64,16754,11,4.23308,97616,3,3,11,11,0.254879,11.9733,1,1,1
65,15182,11,4.24819,88778,3,3,11,11,0.233256,10.8621,1,1,1
66,13784,10,4.26524,80930,3,3,11,11,0.212677,9.91775,1,1,1
67,12456,7,4.285,73476,3,3,11,11,0.194424,8.99623,1,1,1
68,10730,6,4.29189,63399,3,3,8,8,0.168808,7.82436,1,1,1
69,9118,6,4.28723,53816,3,3,8,8,0.141745,6.65358,1,1,1
70,7636,9,4.26074,44786,3,3,8,8,0.114824,5.52283,1,1,1
71,6292,13,4.2376,36701,3,3,8,8,0.0941688,4.54363,1,1,1
72,5100,15,4.21314,29575,3,3,8,8,0.0761489,3.67484,1,1,1
73,4210,16,4.1772,24203,3,3,8,8,0.0614095,2.94796,1,1,1
74,3572,16,4.14166,20358,3,3,8,8,0.0514839,2.47398,1,1,1
75,3080,16,4.10065,17378,3,3,8,8,0.0442835,2.12016,1,1,1
76,2746,16,4.06446,15355,3,3,8,8,0.0388625,1.83645,1,1,1
77,2532,17,4.01856,13996,3,3,8,8,0.0353947,1.66481,1,1,1
78,2362,23,3.97248,12904,3,3,8,8,0.0322429,1.5205,1,1,1
79,2246,24,3.95904,12226,3,3,8,8,0.0305776,1.42078,1,1,1
80,2158,21,3.95134,11721,3,3,8,8,0.0299899,1.36456,1,1,1
81,2084,14,3.95873,11339,3,3,8,8,0.0287257,1.31222,1,1,1
82,2026,4,3.9694,11051,3,3,8,8,0.0283693,1.28654,1,1,1
83,1966,0,3.97355,10734,3,3,8,8,0.0273896,1.2495,1,1,1
84,1900,0,3.96947,10362,3,3,8,8,0.0261906,1.20655,1,1,1
85,1826,0,3.96605,9949,3,3,8,8,0.0258484,1.15165,1,1,1
86,1740,0,3.96782,9485,3,3,8,8,0.0241943,1.10462,1,1,1
87,1664,0,3.96575,9066,3,3,8,8,0.0230221,1.05856,1,1,1
88,1590,0,3.96289,8656,3,3,8,8,0.0217136,1.00946,1,1,1
89,1518,0,3.95982,8257,3,3,8,8,0.0212136,0.971119,1,1,1
90,1442,0,3.95631,7836,3,3,8,8,0.0199097,0.912211,1,1,1
91,1366,0,3.95534,7421,3,3,8,8,0.0188983,0.876656,1,1,1
92,1280,0,3.95078,6945,3,3,8,8,0.0178647,0.814603,1,1,1
93,1188,0,3.94529,6436,3,3,8,8,0.0165487,0.756161,1,1,1
94,1102,0,3.93376,5951,3,3,8,8,0.0153569,0.697797,1,1,1
95,1008,0,3.93353,5443,3,3,8,8,0.0139752,0.636213,1,1,1
96,932,0,3.9324,5031,3,3,8,8,0.0131773,0.606098,1,1,1
97,860,0,3.91047,4614,3,3,8,8,0.0117728,0.550713,1,1,1
98,776,0,3.90206,4154,3,3,5,7,0.0108943,0.505945,1,1,1
99,698,0,3.89971,3734,3,3,5,7,0.0097789,0.470248,1,1,1
100,626,0,3.89137,3341,3,3,5,7,0.0084464,0.402454,1,1,1
101,556,0,3.8777,2956,3,3,5,7,0.0076285,0.365186,1,1,1
102,486,0,3.893,2595,3,3,5,7,0.0066206,0.315389,1,1,1
103,434,0,3.87558,2306,3,3,5,7,0.0059427,0.291964,1,1,1
104,376,0,3.89362,2008,3,3,5,7,0.0051314,0.24386,1,1,1
105,334,0,3.88623,1780,3,3,5,7,0.0049337,0.244849,1,1,1
106,294,0,3.86395,1557,3,3,5,7,0.0046081,0.242194,1,1,1
107,248,0,3.95968,1349,3,3,5,7,0.0033497,0.165159,1,1,1
108,238,0,3.94958,1291,3,3,5,5,0.0030931,0.15642,1,1,1
109,222,0,3.92793,1197,3,3,5,7,0.0028947,0.148639,1,1,1
110,206,0,3.90291,1103,3,3,5,7,0.0028723,0.15738,1,1,1
111,186,0,3.89247,993,3,3,5,7,0.0024515,0.135383,1,1,1
112,166,0,3.89157,886,3,3,5,7,0.0021495,0.130526,1,1,1
113,148,0,3.89189,790,3,3,5,7,0.0019485,0.111969,1,1,1
114,132,0,3.87879,702,3,3,5,7,0.0017125,0.100392,1,1,1
115,116,0,3.86207,614,3,3,5,7,0.0014543,0.0883071,1,1,1
116,100,0,3.84,526,3,3,5,7,0.0013947,0.0782447,1,1,1
117,84,0,3.80952,438,3,3,5,7,0.0010523,0.0663002,1,1,1
118,68,0,3.73529,347,3,3,5,7,0.0008717,0.0482591,1,1,1
119,50,0,3.56,242,3,3,5,5,0.000606,0.0341649,1,1,1
120,28,0,3.28571,124,3,3,5,5,0.0003232,0.0161457,1,1,1
121,8,0,3,32,3,3,3,4,9.23e-05,0.0037461,1,1,1
