depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,49,67,49,67,49,67,0.0019135,0.0237265,0,49,20,2,2,0
1,2,1,51,70,51,70,51,70,0.0040939,0.0255913,0,51,21,2,2,0
2,2,0,47.5,65,44,51,51,60,0.0054542,0.0358607,0,47,19,2,2,0
3,4,0,44.75,61.25,41,41,50,60,0.0097689,0.067907,0,44,18,1,1,0
4,8,0,42,57.5,34,34,50,50,0.017986,0.127263,0,42,16,1,1,0
5,16,0,40.5,55.25,34,34,52,52,0.0322648,0.237606,0,40,15,1,1,0
6,32,0,37.625,51.0625,29,29,54,54,0.0501785,0.396549,0,37,14,0,0,0
7,64,0,35.75,48.4688,24,24,54,54,0.086817,0.729637,0,35,13,0,0,0
8,128,0,35.0469,47.5625,21,21,54,54,0.168614,1.51001,0,35,13,0,0,0
9,256,0,34.4844,46.8125,21,21,52,52,0.331483,2.99077,0,34,13,0,0,0
10,512,0,33.6719,45.6562,18,18,52,52,0.653961,5.92942,0,33,12,0,0,0
11,1024,0,32.7773,44.3672,15,15,52,52,1.26834,11.5813,0,32,12,0,0,0
12,2048,0,31.7773,42.9609,15,15,49,49,2.47539,22.8438,0,31,11,0,0,0
13,4096,0,30.5332,41.2656,15,15,49,49,4.80252,44.8342,1,30,11,0,0,0
14,8064,0,28.907,39.0611,13,13,47,47,8.78232,83.0209,2,28,10,0,0,0
15,11358,0,28.7426,38.8669,10,10,47,47,12.1349,115.479,2,27,11,0,0,0
16,11348,0,26.4849,35.7097,12,12,47,47,10.7282,105.987,2,24,10,0,0,1
17,11430,0,22.8372,30.7031,10,10,47,47,8.06848,90.2492,2,19,8,0,0,2
18,7088,0,19.6154,26.2099,7,7,44,44,3.92823,48.6796,1,17,6,0,0,3
19,2388,0,15.6868,20.7944,4,4,37,37,0.827767,11.9978,1,12,5,0,0,5
20,728,0,13.669,17.9698,7,7,30,30,0.0922483,1.73561,2,5,4,0,0,4
21,1050,156,13.1946,17.3121,4,4,30,30,0.0961304,1.88467,2,4,4,0,0,4
22,1406,303,12.7525,16.7053,4,4,30,30,0.101003,2.08619,2,4,3,0,0,3
23,1808,125,11.9085,15.546,4,4,30,30,0.190259,3.69678,2,4,3,0,0,3
24,2526,430,11.4685,14.9456,4,4,27,27,0.195682,4.07292,2,4,3,0,0,3
25,3134,553,11.0511,14.3735,4,4,27,27,0.234883,4.9405,2,3,3,0,0,3
26,3808,566,10.7394,13.9497,4,4,24,24,0.303037,6.39713,2,4,3,0,0,3
27,4680,1027,10.5751,13.7243,4,4,22,22,0.295814,6.5775,2,3,3,0,0,3
28,5500,835,10.3267,13.3899,4,4,22,22,0.425371,8.98508,2,4,3,0,0,3
29,6944,1538,10.1537,13.1607,4,4,22,22,0.425721,9.51794,2,3,3,0,0,3
30,8282,2329,9.99614,12.9538,4,4,22,22,0.394063,9.50611,2,2,2,0,0,2
31,9616,2547,9.9014,12.8288,4,4,22,22,0.49311,11.6314,2,3,2,0,0,2
32,11448,2893,9.85038,12.7628,4,4,20,20,0.591505,14.8096,2,3,2,0,0,2
33,13408,2652,9.78691,12.6832,4,4,20,20,0.767629,21.2419,1,3,2,0,0,2
34,13880,2787,9.73939,12.621,4,4,20,20,0.736578,21.691,2,3,2,0,0,2
35,14948,3022,9.67139,12.5325,4,4,19,19,0.773722,24.2235,2,3,2,0,0,2
36,16710,3271,9.53925,12.3619,4,4,20,20,0.852837,28.1144,2,3,2,0,0,2
37,18654,3356,9.38463,12.1581,4,4,20,20,0.94197,33.3699,2,3,2,0,0,2
38,20602,3337,9.23197,11.9577,4,4,20,20,1.07442,43.6738,2,3,2,0,0,2
39,21194,3402,9.07959,11.7544,4,4,20,20,1.07982,54.2494,2,3,2,0,0,2
40,19576,3002,8.97044,11.6095,4,4,20,20,0.939147,50.8777,2,3,2,0,0,2
41,19246,2511,8.91091,11.5336,4,4,19,19,0.942327,56.9871,2,3,2,0,0,2
42,19310,2446,8.75593,11.3301,4,4,19,19,0.918884,66.601,2,2,2,0,0,2
43,18332,2316,8.51417,11.0113,4,4,19,19,0.84344,68.9597,2,2,2,0,0,2
44,15782,2132,8.20923,10.6062,4,4,19,19,0.684771,63.3055,2,2,2,0,0,2
45,13774,2026,7.91999,10.2226,4,4,18,18,0.546405,55.7753,2,2,2,0,0,2
46,12292,1896,7.75462,10.0041,4,4,18,18,0.459008,50.8434,2,2,2,0,0,2
47,10960,1654,7.64077,9.85354,4,4,18,18,0.402907,46.2439,2,2,2,0,0,2
48,10340,1578,7.53983,9.71936,4,4,18,18,0.365946,44.1079,2,2,2,0,0,2
49,9804,1552,7.47043,9.62736,4,4,18,18,0.330759,42.2901,2,2,2,0,0,2
50,9344,1476,7.36312,9.48424,4,4,18,18,0.302606,40.4872,2,2,2,0,0,2
51,8794,1299,7.26217,9.34957,4,4,13,13,0.283685,39.422,1,2,2,0,0,2
52,8242,1215,7.19041,9.25388,4,4,13,13,0.257136,37.3711,1,2,2,0,0,2
53,7718,1093,7.02264,9.03019,4,4,13,13,0.239472,34.7196,1,2,2,0,0,2
54,7054,957,6.93259,8.91012,4,4,13,13,0.218742,32.2093,1,2,1,0,0,1
55,6384,920,6.83199,8.77599,4,4,13,13,0.187966,28.5775,1,2,1,0,0,1
56,5754,744,6.75808,8.67745,4,4,13,13,0.176066,26.3611,1,2,1,0,0,1
57,5218,720,6.63317,8.51089,4,4,13,13,0.150621,23.2422,1,2,1,0,0,1
58,4624,600,6.53405,8.37873,4,4,13,13,0.133107,20.3544,1,2,1,0,0,1
59,4050,536,6.50313,8.33751,4,4,10,10,0.1128,18.0046,1,2,1,0,0,1
60,3512,424,6.46567,8.28756,4,4,10,10,0.0998062,15.9317,1,2,1,0,0,1
61,3014,352,6.42975,8.23967,4,4,10,10,0.081849,13.7698,1,2,1,0,0,1
62,2564,248,6.34974,8.13299,4,4,10,10,0.0704274,11.9149,1,2,1,0,0,1
63,2118,190,6.29979,8.06639,4,4,10,10,0.0567052,9.918,2,2,1,0,0,1
64,1750,121,6.21547,7.95396,4,4,10,10,0.0476816,8.30465,2,2,1,0,0,1
65,1408,90,6.12367,7.83156,4,4,10,10,0.0370485,6.52224,2,1,1,0,0,1
66,1094,55,5.93455,7.5794,4,4,10,10,0.0296814,4.869,2,2,1,0,0,1
67,778,43,5.8898,7.51973,4,4,10,10,0.0200932,3.39477,2,1,1,0,0,1
68,566,27,5.80891,7.41187,4,4,7,7,0.0149779,2.45146,2,2,1,0,0,1
69,390,22,5.89946,7.53261,4,4,7,9,0.009934,1.71044,2,1,1,0,0,1
70,274,13,5.91954,7.55939,4,4,7,9,0.0072574,1.25661,2,2,1,0,0,1
71,184,10,5.82759,7.43678,4,4,7,9,0.0045819,0.808172,2,1,1,0,0,1
72,128,4,6.00806,7.67742,4,4,7,7,0.0032649,0.631607,2,1,1,0,0,1
73,92,1,5.68132,7.24176,4,4,7,7,0.0024795,0.415826,2,2,1,0,0,1
74,50,2,5.875,7.5,4,4,7,9,0.0011842,0.23235,2,1,1,0,0,1
75,38,0,5.73684,7.31579,4,4,7,7,0.0010137,0.179294,2,2,1,0,0,1
76,26,0,5.61538,7.15385,4,4,7,7,0.0006517,0.119479,2,2,1,0,0,1
77,14,0,5.28571,6.71429,4,4,7,9,0.0003304,0.0540043,2,2,1,0,0,1
78,4,0,5.5,7,4,4,7,7,9.84e-05,0.0169574,2,2,1,0,0,1
79,2,0,4,5,4,4,4,5,4.18e-05,0.0018308,2,2,1,0,0,1
