depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,96,129,96,129,96,129,0.0040318,0.0407958,0,96,51,18,18,0
1,2,1,99,132,99,132,99,132,0.0058454,0.0336499,0,99,53,20,20,0
2,2,0,99,132,99,99,99,132,0.0109828,0.068318,0,99,53,20,20,0
3,4,0,99,132,99,99,99,132,0.0229561,0.148217,0,99,53,20,20,0
4,8,0,99,132,99,99,99,132,0.0508905,0.30395,0,99,53,20,20,0
5,16,0,94.5,125.5,90,90,99,119,0.105364,0.607755,0,94,51,20,20,0
6,32,0,87.75,117.25,74,74,97,119,0.169429,1.11347,0,87,46,16,16,0
7,62,0,77.4032,104.048,56,56,98,98,0.290019,1.88135,0,77,39,12,12,0
8,122,0,71.6148,96.0984,47,47,98,98,0.52015,3.40331,0,71,36,11,11,0
9,242,0,68.7149,92.1983,42,42,98,98,0.98023,6.4583,0,68,34,11,11,0
10,448,0,66.6138,89.346,35,35,100,100,1.84085,11.7358,0,66,33,10,10,0
11,796,0,63.8543,85.5465,26,26,103,103,3.03589,20.0602,0,63,31,9,9,0
12,1360,0,60.7676,81.2566,26,26,101,101,4.54333,31.5985,0,60,29,9,9,0
13,2062,0,56.3303,75.2551,26,26,95,95,6.18931,43.8898,1,54,27,8,8,0
14,2546,0,51.361,68.7459,23,23,88,88,6.50839,47.6431,3,47,24,6,6,1
15,2640,0,45.278,60.7712,16,16,88,88,5.37131,41.5063,4,39,20,4,4,2
16,2696,0,38.4618,51.9436,11,11,81,81,4.29455,36.0963,4,32,16,2,2,3
17,2080,0,30.7817,41.5577,12,12,83,83,2.29723,22.9989,3,25,12,1,1,4
18,1556,0,23.6799,31.8239,7,7,77,77,1.07862,13.6045,2,18,9,1,0,5
19,1084,0,17.405,23.1365,4,4,49,49,0.442678,7.45722,2,13,6,0,0,6
20,562,0,14.3132,18.8505,4,4,34,34,0.0844116,1.98158,2,5,4,0,0,4
21,752,131,14.4944,19.1224,4,4,34,34,0.0723095,1.62622,3,4,5,0,0,5
22,1006,193,14.107,18.599,4,4,34,34,0.0896374,1.89087,3,4,4,0,0,4
23,1392,129,13.2043,17.3595,4,4,34,34,0.16494,3.10781,2,4,4,0,0,4
24,2178,262,12.6174,16.5538,4,4,34,34,0.249334,4.74298,2,4,4,0,0,4
25,3198,470,12.0942,15.8387,4,4,34,34,0.343535,6.47081,2,4,3,0,0,3
26,4660,704,11.6979,15.3061,4,4,34,34,0.500198,9.53739,2,4,3,0,0,3
27,6762,1241,11.6086,15.1931,4,4,34,34,0.688082,13.21,2,4,3,0,0,3
28,9544,1875,11.4946,15.0464,4,4,34,34,0.943294,18.1091,2,4,3,0,0,3
29,13526,2630,11.4038,14.9283,4,4,34,34,1.3164,25.1596,2,4,3,0,0,3
30,19100,3663,11.3437,14.8521,4,4,34,34,1.85605,35.6539,2,4,3,0,0,3
31,27090,5104,11.2866,14.7802,4,4,23,23,2.60281,50.4227,2,4,3,0,0,3
32,38778,7385,11.1949,14.6599,4,4,23,23,3.5714,72.5895,2,4,3,0,0,3
33,54980,10467,11.1289,14.5739,4,4,22,22,4.95787,103.795,2,4,3,0,0,3
34,77644,15201,11.036,14.4486,4,4,22,22,6.63191,144.563,2,3,3,0,0,3
35,108304,21625,10.872,14.2269,4,4,22,22,8.68492,199.971,2,3,3,0,0,3
36,149428,30113,10.6734,13.9579,4,4,22,22,10.954,274.191,2,3,3,0,0,3
37,202070,42816,10.498,13.7208,4,4,22,22,14.298,375.142,2,3,3,0,0,3
38,265760,59248,10.3397,13.5079,4,4,22,22,18.726,508.266,2,3,3,0,0,3
39,339618,79369,10.1423,13.2428,4,4,22,22,22.5219,655.302,2,3,3,0,0,3
40,381564,90059,9.87315,12.8833,4,4,22,22,24.6515,771.197,2,2,3,0,0,3
