depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,23,31,23,31,23,31,0.000437001,0.0169699,0,23,14,6,6,0
1,2,1,23,31,23,31,23,31,0.000688604,0.0108739,0,23,14,6,6,0
2,2,0,20,27.5,18,22,22,25,0.000514999,0.0164162,0,20,11,4,4,0
3,4,0,19,26.25,18,18,22,25,0.0012017,0.0296812,0,19,10,3,3,0
4,8,0,18.25,25.25,15,15,22,22,0.0018429,0.0571929,0,18,10,3,3,0
5,16,0,18.25,25.25,15,15,22,22,0.00372061,0.11978,0,18,10,3,3,0
6,32,0,18.125,25,15,15,23,23,0.00603696,0.19191,0,18,10,3,3,0
7,64,0,17.6875,24.3125,15,15,23,23,0.0123285,0.370582,0,17,10,3,3,0
8,128,0,17.2188,23.6875,13,13,23,23,0.0215137,0.667704,0,17,9,3,3,0
9,256,0,16.75,23.0938,13,13,23,23,0.065359,1.44113,0,16,9,3,3,0
10,512,0,16.0469,22.1875,10,10,23,23,0.12727,2.79064,0,16,8,2,2,0
11,1024,0,15.4375,21.4062,10,10,23,23,0.237121,5.27142,0,15,8,2,2,0
12,2048,0,15.1719,21.0625,9,9,23,23,0.46392,10.3673,0,15,8,2,2,0
13,4096,0,15.125,21,7,7,23,23,0.927948,20.8944,0,15,8,2,2,0
14,8192,0,15.0625,20.9062,7,7,23,23,1.8392,42.5177,0,15,8,2,2,0
15,16384,0,14.6641,20.3516,7,7,23,23,3.5609,83.2132,0,14,7,2,2,0
16,32768,0,13.7148,19.0547,7,7,23,23,6.45956,154.576,0,13,7,2,2,0
17,65536,0,12.3965,17.25,7,7,23,23,11.0654,280.677,0,12,6,1,1,0
18,105924,0,10.5639,14.7861,7,7,23,23,13.8306,393.574,0,10,5,1,1,0
19,2984,0,11.0198,15.3254,5,5,20,20,0.417757,11.9844,0,11,5,1,1,1
20,1088,0,8.95129,12.5028,5,5,17,17,0.111498,3.68231,0,8,4,0,0,2
21,600,0,5.52167,7.76833,3,3,12,12,0.0264292,1.32864,0,5,2,0,0,2
22,224,0,6.14286,8.71429,5,5,9,10,0.0121851,0.525842,0,6,2,0,0,2
23,254,107,6.42857,9.14286,5,5,9,10,0.0101445,0.395544,0,6,2,0,0,2
24,258,0,6.33333,9,5,5,9,10,0.0148074,0.613093,0,6,2,0,0,2
25,384,127,6.44747,9.17121,5,5,9,10,0.0152708,0.659872,0,6,2,0,0,2
26,442,192,6.384,9.076,5,5,9,10,0.0146516,0.65432,0,6,2,0,0,2
27,480,127,6.32011,8.98017,5,5,9,10,0.0201089,0.846734,0,6,2,0,0,2
28,504,125,6.47757,9.21636,5,5,9,10,0.0229522,0.928974,0,6,2,0,0,2
29,602,228,6.51337,9.27005,5,5,9,10,0.0222667,0.971779,0,6,2,0,0,2
30,688,118,6.54386,9.31579,5,5,9,10,0.0349175,1.45156,0,6,2,0,0,2
31,920,212,6.54237,9.31356,5,5,9,10,0.0437482,1.84459,0,6,2,0,0,2
32,1146,138,6.56944,9.35417,5,5,9,10,0.0616128,2.56554,0,6,2,0,0,2
33,1452,323,6.51461,9.27192,5,5,9,10,0.0676567,2.81573,0,6,2,0,0,2
34,1580,172,6.47727,9.21591,3,3,9,10,0.0840229,3.36469,0,6,2,0,0,2
35,1208,67,6.48116,9.22174,3,3,9,10,0.0682183,2.63196,0,6,2,0,0,2
36,920,42,6.32346,8.98519,3,3,9,10,0.0504518,1.97533,0,6,2,0,0,2
37,818,26,6.07576,8.61364,3,3,9,10,0.0421728,1.73792,0,6,2,0,0,2
38,770,70,5.88571,8.32857,3,3,9,9,0.0349263,1.49011,0,5,2,0,0,2
39,802,96,5.68555,8.02833,3,3,9,9,0.032676,1.46187,0,5,2,0,0,2
40,838,125,5.55259,7.82889,3,3,9,9,0.0313244,1.44015,0,5,2,0,0,2
41,940,190,5.43467,7.652,3,3,9,9,0.0311726,1.50417,0,5,2,0,0,2
42,1080,261,5.39316,7.58974,3,3,9,9,0.0335762,1.61277,0,5,2,0,0,2
43,1248,304,5.33263,7.49894,3,3,9,9,0.0379742,1.81667,0,5,2,0,0,2
44,1456,362,5.32907,7.4936,3,3,9,9,0.0438687,2.10028,0,5,2,0,0,2
45,1676,419,5.27208,7.40811,3,3,9,9,0.0491647,2.36801,0,5,2,0,0,2
