depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,20,25,20,25,20,25,0.0004488,0.0074634,0,20,5,0,0
1,2,1,20,25,20,25,20,25,0.0004309,0.0045798,0,20,5,0,0
2,2,0,16.5,20.5,13,16,20,20,0.0009873,0.0100863,0,16,4,0,0
3,4,0,15,17.75,9,11,19,19,0.0013017,0.0143075,0,15,3,0,0
4,8,0,12.25,14.375,5,5,26,26,0.0015145,0.0207492,0,12,2,0,0
5,16,0,9.625,11.4375,5,5,26,26,0.0019558,0.0338017,0,9,2,0,0
6,18,0,13.2222,15.6667,9,9,26,26,0.0037414,0.0527014,0,13,2,0,0
7,32,8,13.5,16.125,9,9,26,26,0.005604,0.0753202,0,13,3,0,0
8,48,6,13.7143,16.381,9,9,26,26,0.0094274,0.127295,0,13,3,0,0
9,66,5,14.0656,16.7377,9,9,26,26,0.0137138,0.1811,0,14,3,0,0
10,94,6,14.4091,17.125,9,9,26,26,0.0199897,0.25579,0,14,3,0,0
11,144,8,13.4338,15.9338,5,5,26,26,0.0281184,0.365869,0,13,2,0,0
12,192,13,13.0056,15.3073,5,5,26,26,0.0339865,0.456931,0,13,2,0,0
13,202,8,13.0412,15.2887,5,5,26,26,0.0370047,0.501246,0,13,2,0,0
14,206,3,11.9754,13.9261,5,5,26,26,0.033682,0.478962,0,11,2,0,0
15,218,2,10.4028,12.0648,5,5,19,19,0.0272549,0.442432,0,10,2,0,0
16,224,8,9.7963,11.3287,5,5,19,19,0.0224057,0.419216,0,9,1,0,0
17,224,2,8.93243,10.2523,5,5,19,19,0.0180534,0.38609,0,8,1,0,0
18,192,2,8.84211,10.0053,5,5,19,19,0.015002,0.32159,0,8,1,0,0
19,164,3,8.84472,9.99379,5,5,18,18,0.0123774,0.278732,0,8,1,0,0
20,154,0,8.53247,9.65584,5,5,18,18,0.0113265,0.255629,0,8,1,0,0
21,136,0,7.97794,9.05882,5,5,18,18,0.0085415,0.215057,0,7,1,0,0
22,104,1,8.34951,9.40777,5,5,18,18,0.0068421,0.168572,0,8,1,0,0
23,88,0,7.88636,8.93182,5,5,18,18,0.0049687,0.135088,0,7,1,0,0
24,62,0,8.19355,9.19355,5,5,11,11,0.0039139,0.102984,0,8,1,0,0
25,48,0,9.125,10.125,5,5,11,12,0.0036276,0.0880572,0,9,1,0,0
26,48,0,8.25,9.25,5,5,11,11,0.0029699,0.0819409,0,8,1,0,0
27,44,0,7.72727,8.72727,5,5,11,11,0.0021971,0.0676287,0,7,1,0,0
28,32,0,7.0625,8.0625,5,5,11,12,0.0012382,0.0435,0,7,1,0,0
29,18,0,7.33333,8.33333,5,5,11,12,0.0007334,0.0263409,0,7,1,0,0
30,8,0,5.75,6.75,5,5,11,11,0.0001052,0.0079369,0,5,1,0,0
31,2,0,8,9,5,5,11,12,0.0001082,0.0034368,0,8,1,0,0
32,2,0,8,9,5,5,11,12,0.0001034,0.0035454,0,8,1,0,0
33,2,0,11,12,11,11,11,12,0.0001999,0.0045117,0,11,2,0,0
34,2,0,11,12,11,11,11,12,0.0002097,0.0045653,0,11,2,0,0
35,2,0,5,6,5,5,5,6,0,0.0017068,0,5,1,0,0
