depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,11,12,11,12,11,12,0.0001279,0.0042764,0,11,2
1,2,1,10.5,23,21,23,21,23,0.0013785,0.006526,0,21,4
2,2,0,16.5,36,11,12,22,22,0.0020273,0.0088252,0,16,3
3,4,0,18.5,82,11,12,22,22,0.0055856,0.0214829,0,18,3
4,8,0,12,109,9,9,15,15,0.0040529,0.0225514,0,9,2
5,16,0,9.875,188,5,5,22,22,0.0053149,0.0345048,1,8,2
6,12,0,10.1667,150,9,9,16,16,0.0008959,0.0099791,1,3,2
7,20,1,9.35,230,5,5,16,16,0.0013318,0.0170049,1,2,2
8,30,1,9.26667,342,5,5,16,16,0.002355,0.0255008,1,2,2
9,36,1,9.33333,413,5,5,16,16,0.003348,0.0326658,2,3,2
10,54,2,8.74074,579,5,5,16,16,0.0051742,0.0503115,2,3,2
11,66,5,7.68182,619,5,5,16,16,0.0051352,0.0529686,2,3,1
12,80,11,7.2,703,5,5,16,16,0.0045233,0.0537399,1,2,1
13,84,19,6.39286,655,5,5,9,9,0.0025909,0.0392859,2,2,1
14,92,15,6.40217,717,5,5,9,9,0.002962,0.0454667,2,2,1
15,84,5,7.5119,769,5,5,9,11,0.003208,0.049926,2,2,1
16,86,2,7.34884,769,5,5,9,9,0.0036144,0.0539269,2,2,1
17,78,0,7.35897,698,5,5,9,11,0.0033978,0.0498933,2,2,1
18,66,0,7.54545,606,5,5,9,11,0.0028334,0.0438209,2,2,1
19,68,0,6.41176,528,5,5,9,9,0.0027551,0.0399332,2,2,1
20,42,0,5.95238,302,5,5,9,11,0.0017425,0.0239162,2,2,1
21,18,0,5.88889,128,5,5,9,9,0.000678,0.0097862,2,2,1
22,8,0,5.5,53,5,5,9,11,0.0002854,0.0040916,3,2,1
23,2,0,5,12,5,5,5,6,9.17e-05,0.0010813,3,2,1
