depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,13,17,13,17,13,17,0.0002701,0.0108654,0,13,4
1,2,1,13,17,13,17,13,17,0.00024,0.005067,0,13,4
2,2,0,10,13,7,9,13,13,0.0005741,0.0097143,0,10,3
3,4,0,10.75,14,7,7,16,16,0.0007806,0.0190622,0,10,3
4,8,0,10.875,14.125,7,7,16,16,0.0016512,0.0342458,0,10,3
5,16,0,9.125,11.75,4,4,13,13,0.0020401,0.0492691,0,9,2
6,28,0,7,8.92857,4,4,13,13,0.001913,0.0676421,0,7,1
7,18,0,6.55556,8.33333,4,4,13,13,0.0009676,0.0381961,0,6,1
8,10,0,9,11.4,8,8,13,13,0.001009,0.0264476,0,9,2
9,18,5,8.38462,10.5385,8,8,13,13,0.0010557,0.0284829,0,8,2
10,24,0,8.41667,10.5833,8,8,13,13,0.0019795,0.0492173,0,8,2
11,22,0,8,10,8,8,8,10,0.0016475,0.0454769,0,8,2
12,28,0,8,10,8,8,8,10,0.0017521,0.0507195,0,8,2
13,36,0,7.77778,9.72222,4,4,8,10,0.0024497,0.0647501,0,7,1
14,40,0,4,5,4,4,4,5,0,0.0405415,0,4,1
