depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,5,7,5,7,5,7,9.41e-05,0.0052484,0,5,2
1,2,1,2.5,7,5,7,5,7,4.98e-05,0.002053,0,5,2
2,2,0,5,14,5,5,5,7,4.48e-05,0.0023671,0,5,2
3,4,0,5,28,5,5,5,7,0.0001287,0.0046039,0,5,2
4,8,0,6,68,5,5,7,7,0.0002966,0.0122117,0,6,2
5,16,0,6,136,5,5,7,7,0.0005481,0.0235942,0,6,2
6,32,0,6,272,5,5,7,7,0.001169,0.0477705,0,6,2
7,50,0,5.52,389,5,5,7,7,0.0015053,0.0681757,0,5,2
8,34,0,4.70588,223,3,3,7,7,0.000702,0.041975,0,4,1
9,2,0,5,14,5,5,5,7,3.21e-05,0.0024592,0,5,2
10,4,1,3.75,21,5,5,5,7,5.81e-05,0.0036595,0,5,2
11,6,2,3.33333,28,5,5,5,7,8.45e-05,0.0066945,0,5,2
12,6,3,2.5,21,5,5,5,7,4.81e-05,0.0039509,0,5,2
13,6,1,4.16667,35,5,5,5,7,8.9e-05,0.006192,0,5,2
14,10,2,4,56,5,5,5,7,0.0001945,0.0116868,0,5,2
15,14,1,4.07143,79,3,3,5,7,0.0001733,0.0149215,0,4,1
16,18,0,4.22222,105,3,3,5,7,0.0002369,0.0195163,0,4,1
17,22,0,4.18182,127,3,3,5,7,0.0002593,0.0217207,0,4,1
18,26,0,4.15385,149,3,3,5,7,0.0003344,0.0290945,0,4,1
19,28,0,4.07143,157,3,3,5,7,0.0003255,0.0299691,0,4,1
20,30,0,4.06667,168,3,3,5,7,0.0003061,0.0296828,0,4,1
21,32,0,4.0625,179,3,3,5,7,0.0003254,0.0308433,0,4,1
22,34,0,4.05882,190,3,3,5,7,0.0003292,0.0321566,0,4,1
23,36,0,4.05556,201,3,3,5,7,0.0003709,0.0342918,0,4,1
24,36,0,4,198,3,3,5,7,0.0003336,0.0333669,0,4,1
25,36,0,4,198,3,3,5,7,0.000391,0.0337676,0,4,1
26,36,0,4,198,3,3,5,7,0.0003527,0.0336766,0,4,1
27,36,0,4,198,3,3,5,7,0.0003502,0.0337384,0,4,1
28,36,0,4,198,3,3,5,7,0.0003378,0.0336384,0,4,1
29,36,0,4,198,3,3,5,7,0.0003418,0.0337401,0,4,1
30,36,0,4,198,3,3,5,7,0.0003249,0.0332926,0,4,1
31,36,0,4,198,3,3,5,7,0.0003792,0.0336216,0,4,1
32,36,0,4,198,3,3,5,7,0.0003515,0.033399,0,4,1
33,36,0,4,198,3,3,5,7,0.0003506,0.0351564,0,4,1
34,34,0,4,187,3,3,5,7,0.0003498,0.0329296,0,4,1
35,32,0,4,176,3,3,5,7,0.0003158,0.0297337,0,4,1
36,32,0,4,176,3,3,5,7,0.0003094,0.0299546,0,4,1
37,30,0,4,165,3,3,5,7,0.0003127,0.0276893,0,4,1
38,28,0,4,154,3,3,5,7,0.0002637,0.0257912,0,4,1
39,26,0,4,143,3,3,5,7,0.0002594,0.0241208,0,4,1
40,26,0,4,143,3,3,5,7,0.0002894,0.0243855,0,4,1
41,26,0,4,143,3,3,5,7,0.0002563,0.0253875,0,4,1
42,24,0,4,132,3,3,5,7,0.0002321,0.0205763,0,4,1
43,22,0,4,121,3,3,5,7,0.000216,0.0188383,0,4,1
44,22,0,4,121,3,3,5,7,0.0002202,0.0187394,0,4,1
45,22,0,4,121,3,3,5,7,0.0002224,0.0188052,0,4,1
46,20,0,4,110,3,3,5,7,0.0001727,0.0168964,0,4,1
47,18,0,4,99,3,3,5,7,0.0001705,0.0155416,0,4,1
48,18,0,4,99,3,3,5,7,0.0001703,0.0152208,0,4,1
49,18,0,4,99,3,3,5,7,0.0001724,0.0154847,0,4,1
50,16,0,4,88,3,3,5,7,0.0001445,0.0135085,0,4,1
51,14,0,4,77,3,3,5,7,0.0001269,0.0119767,0,4,1
52,14,0,4,77,3,3,5,7,0.0001313,0.0119388,0,4,1
53,14,0,4,77,3,3,5,7,0.0001442,0.0119548,0,4,1
54,12,0,4,66,3,3,5,7,0.0001252,0.0102729,0,4,1
55,10,0,4,55,3,3,5,7,9.19e-05,0.0084837,0,4,1
56,10,0,4,55,3,3,5,7,9e-05,0.00835,0,4,1
57,8,0,4,44,3,3,5,7,6.95e-05,0.0068388,0,4,1
58,8,0,4,44,3,3,5,7,6.99e-05,0.0068336,0,4,1
59,8,0,4,44,3,3,5,7,7.99e-05,0.0070109,0,4,1
60,8,0,4,44,3,3,5,7,7.71e-05,0.0067979,0,4,1
61,6,0,4,33,3,3,5,7,5.69e-05,0.0050561,0,4,1
62,6,0,4,33,3,3,5,7,6.2e-05,0.0051796,0,4,1
63,6,0,4,33,3,3,5,7,5.84e-05,0.0054459,0,4,1
64,6,0,4,33,3,3,5,7,6.15e-05,0.0055154,0,4,1
65,4,0,4,22,3,3,5,7,3.81e-05,0.0042863,0,4,1
66,4,0,4,22,3,3,5,7,3.38e-05,0.003674,0,4,1
67,4,0,4,22,3,3,5,7,3.16e-05,0.0036284,0,4,1
68,4,0,4,22,3,3,5,7,3.49e-05,0.0036047,0,4,1
69,2,0,4,11,3,3,5,7,1.59e-05,0.0018199,0,4,1
70,2,0,4,11,3,3,5,7,1.92e-05,0.0018114,0,4,1
71,2,0,4,11,3,3,5,7,1.61e-05,0.0020175,0,4,1
72,2,0,3,8,3,3,3,4,0,0.0012912,0,3,1
