depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,17,23,17,23,17,23,0.0005882,0.0146674,0,17,6
1,2,1,17,23,17,23,17,23,0.0013472,0.0113544,0,17,6
2,2,0,14.5,19.5,12,16,17,17,0.0017431,0.0147229,0,14,5
3,4,0,14,18.75,7,9,17,17,0.0028119,0.0262858,0,14,4
4,8,0,11.125,14.625,7,7,15,15,0.0041818,0.0398589,0,11,3
5,16,0,11.6875,15.375,7,7,15,15,0.0066453,0.0749777,0,11,3
6,32,0,10.1875,13.375,4,4,15,15,0.0129826,0.126266,1,9,3
7,56,0,8.625,11.2143,4,4,15,15,0.0129665,0.131364,0,8,2
8,72,0,7.79167,10.0833,4,4,18,18,0.0102566,0.125974,1,6,2
9,38,0,8.42105,10.8947,7,7,13,13,0.0036707,0.0511783,1,4,2
10,60,18,8.92857,11.5714,7,7,13,13,0.0026433,0.0387771,1,2,2
11,78,12,9.18182,11.9091,7,7,13,13,0.0047883,0.0702345,1,3,2
12,108,6,9.05882,11.7451,7,7,13,13,0.0088369,0.128101,1,3,2
13,140,10,8.93846,11.5846,7,7,13,13,0.0074357,0.118631,1,2,2
14,180,4,8.70455,11.2727,7,7,13,13,0.0103791,0.165269,1,2,2
15,212,11,8.04478,10.393,7,7,13,13,0.0118106,0.191822,2,2,2
16,280,10,6.92222,8.8963,4,4,10,10,0.0142573,0.238884,2,2,1
17,326,17,6.23301,7.97735,4,4,10,10,0.0156094,0.256676,2,2,1
18,244,40,7.10294,9.13725,4,4,10,10,0.0110147,0.184043,1,2,2
19,240,53,7.24064,9.32086,7,7,10,10,0.0090263,0.16333,1,2,2
20,238,63,6.91429,8.88571,4,4,7,9,0.0076923,0.165318,1,1,1
21,236,66,6.66471,8.55294,4,4,7,9,0.005948,0.152614,1,1,1
22,230,32,6.57576,8.43434,4,4,7,7,0.0077406,0.178198,1,1,1
23,228,19,6.54067,8.38756,4,4,7,9,0.0082496,0.189082,1,1,1
24,206,12,6.62887,8.50515,4,4,7,9,0.0061721,0.131896,1,2,1
25,188,15,6.67052,8.56069,4,4,7,9,0.005126,0.116629,2,1,1
26,198,9,5.80952,7.4127,4,4,7,7,0.0056186,0.127306,2,1,1
27,160,1,5.28302,6.71069,4,4,7,7,0.0044145,0.093854,2,1,1
28,86,0,5.60465,7.13953,4,4,7,7,0.0025487,0.0540788,2,2,1
29,52,0,6.07692,7.76923,4,4,7,7,0.0016231,0.0386963,2,2,1
30,40,0,5.875,7.5,4,4,7,9,0.0010612,0.0234014,2,2,1
31,32,0,4.9375,6.25,4,4,7,9,0.0008472,0.0175968,2,2,1
32,18,0,4.16667,5.22222,4,4,7,9,0.0004675,0.0108011,2,2,1
33,2,0,4,5,4,4,4,5,4.96e-05,0.0010584,2,2,1
