depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,27,36,27,36,27,36,0.0005665,0.0083672,0,27,9,0,0
1,2,1,29,39,29,39,29,39,0.0010662,0.0077415,0,29,10,0,0
2,2,0,26.5,35.5,24,29,29,32,0.0017345,0.0134702,0,26,9,0,0
3,4,0,24,32,22,22,26,32,0.0029545,0.024267,0,24,8,0,0
4,8,0,21.375,28.5,16,19,26,26,0.0053885,0.0429311,0,21,7,0,0
5,14,0,20.2143,27,13,13,26,27,0.0086994,0.0729992,2,19,6,0,0
6,20,0,17.85,23.7,10,10,26,26,0.0095692,0.0800453,2,15,5,0,0
7,32,0,14.7812,19.5312,7,7,26,26,0.011772,0.107531,1,13,4,0,0
8,48,0,11.6667,15.25,4,4,24,24,0.0101177,0.120883,1,8,3,0,0
9,48,0,11.2917,14.75,7,7,21,21,0.0040813,0.0673474,2,4,3,0,0
10,66,5,11.4426,15.0656,7,7,20,20,0.0048985,0.0762075,2,3,3,0,0
11,104,8,10.9896,14.4062,7,7,20,20,0.0074822,0.114903,2,3,3,0,0
12,168,15,10.1242,13.2353,4,4,20,20,0.0115293,0.185931,2,3,3,0,0
13,242,24,10.1697,13.2798,4,4,20,20,0.01587,0.263768,2,3,3,0,0
14,356,44,9.86218,12.859,4,4,20,20,0.0217754,0.37577,2,3,2,0,0
15,508,51,9.59956,12.4923,4,4,20,20,0.0312052,0.558737,2,3,2,0,0
16,710,87,9.39968,12.2215,4,4,20,20,0.0385572,0.762491,2,3,2,0,0
17,930,120,9.01975,11.7062,4,4,20,20,0.0453435,0.950613,2,3,2,0,0
18,1156,146,8.83465,11.4515,4,4,20,20,0.0539922,1.18753,2,3,2,0,0
19,1366,145,8.65274,11.2023,4,4,18,18,0.0629274,1.4331,2,3,2,0,0
20,1556,131,8.50877,11.0098,4,4,18,18,0.0723874,1.80657,2,3,2,0,0
21,1706,111,8.2815,10.7016,4,4,15,15,0.0807798,1.9564,2,3,2,0,0
22,1762,138,8.13054,10.5025,4,4,15,15,0.0784639,1.91942,2,2,2,0,0
23,1782,132,7.98182,10.3067,4,4,15,15,0.0773004,2.05377,2,2,2,0,0
24,1772,126,7.78615,10.0443,4,4,15,15,0.075101,2.05265,2,2,2,0,0
25,1670,111,7.61257,9.81334,4,4,13,13,0.0681748,1.88986,2,2,2,0,0
26,1506,98,7.41974,9.55966,4,4,13,13,0.0599404,1.68098,2,2,2,0,0
27,1272,85,7.2679,9.3572,4,4,13,13,0.0480171,1.39446,2,2,2,0,0
28,1062,66,7.07229,9.09639,4,4,13,13,0.0385527,1.05096,2,2,2,0,0
29,870,52,6.98655,8.98044,4,4,13,13,0.0305096,0.867289,2,2,1,0,0
30,740,47,6.77922,8.70563,4,4,13,13,0.0240666,0.700461,2,2,1,0,0
31,610,33,6.52166,8.36222,4,4,10,10,0.0189674,0.554809,2,2,1,0,0
32,510,25,6.53608,8.38144,4,4,10,10,0.0156912,0.45883,2,2,1,0,0
33,424,25,6.40602,8.20802,4,4,10,10,0.0117961,0.368465,2,2,1,0,0
34,348,9,6.38053,8.17404,4,4,10,10,0.0099458,0.316044,2,2,1,0,0
35,274,6,6.11567,7.8209,4,4,10,10,0.0074314,0.234451,2,2,1,0,0
36,202,3,6.03518,7.71357,4,4,10,10,0.0053938,0.171184,2,2,1,0,0
37,150,3,5.91837,7.55782,4,4,7,7,0.0036907,0.127739,2,2,1,0,0
38,110,1,5.59633,7.12844,4,4,7,9,0.0026944,0.090695,2,1,1,0,0
39,80,0,5.4625,6.95,4,4,7,9,0.0019341,0.0628067,2,2,1,0,0
40,50,0,5.44,6.92,4,4,7,9,0.0011911,0.0416856,2,2,1,0,0
41,30,0,5.3,6.73333,4,4,7,9,0.0007208,0.0225833,2,2,1,0,0
42,16,0,5.5,7,4,4,7,7,0.0003886,0.0131826,2,2,1,0,0
43,10,0,5.5,7,4,4,7,7,0.0002266,0.0081374,2,2,1,0,0
44,6,0,5,6.33333,4,4,7,9,0.0001349,0.0044116,2,2,1,0,0
45,4,0,4,5,4,4,4,5,7.81e-05,0.0016545,2,2,1,0,0
