depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,34,41,34,41,34,41,0.0009522,0.0103448,0,34,8,0,0,0
1,2,1,34,41,34,41,34,41,0.0030235,0.011341,0,34,8,0,0,0
2,2,0,35.5,43,34,37,37,41,0.0042548,0.0233061,0,35,8,0,0,0
3,4,0,27,33,21,24,33,33,0.0103915,0.0391048,2,26,6,0,0,0
4,8,0,24,28.75,17,20,32,32,0.0135929,0.0601561,2,23,5,0,0,0
5,16,0,20.875,24.75,13,13,32,32,0.022832,0.100319,1,20,4,0,0,0
6,32,0,15.4375,18.2188,5,5,32,32,0.0282372,0.137369,2,14,3,0,0,0
7,64,0,13.375,15.7031,5,5,32,32,0.0366801,0.192124,0,12,2,0,0,1
8,98,0,12.1633,14.1633,5,5,32,32,0.052393,0.264346,1,11,2,0,0,2
9,94,0,15.9149,18.5319,9,9,32,32,0.0459382,0.232587,1,7,3,0,0,3
10,120,33,16.7471,19.3563,9,9,32,32,0.0291922,0.141139,2,5,3,0,0,3
11,168,32,16.6618,19.2647,9,9,32,32,0.0449367,0.236592,2,6,3,0,0,3
12,240,42,16.2475,18.7879,9,9,32,32,0.0610665,0.334917,2,5,3,0,0,3
13,360,59,15.8306,18.3289,9,9,32,32,0.0915011,0.507662,2,5,3,0,0,3
14,540,78,15.2662,17.7143,9,9,32,32,0.12752,0.734209,2,5,3,0,0,3
15,804,99,14.4993,16.9362,9,9,32,32,0.173989,1.05729,2,5,3,0,0,3
16,1116,128,13.8026,16.3057,9,9,32,32,0.212175,1.39278,2,4,3,0,0,3
17,1354,136,12.8654,15.3366,5,5,32,32,0.197154,1.55766,1,4,2,0,0,2
18,1474,153,12.4512,14.863,5,5,32,32,0.206577,1.74542,1,4,2,0,0,2
19,1788,194,11.7064,14.0696,5,5,32,32,0.229169,2.16526,1,4,2,0,0,2
20,1334,57,11.7126,14.0689,5,5,32,32,0.190671,1.82744,1,4,2,0,0,2
21,1204,55,11.8172,14.1941,5,5,32,32,0.180567,1.77517,1,4,2,0,0,2
22,1182,124,11.8507,14.2297,5,5,32,32,0.158385,1.68869,1,4,2,0,0,2
23,1106,56,11.4848,13.7857,5,5,32,32,0.152955,1.74476,2,4,2,0,0,2
24,1076,33,11.5149,13.8466,5,5,32,32,0.146966,1.92955,2,3,2,0,0,2
25,1074,27,11.5005,13.8567,5,5,32,32,0.139452,2.29438,1,3,2,0,0,2
26,1244,26,10.4704,12.6289,5,5,32,32,0.146671,3.22258,2,3,2,0,0,2
27,1420,29,8.9885,10.8217,5,5,32,32,0.143163,3.06057,2,3,1,0,0,1
28,1076,31,9.47464,11.3952,5,5,32,32,0.125963,2.41783,2,3,2,0,0,2
29,684,32,11.7393,14.1365,5,5,32,32,0.107739,2.06042,2,4,2,0,0,2
30,580,33,12.9433,15.6234,5,5,32,32,0.104572,2.0422,2,4,2,0,0,2
31,558,36,13.2375,16.0096,5,5,32,32,0.101176,2.07499,2,4,3,0,0,3
32,560,39,13.1593,15.9482,5,5,32,32,0.0986955,2.13302,2,4,3,0,0,3
33,576,39,13.0708,15.8603,5,5,32,32,0.100442,2.22731,2,4,3,0,0,3
34,574,36,12.948,15.7454,5,5,32,32,0.0965479,2.27891,2,4,2,0,0,2
35,574,36,12.7751,15.5558,5,5,32,32,0.0931179,2.2987,2,4,2,0,0,2
36,586,37,12.6321,15.4007,5,5,32,32,0.0918076,2.37527,2,4,2,0,0,2
37,592,40,12.375,15.1105,5,5,32,32,0.0873734,2.41143,2,4,2,0,0,2
38,598,44,12.1408,14.852,5,5,22,22,0.0832164,2.41001,2,4,2,0,0,2
39,602,46,11.9496,14.6385,5,5,22,22,0.0778063,2.42156,2,3,2,0,0,2
40,596,46,11.82,14.5,5,5,22,22,0.0743365,2.42715,2,3,2,0,0,2
41,596,50,11.5971,14.2399,5,5,22,22,0.0676944,2.44522,2,3,2,0,0,2
42,600,49,11.3521,13.9474,5,5,22,22,0.0630021,2.48467,2,3,2,0,0,2
43,608,48,11.0821,13.6179,5,5,22,22,0.0600896,2.53901,2,3,2,0,0,2
44,612,50,10.8256,13.2989,5,5,22,22,0.0559476,2.531,2,3,2,0,0,2
45,610,46,10.5709,12.9823,5,5,22,22,0.0538922,2.51851,2,3,2,0,0,2
46,594,45,10.2605,12.5993,5,5,22,22,0.0469679,2.38579,2,3,2,0,0,2
47,568,43,9.94476,12.2038,5,5,22,22,0.042425,2.24992,2,3,2,0,0,2
48,534,41,9.66531,11.8519,5,5,22,22,0.0380829,2.04507,2,3,2,0,0,2
49,488,37,9.31486,11.4169,5,5,22,22,0.0319965,1.82506,2,2,2,0,0,2
50,438,33,8.93086,10.9333,5,5,16,16,0.0263796,1.57453,2,2,2,0,0,2
51,384,28,8.6573,10.5871,5,5,16,16,0.0218991,1.37694,2,2,1,0,0,1
52,338,22,8.40506,10.2658,5,5,16,16,0.0181928,1.17762,2,2,1,0,0,1
53,292,18,8.17883,9.9781,5,5,16,16,0.0148772,0.989149,2,2,1,0,0,1
54,248,14,7.97009,9.71368,5,5,16,16,0.0127948,0.872717,2,2,1,0,0,1
55,206,9,7.80203,9.50254,5,5,9,9,0.0098977,0.666031,2,2,1,0,0,1
56,166,5,7.65839,9.32298,5,5,9,9,0.0078098,0.506769,2,2,1,0,0,1
57,128,3,7.592,9.24,5,5,9,9,0.00581,0.382094,2,2,1,0,0,1
58,96,1,7.48421,9.10526,5,5,9,9,0.0042593,0.278743,2,2,1,0,0,1
59,72,0,7.11111,8.63889,5,5,9,9,0.0032412,0.187053,2,2,1,0,0,1
60,48,0,6.83333,8.29167,5,5,9,9,0.0021035,0.112399,2,2,1,0,0,1
61,28,0,6.71429,8.14286,5,5,9,9,0.0011782,0.0618274,2,2,1,0,0,1
62,16,0,6.25,7.5625,5,5,9,9,0.0006312,0.027993,2,2,1,0,0,1
63,8,0,5.5,6.625,5,5,9,9,0.0003181,0.0082507,3,2,1,0,0,1
64,2,0,5,6,5,5,5,6,8.19e-05,0.0011065,3,2,1,0,0,1
