depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,12,16,12,16,12,16,0.0002112,0.0088838,0,12,7,3,3
1,2,1,12,16,12,16,12,16,0.0002737,0.0065832,0,12,7,3,3
2,2,0,12,16,12,12,12,16,0.0004784,0.009976,0,12,7,3,3
3,4,0,12,16,12,12,12,16,0.0014822,0.0264361,0,12,7,3,3
4,8,0,10,13.5,8,8,12,12,0.001769,0.0315537,0,10,5,2,2
5,16,0,10,13.5,8,8,12,12,0.0038888,0.0652978,0,10,5,2,2
6,32,0,9,12.25,8,8,12,12,0.0066237,0.126075,0,9,4,1,1
7,52,0,7.53846,10.3462,5,5,12,12,0.0053374,0.100162,0,7,3,0,0
8,22,0,6.09091,8.5,5,5,8,8,0.0014798,0.0287289,0,5,2,0,0
9,12,0,4,5.5,3,3,5,5,0.000432,0.0104001,1,3,1,0,0
10,6,0,5,7,5,5,5,7,0.0001659,0.0040059,1,2,2,0,0
11,6,3,5,7,5,5,5,7,0,0.0010357,2,0,2,0,0
12,6,0,5,7,5,5,5,7,0.0001779,0.0047462,1,2,2,0,0
13,6,3,5,7,5,5,5,7,0,0.0009873,2,0,2,0,0
14,6,3,5,7,5,5,5,7,0,0.0009045,2,0,2,0,0
15,6,1,5,7,5,5,5,7,0.0001298,0.0038674,1,2,2,0,0
16,6,2,5,7,5,5,5,7,5.53e-05,0.0020996,1,1,2,0,0
17,6,3,5,7,5,5,5,7,0,0.0009752,2,0,2,0,0
18,6,0,4.66667,6.5,3,3,5,7,0.0001273,0.0037224,1,2,1,0,0
19,10,2,5,7,5,5,5,7,0.000152,0.0052878,1,1,2,0,0
20,14,4,4.6,6.4,3,3,5,7,0.0001548,0.005683,1,1,1,0,0
21,16,2,4.71429,6.57143,3,3,5,7,0.0002822,0.0092787,1,1,1,0,0
22,16,2,4.71429,6.57143,3,3,5,7,0.0001771,0.0063504,1,1,1,0,0
23,16,0,4.5,6.25,3,3,5,7,0.0002426,0.0074757,1,1,1,0,0
24,8,0,3.75,5.125,3,3,5,5,0.0001144,0.0035263,1,1,1,0,0
25,4,0,3,4,3,3,3,4,4.43e-05,0.0015352,1,1,1,0,0
