depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,833,321,833,321,833,321,0.387329,0.587276,0,833,108,302,302
1,2,0,465,232.5,342,163,588,588,0.797938,0.95509,40,366,67,109,101
2,4,0,275,166,167,138,437,437,0.411996,0.547608,31,158,44,44,27
3,8,2,211.833,135.833,155,95,354,354,0.264743,0.371521,29,84,33,27,12
4,12,3,155.222,108.444,54,54,269,269,0.201804,0.303811,22,54,25,14,4
5,18,1,101,80.7059,43,43,224,224,0.359867,0.551395,13,56,18,5,3
6,34,9,81.8,67.24,43,43,159,159,0.22819,0.385266,12,31,14,3,1
7,50,17,68.8485,57.9394,17,17,159,159,0.155311,0.284064,11,19,12,2,0
8,66,18,50.7917,44.0417,5,5,136,136,0.142923,0.290273,8,15,8,1,0
9,92,22,37.8429,34.4286,5,5,119,119,0.119885,0.292443,6,12,6,0,0
10,138,34,28.1154,26.6731,5,5,119,119,0.0965166,0.284953,5,8,5,0,0
11,196,66,23.2,22.4846,5,5,81,81,0.0581525,0.21643,4,5,4,0,0
12,250,92,19.0127,18.9747,5,5,69,69,0.0477359,0.196083,3,4,3,0,0
13,292,114,16.4382,16.8876,5,5,44,44,0.0342938,0.173636,3,3,2,0,0
14,328,139,14.6561,15.5132,5,5,37,37,0.0130394,0.112174,2,1,2,0,0
15,348,153,13.8308,14.8513,5,5,35,35,0.0089112,0.105735,2,1,2,0,0
16,364,149,12.0233,13.2698,5,5,22,22,0.0135496,0.131754,2,1,2,0,0
17,408,158,10.336,11.396,5,5,19,19,0.0131697,0.144815,2,1,1,0,0
18,436,161,8.45455,9.53818,5,5,11,12,0.0050566,0.112986,2,1,1,0,0
19,332,0,5,6,5,5,5,6,0.0127718,0.163169,2,2,1,0,0
