depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,123,97,123,97,123,97,0.002478,0.0519311,0,123,70,96,96,65
1,2,0,101.5,81.5,90,89,113,90,0.0044976,0.0888188,0,101,56,76,76,54
2,4,0,98,80.25,66,66,160,121,0.0085364,0.174589,0,98,55,73,73,52
3,8,0,86.5,73.375,47,47,164,164,0.0102423,0.260697,0,86,49,62,62,47
4,16,0,72.125,64.3125,29,29,150,150,0.0155476,0.423982,0,72,41,49,49,41
5,32,0,61.625,56.2812,13,13,153,153,0.023848,0.682204,0,61,35,41,41,35
6,64,0,51.5781,49.1719,3,3,143,143,0.0404512,1.13431,0,51,30,32,32,30
7,118,0,42.2203,42.1525,3,3,113,113,0.0593861,1.73381,0,42,25,25,25,25
8,222,0,35.3108,36.2748,3,3,116,116,0.0914031,2.74505,0,35,21,20,20,21
9,354,0,29.0706,30.8588,3,3,118,118,0.117481,3.5969,0,29,17,15,15,17
10,588,0,24.2313,26.4286,3,3,104,104,0.158752,4.91349,0,24,14,12,12,14
11,912,0,19.4068,21.7456,3,3,107,107,0.18585,6.07643,0,19,11,8,8,11
12,1194,0,16.1834,18.4322,3,3,100,100,0.189446,6.47834,0,16,9,6,6,9
13,1478,0,13.6617,15.8701,3,3,102,102,0.193894,6.6708,0,13,7,5,5,7
14,1560,0,12.3006,14.4571,3,3,89,89,0.168031,6.2702,0,12,6,4,4,6
15,1452,0,11.5269,13.6508,3,3,87,87,0.148788,5.46789,0,11,6,4,4,6
16,1334,0,11.096,13.2294,3,3,79,79,0.126192,4.74315,0,11,5,3,3,5
17,1150,0,10.8461,12.973,3,3,82,82,0.103024,3.98374,0,10,5,3,3,5
18,1016,0,10.0551,12.185,3,3,58,58,0.0804914,3.23924,0,10,5,3,3,5
19,804,0,9.54353,11.6617,3,3,58,58,0.0583802,2.41406,0,9,4,2,2,4
20,634,0,9.00473,11.0079,3,3,54,54,0.0416995,1.7772,0,9,4,2,2,4
21,456,0,8.83772,10.7961,3,3,40,40,0.0282591,1.25546,0,8,4,2,2,4
22,288,0,9.07292,11.0938,3,3,35,35,0.0185453,0.805549,0,9,4,2,2,4
23,198,0,8.83333,10.899,3,3,33,33,0.0120138,0.521099,0,8,4,2,2,4
24,146,0,7.75342,9.71918,3,3,25,25,0.0071361,0.332473,0,7,3,1,1,3
25,108,0,6.35185,8.17593,3,3,21,21,0.0035684,0.197916,0,6,2,0,0,2
26,66,0,5.39394,7.19697,3,3,13,13,0.0014353,0.0999679,0,5,2,0,0,2
27,32,0,4.875,6.6875,3,3,9,9,0.00051,0.0434474,0,4,1,0,0,1
28,14,0,4.42857,6.14286,3,3,7,7,0.000167,0.0179257,0,4,1,0,0,1
29,4,0,3.5,4.75,3,3,5,5,1.67e-05,0.004156,0,3,1,0,0,1
