depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,165,121,165,121,165,121,0.0035741,0.073804,0,165,92,136,136
1,2,0,122.5,93,107,104,138,107,0.0035198,0.0533625,40,70,67,96,57
2,4,0,103.25,83.25,76,76,134,109,0.0057388,0.0969898,34,57,59,79,45
3,8,0,89.25,76.375,64,64,122,103,0.009974,0.157791,29,54,52,65,41
4,16,4,86.0833,75.9167,57,57,130,130,0.008939,0.157366,34,38,52,62,28
5,24,2,81.6364,74.3636,51,51,135,135,0.020582,0.357284,28,47,51,58,35
6,44,3,75.122,70.8537,33,33,113,113,0.032517,0.569129,27,42,48,52,30
7,82,12,69.4429,67.5143,33,33,117,117,0.0464415,0.786584,28,34,46,47,24
8,138,29,65.3394,65,30,30,119,119,0.0574834,0.987847,29,27,44,44,19
9,216,45,58.5673,59.4795,17,17,117,117,0.0721341,1.26559,27,22,39,38,15
10,320,78,54.2562,56.1157,17,17,113,113,0.0911758,1.57974,26,20,37,35,13
11,432,128,50.5164,52.8322,17,17,104,104,0.0913078,1.61215,26,16,34,32,10
12,574,202,47.7419,50.3441,17,17,100,100,0.0813961,1.47057,26,11,32,29,7
13,698,252,45.4103,48.3744,17,17,97,97,0.0889579,1.58527,25,10,31,28,6
14,822,315,42.5878,45.6095,16,16,92,92,0.0734408,1.4111,25,8,28,25,4
15,916,311,39.2132,42.4083,14,14,84,84,0.103337,1.87797,21,9,26,23,5
16,1084,350,36.064,39.3706,12,12,88,88,0.132303,2.33233,19,9,24,20,5
17,1292,481,33.4513,36.8052,11,11,81,81,0.103187,1.9686,19,7,22,18,4
18,1440,492,31.077,34.4768,11,11,74,74,0.138044,2.53988,16,8,20,17,4
19,1638,591,28.6122,32.0096,10,10,71,71,0.115785,2.25327,15,6,18,15,3
20,1798,620,26.0883,29.3913,7,7,68,68,0.121932,2.44369,14,6,16,13,3
21,1944,677,23.558,26.749,7,7,63,63,0.106672,2.19458,13,5,14,11,2
22,2128,611,20.706,23.8293,5,5,62,62,0.148487,2.8214,10,5,12,9,2
23,2400,782,18.8152,21.9747,5,5,62,62,0.132243,2.60276,9,4,11,8,2
24,2688,949,17.3422,20.4278,5,5,52,52,0.118388,2.45471,9,4,10,7,1
25,2870,1032,15.7617,18.6937,5,5,50,50,0.101332,2.26864,8,3,9,6,1
26,2988,1103,14.2371,17.0286,5,5,45,45,0.0776359,1.88997,7,2,7,5,0
27,3160,1116,12.5817,15.2363,3,3,41,41,0.0706153,1.81119,6,2,6,4,0
28,3324,1087,11.0545,13.5346,3,3,34,34,0.0806933,1.99685,5,2,5,3,0
29,3522,1379,10.6001,13.0303,3,3,34,34,0.0586228,1.64589,5,1,5,2,0
30,3702,1487,9.83567,12.1607,3,3,31,31,0.0553753,1.5995,4,1,4,2,0
31,3844,1487,8.7972,11.0102,3,3,27,27,0.0497532,1.5796,4,1,4,1,0
32,3972,1805,8.50208,10.6876,3,3,22,22,0.019817,1.08816,3,0,3,1,0
33,3970,1443,7.1393,9.19034,3,3,18,18,0.0371486,1.40525,3,1,3,1,0
34,3734,1140,6.17887,8.16962,3,3,18,18,0.0411235,1.44388,3,1,2,0,0
35,3380,1244,6.04026,8.07678,3,3,16,16,0.0249383,1.09962,2,1,2,0,0
36,3154,1165,5.58321,7.60282,3,3,12,12,0.0202074,0.968732,2,0,2,0,0
37,2866,1310,5.76799,7.92095,3,3,11,11,0.0059289,0.642309,2,0,2,0,0
38,2818,1268,5.54452,7.69226,3,3,9,9,0.0068282,0.652966,2,0,2,0,0
39,2758,1051,4.97657,6.95899,3,3,7,7,0.0170274,0.818086,2,0,1,0,0
40,2726,1297,4.82645,6.73968,3,3,5,7,0.0016948,0.539419,1,0,1,0,0
41,2594,0,3,4,3,3,3,4,0.0292679,1.0368,1,1,1,0,0
