depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,177,140,177,140,177,140,0.0045598,0.085664,0,177,104,141,141
1,2,0,136,113.5,115,115,157,128,0.0063598,0.123486,0,136,81,103,103
2,4,0,111.5,94.75,92,92,137,114,0.0074901,0.168385,0,111,65,82,82
3,8,0,102.75,88.875,75,75,129,121,0.0109586,0.28778,0,102,62,75,75
4,16,5,95.7273,84.1818,75,75,132,116,0.0141818,0.367283,0,95,58,69,69
5,22,4,86.6111,78.0556,59,59,131,110,0.0207235,0.556251,0,86,53,61,61
6,36,7,77.7586,71.3448,37,37,124,110,0.0294837,0.811039,0,77,47,54,54
7,58,6,71.3077,67.4615,31,31,126,126,0.048108,1.32879,0,71,45,48,48
8,102,15,66.092,64.1609,21,21,121,121,0.0767205,2.02749,0,66,42,44,44
9,172,36,61.8824,61.0368,21,21,118,118,0.108967,2.93165,0,61,40,41,41
10,270,64,57.4029,57.7087,21,21,117,117,0.153638,4.10724,0,57,38,37,37
11,390,122,53.597,54.6231,18,18,117,117,0.184228,4.96056,0,53,35,34,34
12,510,172,50.5089,52.0533,12,12,117,117,0.225763,5.91825,0,50,33,32,32
13,636,210,47.169,49.1268,12,12,117,117,0.260272,6.83143,0,47,31,29,29
14,790,247,43.6869,45.9853,8,8,117,117,0.30018,8.05126,0,43,29,26,26
15,984,326,39.7796,42.272,8,8,117,117,0.328268,8.84481,0,39,26,23,23
16,1156,343,36.0394,38.7306,8,8,115,115,0.361072,9.77737,0,36,23,20,20
17,1406,492,34.0438,36.9333,7,7,108,108,0.383418,10.3389,0,34,22,19,19
18,1624,550,31.6359,34.5754,7,7,96,96,0.411366,11.2017,0,31,20,17,17
19,1854,633,29.0876,32.1007,7,7,88,88,0.412941,11.727,0,29,18,15,15
20,2098,736,26.9596,29.9192,5,5,83,83,0.42114,12.0847,0,26,16,13,13
21,2392,792,24.2888,27.2406,5,5,77,77,0.437177,12.7278,0,24,14,11,11
22,2764,811,21.6196,24.5172,5,5,71,71,0.458997,13.769,0,21,12,10,10
23,3162,1015,19.8701,22.7,3,3,66,66,0.459208,13.8435,0,19,11,8,8
24,3540,1207,18.4514,21.2533,3,3,62,62,0.452701,13.8585,0,18,10,7,7
25,3808,1357,17.195,19.9718,5,5,54,54,0.436356,13.4549,0,17,9,7,7
26,4082,1609,16.311,19.0809,3,3,48,48,0.402404,12.7567,0,16,9,6,6
27,4316,1759,15.174,17.9214,3,3,45,45,0.378153,12.211,0,15,8,5,5
28,4390,1611,13.4854,16.0939,3,3,40,40,0.347531,11.6454,0,13,7,4,4
29,4388,1656,13.0179,15.6508,3,3,35,35,0.33272,11.0577,0,13,7,4,4
30,4372,1625,12.1696,14.794,3,3,31,31,0.299694,10.3072,0,12,6,3,3
31,4444,1520,11.237,13.7445,3,3,29,29,0.284469,9.8886,0,11,5,3,3
32,4590,1569,10.1735,12.5796,3,3,27,27,0.246146,9.20355,0,10,5,2,2
33,4694,1592,9.14603,11.4423,3,3,24,24,0.214556,8.4853,0,9,4,2,2
34,4736,1641,8.3832,10.5483,3,3,20,20,0.18548,7.68693,0,8,3,1,1
35,4870,1961,7.76212,9.96391,3,3,17,17,0.149848,6.71855,0,7,3,1,1
36,4788,1990,7.20979,9.34525,3,3,14,14,0.123072,5.98743,0,7,3,1,1
37,4742,1738,6.20872,8.23535,3,3,11,11,0.0966645,5.42794,0,6,2,0,0
38,4342,1693,5.78558,7.8154,3,3,9,11,0.073613,4.49956,0,5,2,0,0
39,4140,1168,4.81427,6.63358,3,3,7,7,0.051655,4.04719,0,4,1,0,0
40,3704,1363,4.32678,5.99018,3,3,5,7,0.0289753,2.89749,0,4,1,0,0
41,2872,0,3,4,3,3,3,4,0,2.22348,0,3,1,0,0
