depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,1276,554,1276,554,1276,554,0.134532,0.543891,0,1276,369
1,2,0,833,861,765,388,901,901,0.131859,0.656438,0,833,253
2,4,0,589.25,1462,474,280,722,722,0.178649,0.924666,0,589,199
3,8,0,490.5,2561,261,252,670,670,0.291237,1.54929,0,490,170
4,16,2,355.25,4065,172,172,661,661,0.421119,2.27065,0,406,153
5,28,3,318.679,6822,152,152,663,663,0.656312,3.55372,0,356,141
6,50,7,271.18,10903,110,110,713,713,1.00768,5.40768,0,315,130
7,86,24,207.453,14905,110,110,656,656,1.34281,7.07921,0,287,122
8,124,30,190.677,20687,67,67,623,623,1.71066,9.05859,0,251,110
9,188,62,155.527,26440,67,67,593,593,2.07809,11.2376,0,232,104
10,252,106,131.484,30447,67,67,523,523,2.41104,13.6514,0,226,103
11,292,118,131.911,35494,67,67,513,513,2.81159,15.7696,0,221,101
12,346,133,128.046,40988,57,57,490,490,3.12258,16.6149,0,208,94
13,422,152,120.291,47530,57,57,454,454,3.50911,18.5513,0,188,84
14,534,134,122.609,62531,50,50,422,422,4.17206,23.6908,0,163,73
15,716,239,103.05,71081,41,41,387,387,4.68865,26.5659,0,154,68
16,916,346,89.941,80430,41,41,370,370,5.19136,29.1868,0,144,64
17,1114,446,82.7675,90230,41,41,333,333,5.85457,32.5072,0,138,60
18,1302,518,77.9585,99618,35,35,297,297,6.74852,36.4734,0,129,56
19,1510,531,74.5834,111563,24,24,261,261,7.03535,39.6189,0,115,49
20,1828,536,71.7916,131468,24,24,242,242,7.61471,45.7251,0,101,42
21,2314,740,63.911,149323,21,21,231,231,8.56305,51.1402,0,93,39
22,2830,1079,53.9742,155754,12,12,209,209,8.56101,52.189,0,87,35
23,3298,1371,48.5443,164241,8,8,185,185,8.75147,53.6603,0,83,33
24,3666,1475,46.0352,174361,8,8,168,168,9.01819,55.8037,0,77,30
25,4094,1288,45.2086,192136,8,8,155,155,9.37968,61.9921,0,65,25
26,4806,1397,40.7237,203686,7,7,135,135,9.15382,65.0775,0,57,21
27,5688,1740,35.0721,209930,7,7,119,119,8.29348,65.324,0,50,17
28,6968,2646,28.6827,210367,7,7,100,100,8.17859,65.2682,0,46,15
29,7810,2975,25.3067,209486,4,4,90,90,7.79603,64.94,0,40,13
30,8456,3401,22.7482,204621,7,7,79,79,7.30294,64.8683,0,38,12
31,9116,2528,21.8615,213658,6,6,68,68,6.85139,69.3816,0,30,9
32,9994,2995,18.3993,201134,4,4,58,58,5.6141,60.7919,0,26,7
33,10896,3335,15.7299,189167,4,4,47,47,4.6069,56.811,0,22,6
34,12166,4451,13.0482,175824,4,4,40,40,3.86458,52.3625,0,20,5
35,13088,4412,10.7284,160952,4,4,32,32,2.97124,49.1995,0,16,4
36,13938,5298,9.04958,146499,4,4,27,27,2.40954,44.4206,0,14,3
37,14588,4124,7.81533,136337,4,4,20,20,1.76077,41.6878,0,10,2
38,14566,4564,6.46046,114231,4,4,17,17,1.19755,35.4278,0,9,2
39,13778,3693,5.46422,93411,4,4,12,12,0.65036,29.6373,0,7,1
40,12914,4738,4.23649,68768,4,4,8,9,0.355303,19.8387,0,6,1
41,11056,0,4,55280,4,4,4,5,0,10.6546,0,4,1
