depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,204,152,204,152,204,152,0.004444,0.108495,0,204,118,170,170,88
1,2,0,177,143,171,136,183,183,0.0088456,0.121054,46,124,108,142,104,98
2,4,0,152.25,128.75,126,126,174,174,0.010107,0.16443,49,89,95,119,72,94
3,8,0,135.125,117.625,85,85,176,176,0.0125032,0.238489,48,76,84,102,58,83
4,16,0,119.688,108.375,71,71,173,173,0.0278161,0.468621,42,72,76,88,55,75
5,32,0,105.906,99.4062,53,53,173,173,0.0495621,0.813507,38,63,69,75,47,68
6,64,0,92.0469,88.0312,36,36,165,165,0.0639489,1.26974,34,51,60,64,37,60
7,128,0,79.8828,77.3359,22,22,172,172,0.109009,2.15136,30,44,52,54,31,52
8,250,0,69.704,68.668,9,9,179,179,0.191502,3.72721,26,40,45,46,28,45
9,488,0,58.8443,58.9959,3,3,166,166,0.303256,5.97061,22,32,38,37,22,38
10,888,0,49.1959,50.2568,3,3,163,163,0.452669,8.90867,19,27,31,30,17,31
11,1512,0,40.7434,42.4808,3,3,162,162,0.617289,12.6275,16,22,25,24,14,25
12,2290,0,33.8179,35.8677,3,3,160,160,0.76098,15.7526,13,18,21,19,11,21
13,3176,0,28.0309,30.2783,3,3,149,149,0.848051,17.9919,11,15,17,15,8,17
14,3978,0,23.861,26.1584,3,3,150,150,0.880564,19.15,9,12,14,12,7,14
15,4644,0,20.6718,22.9727,3,3,159,159,0.873334,19.2402,8,11,12,10,5,12
16,4932,0,18.4406,20.6997,3,3,149,149,0.807628,17.9564,7,9,10,8,4,10
17,4868,0,16.6405,18.8574,3,3,150,150,0.695687,15.6014,7,8,9,7,4,9
18,4478,0,15.3037,17.475,3,3,124,124,0.580221,13.095,6,8,8,6,3,8
19,4034,0,14.3128,16.4574,3,3,130,130,0.47937,10.9611,6,7,8,5,3,8
20,3474,0,13.342,15.4718,3,3,104,104,0.379011,8.72309,5,6,7,5,2,7
21,2892,0,12.612,14.74,3,3,101,101,0.292668,6.80498,5,6,6,4,2,6
22,2322,0,11.8144,13.8992,3,3,92,92,0.212308,5.02246,5,6,6,4,2,6
23,1848,0,11.211,13.2695,3,3,88,88,0.157342,3.76441,4,5,5,3,2,5
24,1420,0,10.8056,12.8331,3,3,73,73,0.114054,2.71009,4,5,5,3,2,5
25,1052,0,10.0038,11.9667,3,3,73,73,0.0758827,1.85502,4,5,5,3,1,5
26,748,0,9.50802,11.4171,3,3,58,58,0.0501083,1.26219,4,4,4,2,1,4
27,546,0,8.99267,10.8077,3,3,55,55,0.0338244,0.869274,4,4,4,2,1,4
28,386,0,8.14767,9.93523,3,3,53,53,0.0207891,0.543898,3,4,3,2,1,3
29,264,0,7.48485,9.20076,3,3,50,50,0.0127052,0.338411,3,3,3,1,0,3
30,168,0,6.92262,8.58929,3,3,36,36,0.0071399,0.197406,3,3,3,1,0,3
31,96,0,6.26042,7.88542,3,3,28,28,0.0034778,0.105286,3,3,2,1,0,2
32,64,0,5.76562,7.1875,3,3,26,26,0.0020001,0.0640212,3,2,2,1,0,2
33,26,0,5.69231,7.07692,3,3,13,13,0.0007393,0.0232059,3,2,2,0,0,2
34,10,0,4.4,5.7,3,3,11,11,0.0001801,0.006849,2,2,1,0,0,1
35,6,0,3,4,3,3,3,4,6.94e-05,0.0031336,2,1,1,0,0,1
