depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,271,204,271,204,271,204,0.0131652,0.21872,0,271,154
1,2,0,259,406,250,191,268,268,0.012676,0.186281,69,172,155
2,4,0,246.25,797,206,159,295,295,0.021212,0.33303,67,169,154
3,8,0,225.375,1516,170,159,280,280,0.0302855,0.525463,74,139,147
4,16,0,206,2879,144,144,296,296,0.0488051,0.882853,71,118,139
5,32,1,187.719,5491,116,116,301,301,0.0921389,1.58596,71,111,137
6,62,1,179.839,10551,94,94,319,319,0.169044,2.88116,70,103,133
7,122,11,159.885,18934,86,86,336,336,0.245896,4.3568,73,90,132
8,218,36,142.138,30650,81,81,348,348,0.347736,6.15949,78,78,130
9,350,72,130.157,45545,62,62,337,337,0.444225,7.91647,81,66,127
10,488,104,122.627,60143,59,59,337,337,0.562318,10.1556,80,60,121
11,672,158,114.588,77830,45,45,382,382,0.664128,12.3927,78,55,116
12,866,235,104.602,91822,45,45,325,325,0.700207,13.4402,79,48,111
13,1060,332,96.1906,103653,40,40,317,317,0.677173,13.2788,81,40,109
14,1254,456,86.2321,110022,42,42,310,310,0.56087,11.3558,84,30,105
15,1438,539,81.7476,119858,42,42,310,310,0.543882,11.5415,83,27,101
16,1620,632,77.9784,128975,42,42,303,303,0.535612,11.37,83,23,98
17,1818,642,78.8603,146593,31,31,287,287,0.716068,15.2041,76,27,93
18,2030,696,76.9256,160073,30,30,265,265,0.782761,16.8241,73,26,89
19,2248,637,80.1103,185526,29,29,265,265,1.21119,25.3951,63,34,85
20,2586,766,74.9749,200456,29,29,254,254,1.25982,26.6209,61,31,81
21,2946,990,68.4752,208999,29,29,248,248,1.17132,25.0957,61,27,78
22,3218,1196,62.4257,208302,29,29,238,238,0.914504,20.6672,62,21,75
23,3438,1288,59.53,212631,29,29,227,227,0.856832,19.7689,60,18,72
24,3622,1364,57.6491,217136,28,28,213,213,0.868702,20.2197,58,18,69
25,3822,1441,55.5055,221003,11,11,208,208,0.881138,20.4824,56,17,67
26,4056,1510,53.2643,225662,19,19,204,204,0.857012,20.0525,54,16,63
27,4340,1341,54.8857,249663,18,18,204,204,1.27974,29.1783,46,20,58
28,4684,1415,53.2711,262390,15,15,199,199,1.44354,32.9464,43,21,56
29,5042,1643,49.1809,261317,15,15,193,193,1.29417,30.0204,42,18,53
30,5456,2027,44.4437,256011,15,15,172,172,1.03347,25.6768,43,14,51
31,5806,2125,42.5661,261984,15,15,148,148,1.06128,26.5648,40,14,48
32,6176,2304,39.6915,260856,15,15,148,148,0.914484,23.5225,39,11,45
33,6480,2454,37.5008,259504,10,10,141,141,0.860457,22.1836,37,10,43
34,6864,2452,36.5168,269324,10,10,140,140,1.00499,24.8993,34,11,40
35,7312,2246,37.0317,292657,10,10,140,140,1.42166,34.2176,30,14,37
36,7934,2592,34.3125,295753,10,10,136,136,1.40496,34.329,28,13,35
37,8516,2838,31.5254,293273,10,10,126,126,1.28584,32.6461,26,11,32
38,9198,3393,28.5316,287673,10,10,122,122,1.09267,28.9404,26,9,31
39,9680,3800,26.145,278667,10,10,121,121,0.879994,24.7836,25,7,29
40,10214,4076,24.5904,277380,7,7,111,111,0.753237,22.6455,24,6,27
41,10684,4137,23.6521,279785,8,8,94,94,0.80156,24.0747,22,6,25
42,11336,3997,22.863,288083,7,7,94,94,0.919629,27.7759,20,7,23
43,11986,3778,22.1009,296302,7,7,93,93,1.12931,35.0482,17,7,20
44,12776,4264,20.2022,290443,7,7,88,88,1.16309,36.328,16,7,19
45,13572,4998,17.9719,276100,5,5,77,77,0.941829,30.4482,15,6,17
46,14144,5321,16.7114,268706,5,5,75,75,0.893746,29.9828,14,5,16
47,14782,5647,15.5569,262584,5,5,68,68,0.773368,28.0841,13,4,15
48,15172,6169,14.1323,245387,5,5,62,62,0.567324,22.717,13,3,14
49,15582,6611,13.087,234236,3,3,63,63,0.436311,19.156,12,2,13
50,15716,5902,12.8833,233921,5,5,55,55,0.561314,22.9537,11,3,12
51,15864,5412,12.3555,228060,3,3,53,53,0.662001,26.0087,10,3,10
52,16278,5452,11.697,223194,3,3,51,51,0.756691,28.8992,8,4,10
53,16834,6100,10.4594,208094,3,3,46,46,0.640645,25.3369,8,3,9
54,17202,6435,9.68597,197763,3,3,43,43,0.572404,23.8198,7,3,8
55,17264,6456,8.86724,183119,3,3,39,39,0.479045,21.4486,7,2,7
56,16990,6908,8.14126,165928,5,5,38,38,0.343831,17.1059,6,2,7
57,17034,6760,7.63027,157213,3,3,35,35,0.32095,16.2588,6,2,6
58,17024,6958,6.97392,144808,3,3,33,33,0.224242,13.1341,6,1,6
59,17034,6258,6.79112,142619,3,3,31,31,0.289263,15.0577,5,1,5
60,16468,5428,6.53139,133613,3,3,26,26,0.3407,16.1267,4,2,4
61,15812,5765,5.83411,115617,3,3,24,24,0.225264,12.7951,4,1,4
62,15146,5902,5.45946,104178,3,3,21,21,0.198576,11.9944,4,1,4
63,14872,5657,5.0351,95665,3,3,17,17,0.170678,11.3679,3,1,3
64,14454,5920,4.53833,84171,3,3,16,16,0.10852,9.0893,3,1,3
65,14014,5033,4.20187,77246,3,3,13,13,0.113812,8.7139,3,1,2
66,13150,4927,3.81369,66888,3,3,13,13,0.075862,7.33202,2,0,2
67,12238,4929,3.53465,57973,3,3,11,11,0.0481671,5.8983,2,0,2
68,11724,3765,3.46358,55555,3,3,9,11,0.100773,7.48614,2,1,2
69,10144,3366,3.23787,45421,3,3,7,7,0.0815798,6.78618,2,1,1
70,8862,3769,2.68009,33123,3,3,5,7,0.0239291,3.95995,2,0,1
71,8192,0,3,32768,3,3,3,4,0.101029,5.48152,1,1,1
