depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,18,24,18,24,18,24,0.0007047,0.032555,0,18,11
1,2,0,14,17.5,14,14,14,17,0.0009095,0.0219478,4,8,7
2,4,1,18.6667,23,15,19,22,22,0.0018162,0.0364705,2,11,11
3,6,0,16.5,20.5,10,10,24,24,0.0020199,0.0316024,3,8,9
4,12,2,16.7,21,9,9,29,29,0.0041233,0.0570621,3,8,9
5,20,5,15.4,19.6667,8,8,31,31,0.0035729,0.0576014,4,7,8
6,30,6,13.9167,18.2083,3,3,32,32,0.005783,0.0878234,3,7,7
7,44,12,12.625,16.9062,7,7,25,25,0.0070362,0.109743,3,7,6
8,58,14,11.6591,15.7955,5,5,27,27,0.008278,0.129607,2,7,6
9,78,21,10.807,14.7544,3,3,31,31,0.0092948,0.14866,2,6,5
10,96,23,10.0411,13.863,3,3,25,25,0.0119086,0.182802,2,7,5
11,110,30,9.35,12.95,3,3,23,23,0.0115879,0.187087,1,6,4
12,122,38,8.71429,12.1548,3,3,22,22,0.0117458,0.190421,2,6,4
13,128,33,7.10526,9.92632,3,3,21,21,0.0096153,0.161762,1,4,3
14,110,31,6.63291,9.18987,3,3,24,24,0.0071726,0.129312,1,4,2
15,102,27,5.78667,8.01333,3,3,16,16,0.0054705,0.103862,1,3,2
16,82,31,5.03922,6.96078,3,3,15,15,0.0025596,0.0595986,1,3,2
17,44,15,3.82759,5.24138,3,3,7,7,0.0010928,0.0249145,0,2,1
18,24,11,3.46154,4.69231,3,3,7,7,0.0004292,0.0118095,0,2,1
19,8,3,3.4,4.6,3,3,5,5,0.0001126,0.0029983,1,2,1
20,2,0,3,4,3,3,3,4,4.9e-05,0.0009455,1,1,1
