depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,12,17,12,17,12,17,0.000229,0.0096057,0,12,6
1,2,0,17,23,15,15,19,25,0.0009492,0.0173496,0,17,9
2,4,0,15.25,20.25,3,3,22,22,0.0012098,0.0264863,0,15,8
3,8,3,15.2,20.4,5,5,25,25,0.0015382,0.0362309,0,15,8
4,10,3,16.5714,22.4286,5,5,22,27,0.0020106,0.0442383,0,16,8
5,14,1,15.3846,21,3,3,30,32,0.0031178,0.0723913,0,15,7
6,26,6,14.3,19.4,3,3,27,27,0.0040357,0.0926109,0,14,7
7,40,13,13.1481,17.9259,5,5,28,28,0.0041915,0.10195,0,13,7
8,54,13,11.8537,16.2439,3,3,28,28,0.0049829,0.131263,0,11,6
9,82,24,10.8103,14.931,3,3,31,31,0.0065633,0.182735,0,10,5
10,98,29,10.2754,14.2174,3,3,24,24,0.00745,0.199836,0,10,5
11,96,27,9.6087,13.3333,3,3,23,23,0.0065359,0.184766,0,9,4
12,94,26,8.66176,11.9706,3,3,22,22,0.0052586,0.160729,0,8,4
13,32,9,8.82609,12.3478,3,4,16,16,0.0017396,0.0538895,0,8,4
14,30,12,5.83333,8.05556,3,3,14,14,0.0006657,0.0285437,0,5,2
15,20,5,4.73333,6.53333,3,3,7,7,0.000338,0.0188167,0,4,1
16,10,5,5,7,3,4,7,7,0.0001237,0.0063397,0,5,2
17,8,2,4,5.5,3,3,7,10,6.19e-05,0.0056968,0,4,1
18,4,2,4,5.5,3,4,5,5,4.3e-05,0.0026167,0,4,1
19,2,1,7,10,7,10,7,10,3.94e-05,0.0019889,0,7,3
