depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,41,53,41,53,41,53,0.0005295,0.0134059,0,41,28,16,16
1,2,0,24.5,30.5,5,5,44,54,0.0005133,0.0067394,6,13,15,9,6
2,4,2,49.5,60,31,31,68,81,0.0015287,0.0225406,4,39,33,22,18
3,4,1,55,65.6667,51,51,61,64,0.0031437,0.0436244,4,49,39,28,27
4,6,0,37.3333,45.5,15,15,65,77,0.0044265,0.0534847,5,30,25,17,14
5,12,1,35,42.1818,10,10,77,77,0.0055552,0.076594,7,22,23,16,10
6,22,6,36.4375,44.125,11,11,66,66,0.0066624,0.0948999,10,21,24,16,9
7,32,5,31.8889,38.7037,7,7,67,67,0.0102262,0.145581,7,21,20,13,9
8,54,11,29.3721,35.7209,5,5,57,62,0.0145662,0.217018,6,20,18,12,8
9,86,17,29.087,34.8551,5,5,82,82,0.0249522,0.390905,5,21,18,12,9
10,138,36,25.3922,30.8627,3,3,71,71,0.0332734,0.488452,5,18,16,10,8
11,180,47,25.2932,30.9774,3,3,69,69,0.0432836,0.62961,5,17,15,10,7
12,246,63,23.847,29.3934,5,5,73,73,0.0550359,0.776015,5,16,14,9,6
13,340,85,22.0824,27.2863,3,3,70,70,0.0789745,1.06688,4,16,13,8,6
14,454,137,21.6183,26.5268,3,3,63,63,0.098037,1.33496,4,16,13,8,6
15,558,180,21.1005,25.8571,3,3,79,79,0.112269,1.51073,4,15,12,7,6
16,644,202,19.6923,24.3778,3,3,71,71,0.115279,1.51374,4,14,11,6,5
17,742,238,17.9266,22.4187,3,3,52,52,0.119362,1.5394,4,12,10,5,4
18,822,268,17.0217,21.4242,3,3,46,46,0.122641,1.63745,3,12,9,5,4
19,852,297,15.9207,20.2631,3,3,60,60,0.112346,1.45027,3,10,8,4,3
20,688,251,14.5515,18.6751,3,3,47,47,0.0772513,1.03688,3,9,7,3,3
21,562,206,13.0534,17.014,3,3,49,49,0.0544236,0.729534,3,8,6,2,2
22,450,181,10.8848,14.4015,3,3,31,31,0.0311695,0.438846,3,7,5,1,1
23,326,118,9.76442,13.0817,3,3,23,23,0.0212987,0.310009,2,6,4,1,1
24,244,96,8.08784,10.9595,3,3,28,28,0.0114865,0.184437,2,5,3,0,0
25,156,66,8.23333,11.1333,3,3,31,31,0.0072304,0.117497,2,5,3,1,0
26,108,42,7.34848,9.93939,3,3,27,27,0.0043801,0.0696695,2,4,3,0,0
27,76,33,6,8.2093,3,3,13,13,0.0016626,0.0337741,2,3,2,0,0
28,44,19,4.8,6.56,3,3,12,12,0.0007287,0.0168152,1,2,1,0,0
29,26,13,5.15385,7.23077,3,3,9,9,0.0004756,0.0107199,2,3,2,0,0
30,10,5,4.2,5.8,3,3,5,5,0.0001019,0.0028959,2,2,1,0,0
31,6,2,3.5,4.75,3,3,5,5,8.76e-05,0.0021459,1,2,1,0,0
