depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,113,126,113,126,113,126,0.0031933,0.0518711,0,113,83
1,2,0,103,233,93,107,113,113,0.004204,0.0536767,23,60,76
2,4,0,90.25,418,56,56,138,138,0.0092421,0.114889,20,58,67
3,8,0,87,809,27,27,138,138,0.0108673,0.175085,18,58,65
4,16,0,81.0625,1509,15,15,183,183,0.0202484,0.316446,15,56,61
5,32,2,76,2815,13,13,184,184,0.0352341,0.600648,14,58,61
6,60,3,66.8333,4684,7,7,205,205,0.0585052,0.959291,13,48,52
7,114,14,56.9825,7627,3,3,195,195,0.0922758,1.57182,11,46,48
8,200,33,50.46,11963,3,3,207,207,0.141507,2.40767,11,42,44
9,334,39,47.9012,19189,3,3,228,228,0.234973,4.00996,8,41,38
10,590,83,41.1356,29376,3,3,215,215,0.356404,6.10724,7,36,33
11,1014,185,35.7613,44083,3,3,216,216,0.525318,9.14836,7,33,30
12,1598,327,31.9274,62504,3,3,176,176,0.720815,12.6894,6,30,27
13,2444,523,28.9709,87278,3,3,154,154,1.01497,17.9391,5,29,24
14,3642,784,26.6848,120279,3,3,174,174,1.38984,24.8773,4,27,22
15,5094,1222,24.9888,157695,3,3,158,158,1.78836,32.2497,4,26,21
16,6586,1662,24.167,197625,3,3,183,183,2.2633,41.1038,4,26,21
17,8182,2088,23.5419,238997,3,3,164,164,2.70476,50.1544,4,25,20
18,9644,2544,23.1212,276473,3,3,169,172,3.13603,60.0568,4,25,20
19,10180,2652,23.42,295226,3,3,177,177,3.32963,62.2233,5,25,20
20,9306,2356,24.03,276135,3,3,185,185,3.12226,57.5234,5,25,20
21,8730,2314,23.5332,253628,3,3,171,171,2.85902,52.2707,5,25,20
22,7682,2001,23.3245,221161,3,3,161,161,2.46988,44.8601,5,24,20
23,6808,1826,22.2272,186613,3,3,165,165,2.05123,37.0763,5,23,19
24,5492,1524,20.8893,141985,3,3,162,162,1.52586,27.3864,5,22,18
25,4234,1207,19.2589,101063,3,3,127,127,1.05217,18.6004,5,20,16
26,3486,1039,16.9997,73768,3,3,118,118,0.733372,12.9131,5,17,14
27,2422,755,15.1383,45935,3,3,111,111,0.426618,7.62024,5,15,13
28,1814,624,13.1841,30073,3,3,106,106,0.265548,4.98666,5,13,11
29,1600,572,11.435,23096,3,3,89,89,0.18973,3.616,4,11,10
30,1358,498,9.69219,16768,3,3,60,60,0.126517,2.48704,4,9,8
31,1106,428,8.18987,11613,3,3,53,53,0.0823997,1.66806,3,8,7
32,884,354,7.14819,8166,3,3,49,49,0.0545418,1.14972,3,7,6
33,674,285,6.47774,5691,3,3,45,45,0.0354404,0.783294,3,6,5
34,540,237,5.70926,4034,3,3,39,39,0.023248,0.530894,3,5,5
35,454,194,5.16079,3098,3,3,28,28,0.0181333,0.415223,3,5,4
36,338,151,4.52663,2039,3,3,25,25,0.0111779,0.286113,2,5,3
37,236,103,4.09746,1304,3,3,23,23,0.0061205,0.163304,2,4,3
38,172,79,3.5814,836,3,3,19,19,0.0036731,0.114244,2,3,2
39,108,46,3.10185,460,3,3,12,12,0.0015336,0.0529022,2,2,2
40,70,31,2.95714,279,3,3,11,11,0.0012547,0.0387344,2,3,2
41,42,19,2.95238,167,3,3,9,9,0.000672,0.0221232,2,3,2
42,22,9,2.59091,79,3,3,7,7,0.0002229,0.0082765,2,2,1
43,16,8,1.75,38,3,3,5,5,8.81e-05,0.004709,1,1,1
44,4,2,1.75,10,3,3,4,6,4.08e-05,0.001642,0,2,1
45,2,1,2.5,7,5,7,5,7,2.24e-05,0.0009332,1,3,2
46,2,1,1.5,4,3,4,3,4,4.8e-06,0.0004822,1,1,1
