depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,135,151,135,151,135,151,0.0034653,0.0644533,0,135,106,90,90
1,2,0,141.5,157.5,127,127,156,178,0.0077802,0.092074,25,95,116,100,70
2,4,0,126.5,142,108,108,156,179,0.0107803,0.122928,36,73,102,86,49
3,8,0,133.875,150.625,109,109,184,184,0.0151302,0.245196,29,92,109,92,64
4,16,0,117.625,132.562,53,53,202,202,0.0247693,0.391933,28,74,94,79,50
5,32,2,106.167,121.667,24,24,233,233,0.044551,0.707971,23,72,83,68,48
6,60,2,94.8793,109.431,13,13,242,242,0.0773082,1.23534,19,67,73,59,42
7,116,10,85.4623,98.9811,9,9,259,259,0.12521,2.00634,19,60,65,52,37
8,212,28,81.8152,94.7772,5,5,315,315,0.204728,3.27523,17,57,62,49,35
9,368,54,75.7707,88.1943,3,3,291,291,0.327182,5.24785,16,53,56,44,31
10,628,102,70.6065,82.4202,5,5,303,303,0.528621,8.55535,13,51,52,40,30
11,1052,173,65.3891,76.5552,3,3,284,284,0.789124,12.9085,13,47,47,36,27
12,1750,337,61.4763,72.2258,3,3,282,282,1.18042,19.6126,12,44,44,33,25
13,2760,564,56.3119,66.6289,3,3,277,277,1.69067,28.5008,11,41,40,29,22
14,4020,878,54.5614,64.7062,3,3,284,284,2.33197,40.8187,10,40,38,28,21
15,5740,1203,51.2098,61.0031,3,3,258,258,3.15251,55.5278,10,38,35,26,20
16,7124,1505,49.9591,59.703,3,3,262,262,3.8013,66.9191,10,37,34,24,19
17,8786,1867,47.5667,57.0819,3,3,247,247,4.4381,79.5905,9,35,32,23,17
18,9500,2117,45.052,54.2783,3,3,247,247,4.38917,77.3654,9,33,30,21,16
19,10050,2292,42.7543,51.6949,3,3,258,258,4.36714,83.4,9,31,28,19,15
20,8912,2115,40.5152,49.1199,3,3,214,214,3.57229,70.1863,8,29,26,18,14
21,8568,2195,38.3057,46.5795,3,3,230,230,3.12044,62.0527,8,27,25,16,12
22,8110,2140,35.9077,43.7583,3,3,212,212,2.68336,52.7192,8,25,23,15,11
23,7350,2106,33.4329,40.8009,3,3,216,216,2.11828,41.3082,8,23,21,14,10
24,6866,2117,30.9661,37.8779,3,3,191,191,1.72922,33.3069,7,21,19,12,9
25,5948,1900,28.8799,35.3817,3,3,188,188,1.32124,25.2183,7,19,18,11,8
26,5350,1828,26.6224,32.72,3,3,155,155,1.0075,19.2393,7,17,16,10,7
27,4842,1710,24.7583,30.4218,3,3,121,121,0.796307,15.2981,7,15,15,9,6
28,4318,1632,22.7718,27.9963,3,3,125,125,0.591352,11.1503,6,13,13,8,5
29,3908,1488,20.6583,25.4091,3,3,98,98,0.467627,8.84781,6,12,12,7,5
30,3570,1418,19.401,23.8457,3,3,95,95,0.37203,7.17002,6,11,11,6,4
31,3188,1298,17.572,21.7085,3,3,103,103,0.280712,5.48241,5,9,10,5,3
32,2796,1158,15.8187,19.6624,3,3,90,90,0.205157,4.11786,5,8,8,4,3
33,2438,1005,14.2931,17.9009,3,3,80,80,0.158562,3.27127,4,7,7,4,2
34,1834,786,12.8826,16.1746,3,3,67,67,0.0978201,2.10351,4,6,6,3,2
35,1308,571,11.2551,14.2768,3,3,58,58,0.0556753,1.28056,4,5,5,2,1
36,1028,449,9.45423,12.1192,3,3,43,43,0.0355379,0.858114,3,4,4,2,1
37,772,339,8.52425,11.0739,3,3,42,42,0.0230217,0.589237,3,4,4,1,1
38,572,259,6.85942,9.02875,3,3,32,32,0.0116416,0.339174,2,3,3,0,0
39,378,172,6.02913,8.00971,3,3,17,17,0.006904,0.212424,2,3,2,0,0
40,274,134,5.40714,7.25714,3,3,15,15,0.0038576,0.127354,2,2,2,0,0
41,186,87,4.52525,6.12121,3,3,11,11,0.002219,0.0779063,2,2,1,0,0
42,98,46,4.13462,5.61538,3,3,8,8,0.0011233,0.036191,1,2,1,0,0
43,34,15,3.94737,5.31579,3,3,9,9,0.0003965,0.0129358,1,2,1,0,0
44,14,6,4,5.25,3,3,7,7,0.0001326,0.0049693,2,2,1,0,0
45,4,2,5,7,5,5,5,7,3.27e-05,0.0011603,2,1,2,0,0
46,4,2,3,4,3,3,3,4,2.98e-05,0.001177,2,2,1,0,0
