depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,97,117,97,117,97,117,0.0040561,0.0921646,0,97,75,55,55,0
1,2,0,81.5,96.5,78,78,85,101,0.0049974,0.11151,0,81,59,44,44,0
2,4,0,102.75,118.5,92,92,116,116,0.0118629,0.254679,0,102,77,61,61,0
3,8,0,100.5,118.375,67,67,118,119,0.0179833,0.421489,0,100,76,58,58,0
4,16,0,106.188,123.938,55,55,246,246,0.0435777,0.990715,0,106,81,63,63,0
5,32,0,104.406,120.156,7,7,256,256,0.0881678,1.92687,0,104,79,63,63,0
6,64,8,102.5,117.321,3,3,280,280,0.135793,3.01734,0,102,78,63,63,0
7,112,12,97.12,111.18,3,3,280,290,0.247252,5.33055,0,97,74,60,60,0
8,200,28,87.564,100.453,5,5,271,294,0.210759,4.93982,0,87,66,53,53,0
9,344,64,83.1929,95.7929,3,3,286,309,0.330964,7.65254,0,83,62,50,50,0
10,560,104,77.9868,89.8904,3,3,279,279,0.501928,11.5783,0,77,58,46,46,0
11,912,208,75.3253,86.696,3,3,260,271,0.760412,17.23,0,75,56,44,44,0
12,1368,272,70.7272,81.5009,3,3,335,335,1.10625,25.0715,0,70,52,41,41,0
13,2066,483,70.2969,80.9071,3,3,389,389,1.59924,35.6857,0,70,51,41,41,0
14,2760,628,69.9536,80.4024,3,3,410,410,2.14069,47.7995,0,69,51,40,40,0
15,3644,852,68.6794,78.8994,3,3,392,392,2.76653,61.3134,0,68,50,40,40,0
16,4428,1003,68.4511,78.6893,3,3,345,345,3.39381,74.8224,0,68,50,39,39,0
17,5098,1117,68.5607,78.7106,3,3,338,338,4.00824,87.1706,0,68,50,39,39,0
18,5696,1307,67.3762,77.3156,3,3,335,335,4.34375,94.601,0,67,49,39,39,0
19,6482,1532,66.7461,76.5796,3,3,400,400,4.90642,101.301,0,66,48,38,38,0
20,7164,1715,65.5685,75.3101,3,3,396,396,5.29815,104.03,0,65,47,37,37,0
21,7378,1717,64.2452,73.8085,3,3,373,373,5.3417,104.662,0,64,46,37,37,0
22,6694,1591,62.8254,72.3288,3,3,383,383,4.56538,91.6808,0,62,45,35,35,0
23,6302,1561,60.3238,69.5104,3,3,378,378,4.06792,81.4623,0,60,43,34,34,0
24,5440,1380,56.7163,65.5002,3,3,387,387,3.15711,64.8019,0,56,40,31,31,0
25,4448,1230,52.8645,61.1796,3,3,358,358,2.28481,47.4733,0,52,37,28,28,0
26,3778,1080,48.609,56.5808,3,3,351,351,1.72073,36.3128,0,48,33,25,25,0
27,3374,972,45.3164,52.9242,3,3,289,289,1.39327,29.7632,0,45,31,23,23,0
28,2972,942,41.1256,48.2394,3,3,289,289,1.06341,24.1005,0,41,27,20,20,0
29,2546,854,37.9616,44.695,3,3,251,251,0.79662,18.3586,0,37,25,18,18,0
30,2336,794,33.9287,40.2827,3,3,195,195,0.627953,14.8646,0,33,22,15,15,0
31,1992,691,30.156,36.0184,3,3,200,200,0.44666,11.069,0,30,19,13,13,0
32,1834,672,26.9294,32.3873,3,3,140,140,0.338529,8.76868,0,26,16,11,11,0
33,1720,653,24.0253,29.1143,3,3,117,117,0.265539,7.16469,0,24,14,9,9,0
34,1590,625,20.9896,25.5554,3,3,96,96,0.196657,5.57658,0,20,12,7,7,0
35,1514,611,18.866,23.165,3,3,94,94,0.158252,4.63156,0,18,10,6,6,0
36,1424,596,16.8684,20.9251,3,3,78,78,0.123274,3.80525,0,16,9,5,5,0
37,1348,560,15.3338,19.1256,3,3,84,84,0.102109,3.27312,0,15,8,4,4,0
38,1284,545,14.065,17.6373,3,3,72,72,0.0858917,2.84354,0,14,7,4,4,0
39,1242,538,13.1804,16.6435,3,3,63,63,0.073565,2.51157,0,13,6,3,3,0
40,1182,512,12.1224,15.4507,3,3,52,52,0.0618451,2.1913,0,12,6,2,2,0
41,1034,451,11.3756,14.6346,3,3,55,55,0.0489888,1.80067,0,11,5,2,2,0
42,818,359,10.4052,13.4771,3,3,41,41,0.0336115,1.29221,0,10,5,2,2,0
43,700,305,9.09367,11.957,3,3,41,41,0.0235387,0.984591,0,9,4,1,1,0
44,492,220,7.47426,9.87132,3,3,25,25,0.0117708,0.565292,0,7,3,1,1,0
45,324,146,6.74157,9.04494,3,3,19,19,0.0061609,0.330408,0,6,3,0,0,0
46,182,78,5.38462,7.25,3,3,12,12,0.0022826,0.147838,0,5,2,0,0,0
47,94,43,5.05882,6.88235,3,3,11,11,0.0009441,0.0711428,0,5,2,0,0,0
48,60,26,4.5,6.14706,3,3,9,11,0.0004607,0.0424027,0,4,1,0,0,0
49,30,13,4.64706,6.41176,3,3,7,9,0.0002751,0.0215623,0,4,1,0,0,1
50,20,6,3.85714,5.28571,3,3,5,7,0.0001175,0.014053,0,3,1,0,0,1
51,8,1,3.28571,4.42857,3,3,5,5,1.56e-05,0.0052994,0,3,1,0,0,1
