depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,117,132,117,132,117,132,0.00278109,0.0605346,0,117,93,78,78,0
1,2,0,116,129,115,115,117,131,0.00314639,0.0417084,41,55,91,78,37,0
2,4,0,116.5,130.5,92,92,156,156,0.0102846,0.134586,16,89,91,77,58,0
3,8,0,107.25,120.75,33,33,156,179,0.0139,0.196987,21,76,85,72,52,0
4,16,2,103.143,115.571,40,40,148,158,0.0205714,0.301919,26,67,81,69,46,0
5,28,3,99.84,111.6,32,32,151,151,0.0351607,0.536477,22,69,79,67,47,0
6,50,2,85.7917,96.6875,17,17,181,181,0.061018,0.897809,18,61,66,55,40,0
7,96,8,75.7273,85.8182,7,7,165,165,0.0917588,1.38315,16,53,57,47,33,0
8,176,23,65.4118,74.7386,7,7,160,160,0.137653,2.08626,14,46,48,39,28,0
9,306,61,59.9878,69.0122,5,5,174,174,0.200573,3.07325,12,43,44,35,25,0
10,490,104,55.4715,63.9067,5,5,173,173,0.279315,4.30928,12,39,40,31,23,0
11,772,178,53.2559,61.404,5,5,184,184,0.404055,6.28353,11,37,38,30,21,0
12,1174,260,51.0284,58.7593,3,3,255,255,0.600742,9.38961,11,36,36,28,21,0
13,1808,460,49.862,57.4614,3,3,243,243,0.855714,13.6426,11,35,35,27,20,0
14,2644,666,49.186,56.6598,3,3,214,214,1.23845,20.5447,10,35,34,27,20,0
15,3748,956,49.005,56.3904,3,3,233,233,1.74163,29.2055,10,35,34,26,20,0
16,5064,1304,48.6699,55.8723,3,3,247,247,2.34205,39.4165,10,34,33,26,19,0
17,6436,1714,48.7825,55.8886,3,3,206,206,2.93173,48.7203,10,34,33,26,20,0
18,7992,2179,48.0055,55.0007,3,3,210,210,3.54213,59.0754,10,34,33,26,19,0
19,8954,2528,47.1091,53.9544,3,3,219,219,3.83384,64.0513,10,33,32,25,19,0
20,9804,2828,45.8427,52.4841,3,3,230,230,4.04248,70.5569,10,32,31,24,18,0
21,8746,2709,43.8183,50.1367,3,3,200,200,3.30129,61.498,10,30,29,23,17,0
22,8890,2814,42.2525,48.3631,3,3,204,204,3.16761,59.7404,10,28,28,22,16,0
23,8618,2822,40.1368,46.0412,3,3,189,189,2.78318,52.9471,10,27,26,20,15,0
24,8248,2857,38.5398,44.2857,3,3,199,199,2.42841,46.081,10,25,25,19,14,0
25,7530,2697,36.3906,41.8146,3,3,205,205,1.98054,37.0004,10,23,23,18,13,0
26,6948,2562,34.031,39.2314,3,3,184,184,1.62965,30.364,10,21,22,16,11,0
27,6404,2476,31.7485,36.652,3,3,175,175,1.31509,24.4963,9,19,20,15,10,0
28,5844,2307,29.2321,33.8807,3,3,204,204,1.04774,19.4285,9,17,18,13,9,0
29,5356,2212,27.2385,31.6285,3,3,166,166,0.820007,15.385,8,15,16,12,8,0
30,4840,2047,25.0866,29.3588,3,3,222,222,0.644585,12.106,8,14,15,10,7,0
31,4528,1942,23.1148,27.2707,3,3,129,129,0.526667,10.0039,7,12,13,9,6,0
32,4250,1867,21.5187,25.5166,3,3,137,137,0.436439,8.41616,7,11,12,8,5,0
33,4044,1821,20.0679,23.9793,3,3,103,103,0.360264,7.07577,6,10,11,7,4,0
34,3792,1712,18.4721,22.2317,3,3,104,104,0.297963,5.9104,6,9,10,6,4,0
35,3616,1669,17.2424,20.9147,3,3,92,92,0.246934,5.0592,6,8,9,5,3,0
36,3410,1582,15.7845,19.3671,3,3,82,82,0.203732,4.22836,5,7,8,4,3,0
37,3160,1483,14.7013,18.2379,3,3,79,79,0.164082,3.55957,5,7,7,4,2,0
38,2974,1399,13.6006,17.0476,3,3,58,58,0.137273,3.09218,4,6,7,3,2,0
39,2824,1341,12.6669,15.9582,3,3,52,52,0.116699,2.67928,4,6,6,3,1,0
40,2310,1112,11.3222,14.4399,3,3,57,57,0.0778475,1.88104,4,5,5,2,1,0
41,1794,871,10.8342,13.8841,3,3,64,64,0.0570685,1.41321,4,5,5,2,1,0
42,1436,696,10.2676,13.3149,3,3,50,50,0.0428804,1.09535,3,4,4,1,1,0
43,1210,589,9.47987,12.314,3,3,43,43,0.032234,0.85212,3,4,4,1,0,0
44,1026,500,8.45247,11.1312,3,3,34,34,0.0243322,0.663828,3,4,3,1,0,0
45,784,381,7.8139,10.3722,3,3,29,29,0.0168483,0.48845,2,3,3,1,0,0
46,534,263,7.30258,9.79705,3,3,23,23,0.0104376,0.305248,2,3,3,0,0,0
47,324,161,6.41718,8.57055,3,3,16,16,0.00499401,0.17209,2,3,2,0,0,0
48,204,102,5.73529,7.72549,3,3,14,14,0.00282008,0.09903,2,2,2,0,0,0
49,142,69,5.35616,7.19178,3,3,11,11,0.0017705,0.0652925,2,2,2,0,0,0
50,90,45,5.13333,6.95556,3,3,11,11,0.0010142,0.0390511,2,2,2,0,0,0
51,46,23,4.73913,6.47826,3,3,7,7,0.000419103,0.0175672,2,2,1,0,0,0
52,30,15,3.93333,5.4,3,3,5,7,0.0002351,0.0103692,2,2,1,0,0,1
53,12,6,3.33333,4.5,3,3,5,5,6.91e-05,0.0037206,2,1,1,0,0,1
54,2,1,3,4,3,4,3,4,4.8e-06,0.000531,2,1,1,0,0,1
