depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,117,132,117,132,117,132,0.0044357,0.0694504,0,117,93,78,78,0
1,2,0,106.5,121,84,84,129,144,0.0037581,0.0482495,32,63,86,71,44,0
2,4,0,100.75,114.25,54,54,129,138,0.00876712,0.11628,14,78,76,63,49,0
3,8,1,101.429,115.286,69,69,160,187,0.0114911,0.165476,16,72,80,66,50,0
4,14,0,87.7857,99.2143,30,30,162,171,0.0185847,0.275768,18,62,68,56,42,0
5,28,4,81.7083,92.4167,7,7,198,198,0.0249932,0.39185,18,54,62,52,35,0
6,48,10,73.2895,83.7368,7,7,148,154,0.0369622,0.547307,17,48,54,44,30,0
7,76,15,62.2295,71.5902,5,5,145,145,0.0498306,0.761578,14,42,45,36,26,0
8,122,38,61.631,71,5,5,165,165,0.0696515,1.08389,12,44,45,36,26,0
9,168,33,53.6148,62.2593,5,5,160,160,0.0975242,1.50982,12,38,38,30,22,0
10,270,76,53.3918,61.6753,3,3,161,161,0.140981,2.18996,10,39,38,30,23,0
11,388,110,51.4568,59.6799,3,3,165,165,0.19271,2.98535,11,37,36,28,21,0
12,556,170,51.4585,59.5933,3,3,183,183,0.258185,4.04711,11,37,36,28,21,0
13,772,213,48.7299,56.6655,3,3,227,227,0.36112,5.64161,9,35,34,26,20,0
14,1108,311,47.9072,55.5433,3,3,242,242,0.500898,7.91011,9,35,33,26,19,0
15,1570,427,46.9291,54.5722,3,3,198,198,0.690014,11.1245,9,34,32,25,19,0
16,2196,620,46.7456,54.2912,3,3,179,179,0.950891,15.6304,9,34,32,25,19,0
17,3006,838,46.328,53.7034,3,3,198,198,1.28711,21.6861,9,33,32,24,18,0
18,3972,1081,45.5673,52.8281,3,3,198,198,1.71407,28.7322,9,33,31,24,18,0
19,5028,1358,46.2654,53.5401,3,3,212,212,2.19526,36.991,9,34,32,24,19,0
20,5928,1530,46.4586,53.6905,3,3,205,205,2.64493,44.4966,9,34,32,24,19,0
21,6376,1640,47.307,54.5636,3,3,231,231,2.89252,48.4429,10,34,32,25,19,0
22,7106,1880,46.5878,53.7541,3,3,226,226,3.12291,52.17,10,33,32,25,19,0
23,7664,2093,45.9417,52.9442,3,3,195,195,3.24371,55.2215,10,32,31,24,18,0
24,7854,2140,44.9041,51.7791,3,3,194,194,3.26838,56.4829,10,31,30,23,18,0
25,7090,2042,42.6339,49.2044,3,3,248,248,2.702,49.3619,10,29,28,22,16,0
26,7186,2196,41.0393,47.4104,3,3,235,235,2.51259,46.9398,10,28,27,21,15,0
27,6980,2123,39.8896,46.0568,3,3,204,204,2.3802,44.6746,10,27,26,20,15,0
28,6758,2172,37.4174,43.3253,3,3,179,179,2.03912,38.091,10,25,24,18,13,0
29,6516,2189,35.7275,41.4063,3,3,182,182,1.76689,33.0142,9,23,23,17,12,0
30,5970,2081,33.4322,38.7956,3,3,195,195,1.42762,26.5928,9,21,21,16,11,0
31,5372,1944,31.4061,36.6377,3,3,140,140,1.14602,21.1538,9,19,20,14,10,0
32,5078,1893,29.8204,34.8462,3,3,164,164,0.97569,18.0927,9,18,18,13,9,0
33,4516,1734,27.6679,32.4842,3,3,149,149,0.749796,13.9914,8,16,17,12,8,0
34,4256,1665,25.8433,30.5002,3,3,154,154,0.634961,11.8364,8,15,15,11,7,0
35,3958,1575,24.5153,29.021,3,3,136,136,0.542458,10.1453,7,14,14,10,6,0
