depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,445,571,445,571,445,571,0.0524493,0.2273,0,445,248
1,2,0,540.5,1323,422,422,659,783,0.0977601,0.415337,0,540,305
2,4,0,732.25,3602,457,457,1057,1295,0.301887,1.15631,0,732,446
3,8,0,747.375,7287,305,305,1175,1432,0.623513,2.30638,0,747,445
4,16,0,689.062,13416,68,68,1692,2024,1.12739,4.24669,0,689,421
5,32,0,625.875,24557,37,37,1500,1847,2.0006,7.64258,0,625,375
6,64,4,551.578,43119,56,56,1871,2318,3.50753,13.5752,0,588,353
7,120,4,495.367,72309,11,11,2179,2669,5.77481,22.5812,0,512,301
8,232,18,424.694,120416,11,11,2162,2162,9.23631,37.0377,0,460,268
9,428,36,381.371,199277,10,10,2255,2633,15.2095,60.991,0,416,240
10,784,91,336.232,321319,7,7,1940,1940,23.7914,97.0579,0,380,216
11,1386,186,306.905,517319,7,7,2101,2101,37.3577,154.943,0,354,198
12,2400,357,278.622,811014,4,4,1868,1868,57.7558,241.61,0,327,181
13,3994,649,259.101,1.25254e+06,4,4,1824,1824,88.5316,370.912,0,309,168
14,6314,972,245.132,1.87298e+06,4,4,2048,2048,131.645,555.462,0,289,156
15,1022,34,489.136,588532,7,7,17217,17217,3646.13,3786.71,0,505,277
