depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,474,581,474,581,474,581,0.0487087,0.206186,0,474,310,196,196,0
1,2,0,449,536.5,438,460,460,525,0.0612991,0.204075,108,239,283,190,98,0
2,4,0,487,575,359,359,580,580,0.148143,0.489529,96,281,305,208,115,0
3,8,0,476.25,558.5,216,216,704,704,0.267242,0.858389,112,247,293,202,98,0
4,16,0,438.312,516.562,155,155,818,818,0.494646,1.5848,109,233,269,182,90,0
5,32,0,430.375,501.438,30,30,833,833,0.992803,3.21454,92,238,259,177,92,0
6,64,2,380.258,443.032,24,24,1023,1023,1.66994,5.29839,90,211,222,149,78,0
7,124,6,340.263,397.932,7,7,914,914,2.65135,9.06418,72,196,195,127,69,0
8,236,25,304.583,358.052,15,15,771,771,4.42565,15.0813,62,186,171,108,64,0
9,422,52,275.716,323.684,4,4,850,850,6.72059,23.9502,56,168,150,93,54,0
10,732,105,247.754,290.338,7,7,861,861,10.6432,38.8262,48,155,131,80,48,0
11,1244,221,220.328,259.154,4,4,838,838,14.8188,55.0717,42,144,115,67,43,0
12,1990,379,197.55,232.207,4,4,910,910,20.2242,76.4809,37,130,100,57,37,0
13,3084,606,177.325,207.973,4,4,883,883,27.3374,105.316,32,119,88,49,33,0
14,4654,1058,162.81,190.751,4,4,844,844,35.7073,139.626,29,110,79,43,30,0
15,6604,1551,149.349,174.759,4,4,900,900,43.847,175.472,27,100,71,37,26,0
16,8952,2241,139.169,162.245,4,4,778,778,53.9109,220.152,25,94,64,34,24,0
17,11694,2976,130.436,151.267,4,4,877,877,65.3342,268.708,23,89,59,31,22,0
18,14570,3902,122.765,141.834,4,4,902,902,71.7642,305.1,22,83,55,28,20,0
19,17222,4767,115.249,132.551,4,4,765,765,76.7269,321.893,21,77,50,26,19,0
20,19752,5614,108.777,124.54,4,4,882,882,82.7819,376.355,20,72,47,24,17,0
21,21628,6298,102.55,116.619,4,4,755,755,82.5723,513.128,20,66,43,22,16,0
22,22912,6910,95.77,108.416,4,4,772,772,79.7904,831.961,19,61,40,20,14,0
23,1529,357,89.4548,102.891,4,4,440,440,5.03345,89.9541,15,59,36,16,11,0
