depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,75,71,75,71,75,71,0.0099653,0.038787,0,75,17,3,3
1,2,0,75,73,69,69,81,86,0.0203581,0.0567512,0,75,17,3,3
2,4,1,98.6667,102.667,82,82,127,134,0.0474136,0.123259,0,98,24,3,3
3,6,0,84.3333,88.6667,36,36,115,115,0.0734566,0.190223,0,84,21,2,2
4,12,1,68.2727,72.9091,9,9,132,132,0.0881824,0.235306,0,68,17,2,2
5,22,6,62.0625,66.5625,5,5,117,120,0.0962171,0.275805,0,62,15,1,1
6,30,7,59.6957,63.913,13,13,120,120,0.125525,0.366192,0,59,14,1,1
7,46,12,51.7941,55.7353,13,13,107,107,0.142495,0.457562,0,51,12,0,0
8,68,17,43.4118,46.0588,13,13,93,93,0.147304,0.530819,0,43,9,0,0
9,102,26,33.3158,35.7105,9,9,77,77,0.123883,0.549956,0,33,7,0,0
10,152,43,25.9358,28.4128,5,5,61,61,0.100527,0.564202,0,25,5,0,0
11,214,71,19.2867,21.951,5,5,61,61,0.0682637,0.520521,0,19,4,0,0
12,270,93,14.0282,16.1469,5,5,36,36,0.0419574,0.454096,0,14,2,0,0
13,292,103,10.6508,12.6825,5,5,35,35,0.0217684,0.360108,0,10,2,0,0
14,268,102,8.10843,9.91566,5,5,19,19,0.0083673,0.237757,0,8,1,0,0
15,186,68,7.35593,9.22881,5,5,12,12,0.0042941,0.149056,0,7,1,0,0
16,120,34,6.11628,7.51163,5,5,12,12,0.0015159,0.0862227,0,6,1,0,0
17,30,5,5,6,5,5,5,6,0,0.0180626,0,5,1,0,0
18,2,1,5,6,5,6,5,6,0,0.0008023,0,5,1,0,0
