depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,199,225,199,225,199,225,0.0296273,0.0685906,0,199,54
1,2,0,217.5,501,195,195,240,280,0.0534626,0.0880269,25,85,60
2,4,0,143.75,661,50,50,260,317,0.0346605,0.0650449,25,37,38
3,8,2,108.25,1011,21,21,280,349,0.143959,0.226463,20,74,39
4,12,4,85.75,1223,17,17,295,384,0.0424907,0.0870483,26,27,35
5,16,5,92.6875,1821,9,9,304,409,0.13279,0.241339,22,52,38
6,22,7,90.6818,2437,23,23,280,280,0.23866,0.39887,23,57,37
7,30,6,92.3333,3315,17,17,287,287,0.371824,0.633647,17,56,31
8,48,15,68.1458,3924,11,11,303,303,0.504892,0.811972,15,46,27
9,66,20,58.8788,4655,5,5,314,314,0.337298,0.659363,14,32,23
10,92,30,46.0978,5063,5,5,223,223,0.592321,1.0642,9,40,17
11,122,38,41.0082,5953,5,5,224,224,0.549223,1.08279,8,33,15
12,166,60,33.8373,6546,5,5,215,215,0.514265,1.10321,7,30,13
13,204,64,31.4608,7322,9,9,221,221,0.520814,1.12716,6,26,10
14,264,77,25.8447,7787,5,5,131,131,0.555643,1.25965,5,23,8
15,308,100,20.5682,7164,5,5,132,132,0.392492,1.02584,4,19,6
16,336,108,16.8988,6410,5,5,107,107,0.305245,0.873621,3,15,5
17,362,119,13.4724,5495,5,5,115,115,0.252179,0.758508,3,13,4
18,348,107,10.1839,4054,5,5,78,78,0.135879,0.505667,2,9,3
19,230,70,8.05217,2139,5,5,55,55,0.0579094,0.255901,2,7,2
20,150,46,6.75333,1177,5,5,31,31,0.0210226,0.125249,2,6,1
21,84,24,5.14286,518,5,5,25,25,0.0063692,0.0481794,2,4,1
22,16,4,4.75,92,5,5,9,9,0.000927908,0.0081265,3,3,1
23,6,3,2.5,18,5,5,5,6,0.000178397,0.0020176,4,4,1
