depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,96,97,96,97,96,97,0.0092676,0.0338166,0,96,21,3,3
1,2,0,98,99.5,97,95,99,99,0.0169314,0.0397375,8,43,21,3,0
2,4,0,84.75,88.5,75,75,96,97,0.0450262,0.0947957,6,51,19,1,0
3,8,3,77.2,81.8,27,27,122,122,0.0446789,0.0989375,7,51,17,0,0
4,10,3,67.7143,69.1429,29,29,89,89,0.0393089,0.0906465,7,40,14,0,0
5,12,4,58.25,58.125,35,35,80,80,0.0407201,0.0957104,8,38,11,0,0
6,16,6,45.7,45.8,22,22,101,101,0.0264772,0.0738766,5,26,9,0,0
7,20,8,39.5,40.5,23,23,66,66,0.0217294,0.0645535,5,20,7,0,0
8,24,10,30.0714,31.5714,15,15,58,58,0.0166086,0.0546697,4,15,6,0,0
9,28,12,24.875,26.6875,11,11,48,48,0.0117032,0.0490714,4,12,4,0,0
10,32,12,20.9,23.2,9,9,52,52,0.0134853,0.0552903,3,11,4,0,0
11,38,17,14.619,16.7619,5,5,45,45,0.0092795,0.0405307,3,8,3,0,0
12,34,12,10.5,11.9091,5,5,21,21,0.006005,0.0353705,2,7,2,0,0
13,28,8,7.5,8.65,5,5,21,21,0.0024205,0.0203351,1,5,1,0,0
14,10,3,7.57143,8.85714,5,5,15,15,0.0004022,0.0047921,1,3,1,0,0
15,2,0,5,6,5,5,5,6,6.57e-05,0.0008634,3,2,1,0,0
