depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,349,394,349,394,349,394,0.158589,0.273159,0,349,113,38,38,0
1,2,0,303.5,342,167,167,440,501,0.238575,0.338758,20,207,94,22,17,0
2,4,0,253.25,300.5,114,114,554,650,0.201181,0.305374,39,108,82,15,2,0
3,8,1,256.143,308.429,41,41,653,783,0.533351,0.729127,39,117,83,13,5,0
4,14,3,235,280.909,60,60,717,717,0.352654,0.554812,46,78,74,11,1,0
5,22,5,290.941,350.412,29,29,709,709,1.4544,2.0645,40,156,97,16,9,0
6,34,4,286.067,340.3,25,25,771,771,2.38191,3.26911,46,126,95,16,6,0
7,60,6,251.611,295.13,21,21,765,785,4.0045,5.44432,39,115,81,13,4,0
8,108,22,248.674,290.884,9,9,893,948,5.11267,7.36344,39,116,79,13,4,0
9,172,30,245.514,283.965,9,9,1012,1012,9.96613,14.0158,33,128,76,12,5,0
10,284,70,242.435,281.664,5,5,1078,1078,15.1533,21.1279,34,125,76,12,5,0
11,422,96,239.34,275.417,5,5,1086,1086,23.4268,32.6413,33,127,73,11,5,0
12,634,162,236.055,270.788,11,11,1035,1035,32.9875,46.1396,34,125,72,12,5,0
13,920,237,227.968,260.177,5,5,1178,1209,49.6949,68.9616,31,127,69,11,6,0
14,1310,364,215.313,245.848,5,5,1310,1310,61.5102,85.8642,31,117,65,10,5,0
15,1810,517,207.085,233.842,5,5,1452,1452,84.4041,117.193,29,117,61,9,5,0
16,2310,684,202.542,228.577,5,5,1374,1374,104.332,145.377,28,117,60,9,5,0
17,2798,823,197.654,222.232,5,5,1293,1293,126.39,175.917,27,117,57,8,5,0
18,3558,1048,186.653,209.19,5,5,1390,1390,150.548,210.78,25,113,54,8,5,0
19,4348,1334,181.179,201.689,5,5,1471,1471,172.52,244.01,24,109,52,8,5,0
20,5076,1594,174.3,192.639,5,5,1505,1505,187.763,266.937,24,105,49,8,5,0
21,5576,1757,168.907,185.521,5,5,1512,1512,193.759,282.904,23,100,48,7,4,0
22,5606,1833,165.001,180.679,5,5,1554,1554,196.044,291.157,24,96,46,7,4,0
23,6060,1977,157.437,171.629,5,5,1301,1301,186.85,285.285,22,93,43,7,4,0
24,6472,2157,149.154,161.517,5,5,1497,1497,174.06,274.352,21,87,41,6,4,0
25,6412,2206,141.682,152.718,5,5,1502,1502,153.152,256.851,20,82,38,6,3,0
26,6644,2270,133.492,143.445,5,5,1355,1355,147.432,255.604,19,77,36,5,3,0
27,6784,2399,125.693,134.827,5,5,1206,1206,133.038,242.654,18,72,33,5,3,0
28,6698,2382,115.09,123.904,5,5,1240,1240,112.297,217.553,17,65,30,4,2,0
29,1329,474,87.869,99.1532,5,5,1049,1049,14.0754,28.5941,14,46,23,1,0,0
