depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,867,983,867,983,867,983,0.679787,0.914894,0,867,327
1,2,0,886.5,2029,630,630,1143,1341,1.13318,1.40936,92,515,330
2,4,0,671.75,3030,272,272,998,998,1.96655,2.36921,105,376,235
3,8,0,578.875,5398,282,282,1024,1024,3.68509,4.50072,71,365,210
4,16,0,554.875,10308,272,272,1336,1336,4.86949,6.1684,75,290,200
5,32,1,548.563,20186,156,156,1352,1352,9.96154,12.6514,75,313,203
6,62,2,523.952,37288,78,78,1490,1490,18.5125,23.5237,73,297,193
7,120,5,477.383,65077,29,29,1448,1448,37.7143,47.39,64,305,175
8,230,28,408.209,105349,21,21,2275,2275,60.5358,75.9825,63,281,160
9,404,70,345.666,156219,17,17,1592,1592,91.5561,114.724,51,272,141
10,668,125,297.506,222355,13,13,2258,2258,122.309,154.585,46,238,121
11,1086,229,257.05,308565,5,5,2245,2245,165.566,211.868,40,215,105
12,1712,406,214.46,403720,5,5,1849,1849,194.213,252.735,35,185,88
13,2606,663,180.172,512027,5,5,1868,1868,228.111,306.275,29,161,73
14,3846,1070,150.59,626640,5,5,1747,1747,245.809,338.521,26,136,61
15,5338,1562,126.878,728037,5,5,1591,1591,257.736,363.724,22,118,51
16,6928,2093,108.449,803221,5,5,1366,1366,245.409,359.402,19,101,42
17,8636,2798,90.7733,834257,5,5,1087,1087,223.906,350.114,17,86,35
18,9938,3297,76.4041,805786,5,5,969,969,189.096,348.108,14,72,29
19,10856,3822,62.5458,718097,5,5,835,835,148.368,334.568,12,60,24
20,10974,4079,50.0796,581488,5,5,736,736,97.3689,275.231,10,48,19
21,108,20,37.7685,4521,19,19,120,120,0.306401,1.61413,7,25,10
