depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,90,113,90,113,90,113,0.0018062,0.0300539,0,90,71,48,48
1,2,0,77.5,96,76,79,79,93,0.0017218,0.0229596,31,44,61,42,24
2,4,0,67.25,84.25,64,65,70,79,0.0044407,0.045986,27,38,51,34,20
3,8,0,54,68.875,48,50,59,59,0.0054257,0.0677961,22,30,39,24,14
4,16,0,41.5,53.625,32,32,52,52,0.008495,0.100036,16,23,28,16,9
5,32,0,34.0938,45.125,24,24,47,47,0.0112959,0.156738,11,20,22,11,6
6,64,0,27.2969,36.7344,19,19,43,43,0.0161053,0.251241,8,16,16,7,4
7,128,0,22.6797,30.9844,15,15,36,36,0.0282697,0.431464,6,14,13,4,3
8,256,0,19.6836,27.1133,7,9,43,43,0.0497864,0.803664,4,13,11,3,2
9,508,0,17.3917,23.9331,3,4,48,48,0.0862396,1.42996,4,12,9,2,2
10,896,0,15.6886,21.5993,3,3,49,49,0.137828,2.354,3,11,8,2,2
11,1240,0,14.5621,19.9927,3,3,54,54,0.176355,3.1737,2,10,7,2,2
12,1428,0,13.3978,18.3606,3,3,55,55,0.187991,3.50804,2,10,7,2,2
13,1200,0,11.2083,15.3958,3,3,55,55,0.129846,2.47481,1,8,5,1,1
14,860,0,9.52674,12.9372,3,3,55,55,0.0790566,1.59765,2,7,5,1,1
15,582,0,8.4244,11.2354,3,3,38,38,0.0462545,0.993536,1,7,4,1,1
16,362,0,9.80939,12.9724,3,3,49,49,0.0343652,0.7355,0,8,5,2,2
17,224,0,8.01786,10.692,3,3,42,42,0.0152337,0.297384,1,5,3,1,1
18,148,0,7.88514,10.4932,3,3,31,31,0.0097576,0.185664,2,5,3,1,0
19,138,0,7.87681,10.5435,3,3,30,30,0.0080701,0.161818,2,5,3,1,0
20,128,0,7.47656,10.1016,3,3,30,30,0.0066111,0.138793,1,4,3,0,0
21,118,0,6.85593,9.35593,3,3,21,21,0.0054277,0.114815,1,4,3,0,0
22,106,0,6.10377,8.31132,3,3,18,18,0.0042526,0.0949481,1,3,2,0,0
23,104,0,5.69231,7.72115,3,3,16,16,0.0041624,0.0970405,1,3,2,0,0
24,98,4,5.09574,6.94681,3,3,18,18,0.0032714,0.0784011,1,3,2,0,0
25,76,1,5.17333,7.02667,3,3,15,15,0.0028288,0.069457,1,4,2,0,0
26,60,4,4.19643,5.78571,3,3,9,9,0.0016359,0.0388691,1,3,1,0,0
27,48,11,3.91892,5.37838,3,3,5,5,0.0009815,0.0278089,1,3,1,0,0
28,20,10,3,4,3,3,3,4,0.0001988,0.0071421,0,2,1,0,0
29,4,2,3,4,3,3,3,4,4.03e-05,0.0015688,0,3,1,0,0
