depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,178,207,178,207,178,207,0.003961,0.0559058,0,178,144,115,115,0
1,2,0,155,182.5,155,155,155,180,0.004988,0.050329,64,84,123,95,53,0
2,4,0,136.75,165,128,128,146,166,0.0087921,0.0919383,55,77,105,77,42,0
3,8,0,122.875,149.875,111,111,136,158,0.0146197,0.161223,46,70,91,64,38,0
4,16,0,111.375,137.625,92,92,126,150,0.0200238,0.265442,41,63,80,54,31,0
5,32,0,100.625,125.656,80,80,129,157,0.0349911,0.472099,36,57,70,45,26,0
6,64,0,92.0312,115.891,75,75,132,146,0.0625786,0.806482,31,52,62,39,23,0
7,128,0,85.7109,108.508,66,66,120,131,0.113723,1.53066,28,49,57,34,21,0
8,256,0,78.8984,100.664,63,63,115,115,0.204148,2.7437,25,45,51,30,18,0
9,512,0,71.3359,91.8926,55,55,98,114,0.35683,4.76299,23,40,45,25,15,0
10,1024,0,64.6494,83.9414,46,46,94,94,0.635873,9.63754,20,36,40,21,13,0
11,2046,0,60.9154,79.3534,40,40,93,93,1.20599,18.8473,18,35,37,19,12,0
12,3980,0,57.1,74.8809,37,37,91,91,2.24204,31.4713,16,33,35,17,11,0
13,7308,0,53.0272,69.9704,34,34,94,94,3.6603,52.0441,15,31,32,15,9,0
14,12740,0,49.6856,65.8556,29,29,93,93,6.01812,86.6444,14,29,29,13,8,0
15,20724,0,46.8009,62.2941,18,23,93,93,9.20456,135.359,12,28,27,12,8,0
16,31702,0,44.3663,59.2527,9,13,86,86,13.4452,203.344,11,27,26,11,7,0
17,45520,0,41.3904,55.4912,3,4,86,86,19.8155,285.999,11,25,24,10,7,0
18,56948,0,38.313,51.5343,3,3,87,87,24.8997,351.408,10,23,22,9,6,0
19,70536,0,35.5609,47.9796,3,3,80,80,31.1324,494.251,9,22,20,8,5,0
20,69596,0,33.0634,44.7044,3,3,81,81,30.6106,747.888,8,21,18,7,5,0
21,57848,0,30.7265,41.5689,3,3,75,75,20.4119,539.878,7,19,17,6,4,0
22,37600,0,28.1414,38.0982,3,3,70,70,10.2036,271.958,6,18,15,5,4,0
23,20734,0,25.5143,34.6518,3,3,67,67,5.04079,116.842,6,16,14,5,3,0
24,15856,0,23.4852,31.9839,3,3,61,61,3.55777,81.0267,5,15,13,4,3,0
25,11832,0,20.8287,28.482,3,3,55,55,2.33835,52.2152,4,14,11,3,2,0
26,8744,0,19.2984,26.5069,3,3,52,52,1.60824,36.0124,4,13,10,3,2,0
27,7676,0,17.8847,24.6187,3,3,48,48,1.292,29.1997,3,12,9,2,2,0
28,3093,0,16.3712,22.5978,3,3,47,47,0.466991,11.2925,3,11,8,2,1,0
