depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,365,413,365,413,365,413,0.0186479,0.158,0,365,338,290,290,0
1,2,0,312.5,353,294,294,331,372,0.0155914,0.126631,149,176,278,238,134,0
2,4,0,279.25,316.5,249,249,304,343,0.0185993,0.186663,121,165,242,205,123,0
3,8,0,253.625,289.125,230,230,274,309,0.0287322,0.318179,108,143,217,182,105,0
4,16,0,230.312,265.188,194,194,251,280,0.0508781,0.566054,98,128,194,159,90,0
5,32,0,209.156,242.375,143,143,235,272,0.0845935,0.998023,88,114,174,141,77,0
6,64,0,187.406,218.188,121,121,221,259,0.14343,1.7375,79,102,154,123,68,0
7,128,0,170.117,199.18,110,110,203,218,0.253157,3.14469,70,94,139,109,61,0
8,256,0,154.633,182.156,98,98,186,189,0.453316,5.66215,63,85,125,97,54,0
9,510,0,141.863,167.976,89,89,171,171,0.808718,10.4292,56,79,113,87,49,0
10,988,0,129.251,154.038,76,76,164,164,1.41807,18.3581,51,73,102,77,44,0
11,1834,0,117.419,140.741,61,68,153,153,2.37921,31.0788,45,67,91,68,39,0
12,3234,0,106.452,128.453,35,42,145,145,3.74947,49.7471,40,61,81,59,35,0
13,5436,0,96.8074,117.438,30,34,137,137,5.71941,76.4969,35,56,73,52,31,0
14,8648,0,87.4754,106.73,21,21,137,137,8.1736,111.441,31,51,65,46,28,0
15,13134,0,77.3945,95.1572,13,13,126,126,11.1696,153.092,27,46,57,39,24,0
16,19114,0,68.26,84.6455,3,3,124,124,15.5959,206.036,23,41,49,33,21,0
17,26600,0,61.4032,76.2568,3,3,121,121,21.5011,273.993,19,38,43,28,19,0
18,35524,0,56.579,70.4036,3,3,118,118,27.5454,364.574,17,36,40,26,18,0
19,43520,0,50.2367,62.5261,3,3,103,103,32.7633,390.992,15,32,35,22,15,0
20,52334,0,45.762,56.8156,3,3,112,112,36.4936,493.41,13,30,31,20,14,0
21,48802,0,41.3373,51.2932,3,3,101,101,31.0435,520.448,11,28,28,18,13,0
22,36626,0,38.1149,47.3193,3,3,101,101,17.7951,370.313,10,25,25,16,11,0
23,29528,0,34.2519,42.8574,3,3,86,86,11.6485,259.182,9,22,22,14,9,0
24,24916,0,30.9312,39.1074,3,3,84,84,8.64459,188.643,8,20,20,12,8,0
25,6922,0,27.4668,34.8723,3,3,76,76,1.95004,41.8536,7,18,17,10,7,0
