depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,326,367,326,367,326,367,0.0123633,0.130059,0,326,287
1,2,0,277,633,274,274,280,319,0.0194234,0.138006,124,156,240
2,4,0,247.75,1135,229,229,263,297,0.0145,0.151951,107,140,212
3,8,0,219.375,2026,213,213,237,271,0.0253325,0.258716,96,123,183
4,16,0,200.875,3727,177,177,219,246,0.0415509,0.428794,82,111,165
5,32,0,184.281,6864,155,155,207,236,0.0735167,0.785403,74,104,149
6,64,0,167.562,12555,142,142,188,200,0.15654,1.51795,67,93,135
7,128,0,153.062,23079,123,123,178,178,0.229851,2.56159,60,86,122
8,256,0,138.219,42057,104,109,158,158,0.402493,4.58403,54,78,109
9,512,0,125.586,77090,69,84,147,147,0.722414,8.39214,48,72,98
10,1024,0,113.469,140186,41,52,142,142,1.28919,15.2547,43,65,87
11,2024,0,102.69,252413,32,40,143,143,2.26376,27.3149,38,59,78
12,3878,0,92.9461,440097,19,19,136,136,3.93893,48.3265,33,55,70
13,6872,0,82.7359,699118,10,10,138,138,6.15764,76.2316,29,49,61
14,10712,0,72.6699,966011,3,3,132,132,8.41195,106.44,25,44,52
15,16450,0,65.3641,1.33836e+06,3,3,134,134,11.9287,158.087,21,40,46
16,23666,0,59.3458,1.75438e+06,3,3,123,123,17.3196,215.987,18,37,41
17,27604,0,53.4037,1.84309e+06,3,3,111,111,16.4141,227.048,15,34,37
18,29692,0,48.7639,1.80956e+06,3,3,106,106,16.6515,227.174,14,32,33
19,28226,0,45.0901,1.58797e+06,3,3,106,106,14.1166,202.638,12,30,30
20,21658,0,41.174,1.11114e+06,3,3,99,99,9.65945,143.164,11,27,27
21,16028,0,36.4757,733774,3,3,99,99,6.2394,93.3885,10,24,24
22,13840,0,33.2037,582555,3,3,89,89,4.81062,73.2161,9,22,21
23,12390,0,30.0602,476780,3,3,81,81,3.8198,59.2673,8,19,19
24,9678,0,25.8002,321930,3,3,73,73,2.47976,38.1395,7,16,15
25,7834,0,23.1616,235476,3,3,65,65,1.74999,27.6129,6,14,13
26,6354,0,21.8774,180121,3,3,59,59,1.32477,21.6967,5,14,13
27,5800,0,18.3653,139613,3,3,52,52,0.993673,16.2784,5,11,10
28,5520,0,16.6821,122635,3,3,47,47,0.849604,14.4115,4,10,9
29,5294,0,13.9267,99354,3,3,44,44,0.653926,11.5079,3,8,7
30,4742,0,12.1733,78292,3,3,40,40,0.526353,10.0424,3,8,6
31,3852,0,10.4624,54992,3,3,39,39,0.355242,6.93963,2,6,5
32,3228,0,9.07931,40448,3,3,37,37,0.256937,4.93179,2,6,4
33,2652,0,7.92308,28929,3,3,37,37,0.185088,3.61339,2,5,3
34,2014,0,7.56008,21010,3,3,32,32,0.13686,2.8048,1,5,3
35,1368,0,7.03509,13299,3,3,30,30,0.0865928,1.93946,1,5,3
36,914,0,6.08425,7490,3,3,32,32,0.0475466,1.04119,1,4,2
37,704,0,6.3125,6030,3,3,29,29,0.0380822,0.859917,1,4,2
38,568,0,5.79577,4286,3,3,23,23,0.026331,0.569728,1,4,2
39,428,1,5.15421,2915,3,3,16,16,0.0159962,0.38854,1,3,2
40,360,1,4.82222,2312,3,3,9,9,0.0132339,0.318246,1,3,1
41,282,0,4.62411,1749,3,3,9,9,0.0098319,0.25175,1,3,1
42,230,0,4.54783,1396,3,3,7,7,0.0079716,0.237396,1,3,1
43,178,0,3.70787,900,3,3,7,7,0.0043633,0.137876,1,2,1
44,148,0,3.41892,685,3,3,5,5,0.0034924,0.124129,0,2,1
45,112,0,3.80357,583,3,3,5,5,0.0034094,0.122897,0,3,1
46,78,0,3.33333,351,3,3,5,5,0.0019368,0.0650582,0,2,1
47,42,0,4.14286,240,3,3,7,7,0.0014591,0.0491208,0,4,1
48,12,0,4,66,3,3,5,5,0.0003907,0.0107095,2,3,1
