depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,164,232,164,232,164,232,0.0086107,0.0506861,0,164,81,13,13
1,2,0,117.5,162,114,114,121,174,0.0122808,0.0446878,32,72,49,4,3
2,4,0,107.25,148.25,99,106,114,146,0.0165056,0.0774611,20,62,46,5,4
3,8,0,91.125,125.125,75,84,106,106,0.0271045,0.123198,18,54,39,5,4
4,16,0,75.9375,103.562,53,63,97,97,0.0421045,0.190883,15,47,32,4,3
5,32,0,64.4062,87.3438,48,50,83,83,0.0721631,0.344963,11,42,26,3,2
6,58,0,55.7931,75.4828,21,24,83,83,0.114338,0.581432,9,38,23,3,2
7,94,0,49.1064,66.2234,4,5,81,81,0.152252,0.844303,7,35,20,2,2
8,146,0,42.4726,57.3836,4,4,79,79,0.199274,1.13235,6,30,17,1,1
9,166,0,31.2771,41.512,4,4,76,76,0.140138,0.844344,4,22,11,0,0
10,164,0,20.2378,25.9756,4,4,57,57,0.0673622,0.454277,3,12,6,0,0
11,152,0,16.6184,21.4211,4,4,53,53,0.045322,0.343105,3,10,5,0,0
12,150,1,12.4497,15.6577,4,4,36,36,0.0324248,0.270903,2,8,3,0,0
13,132,3,9.2093,11.6822,4,4,26,26,0.017522,0.160171,1,6,2,0,0
14,114,3,8.08108,10.2793,4,4,21,21,0.0126417,0.135744,2,6,2,0,0
15,106,3,6.87379,8.66019,4,4,15,15,0.0124061,0.122188,1,5,1,0,0
16,88,4,6.32143,8,4,4,11,11,0.0088873,0.0992671,0,5,1,0,0
17,38,0,4.94737,6.23684,4,4,8,8,0.0027251,0.034531,0,4,1,0,0
18,24,2,4,5,4,4,4,5,0.0008292,0.0154101,1,3,1,0,0
19,16,4,4,5,4,4,4,5,0.0004233,0.0092678,0,4,1,0,0
20,2,1,4,5,4,5,4,5,3.73e-05,0.0008962,0,4,1,0,0
