depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,182,255,182,255,182,255,0.0114798,0.0630216,0,182,93
1,2,0,139,384,132,146,146,182,0.016076,0.0924752,0,139,63
2,4,0,105.5,573,92,107,116,128,0.0180384,0.121012,0,105,45
3,8,0,90.625,979,71,83,109,109,0.0289324,0.211696,0,90,38
4,16,0,73.8125,1596,48,59,102,102,0.0366252,0.303638,0,73,30
5,32,0,60.7188,2613,28,29,83,83,0.0553465,0.485286,0,60,24
6,64,0,50.3438,4339,4,5,89,89,0.0824484,0.726806,0,50,19
7,126,0,38.7381,6506,4,4,74,74,0.111268,1.06758,0,38,14
8,216,0,30.0324,8596,4,4,57,57,0.135736,1.40316,0,30,10
9,258,0,25.3062,8610,4,4,51,51,0.122178,1.34789,0,25,8
10,240,0,20.7125,6483,4,4,49,49,0.0865777,1.04039,0,20,6
11,176,4,14.75,3424,4,4,44,44,0.0388993,0.536273,0,15,5
12,164,7,10.6829,2282,4,4,32,32,0.0190189,0.351541,0,11,3
13,130,7,8.62308,1435,4,4,24,24,0.0098921,0.2225,0,9,2
14,106,6,7.24528,989,4,4,19,19,0.0052884,0.150923,0,7,2
15,88,5,5.98864,671,4,4,13,13,0.0025427,0.10069,0,6,1
16,80,2,5.65,569,4,4,10,10,0.0018515,0.0870334,0,5,1
17,58,2,4.22414,308,4,4,7,7,0.0002563,0.0470355,0,4,1
18,38,0,4,190,4,4,4,5,0,0.0264906,0,4,1
19,26,12,2.15385,70,4,4,4,5,0,0.0113552,0,4,1
