depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,1821,2251,1821,2251,1821,2251,0.398381,0.900501,0,1821,1285,850,850,2
1,2,0,1673,2102,1635,1635,1711,2127,0.599988,1.45273,0,1673,1189,759,759,1
2,4,0,1521.5,1922.5,1474,1474,1613,1914,1.04418,2.58275,0,1521,1067,667,667,0
3,8,0,1328.25,1691.5,1251,1251,1459,1619,1.52445,4.10983,0,1328,911,550,550,0
4,16,0,1179.19,1506.88,1087,1116,1256,1392,2.50021,7.01417,0,1179,795,468,468,0
5,32,0,1034.25,1326.25,887,932,1098,1137,4.02915,11.874,0,1034,682,390,390,0
6,64,0,901.172,1163.72,694,694,980,980,6.42728,19.9136,0,901,583,321,321,0
7,128,0,781.219,1016.52,599,599,889,889,10.3501,33.6212,0,781,496,262,262,0
8,256,0,661.539,867.023,487,497,788,788,17.7386,58.9982,0,661,405,200,200,0
9,512,0,567.34,747.4,345,414,675,675,25.5806,91.4135,0,567,335,154,154,0
10,1024,0,504.44,665.695,238,321,624,624,43.838,161.258,0,504,292,129,129,0
11,2048,0,433.246,576.074,153,212,582,582,70.5807,270.001,0,433,243,99,99,0
12,4090,0,376.337,502.705,99,130,545,545,118.563,463.585,0,376,207,80,80,0
13,8070,0,324.31,434.487,52,62,499,499,192.988,770.51,0,324,174,62,62,0
14,15376,0,281.153,376.51,4,5,431,431,288.223,1217.37,0,281,146,50,50,0
15,6699,0,249.591,334.419,4,4,400,400,107.763,466.76,0,249,127,40,40,0
