depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,77,91,77,91,77,91,0.005376,0.0249799,0,77,20,0,0
1,2,0,49.5,62.5,42,53,57,57,0.0038788,0.0231416,0,49,13,0,0
2,4,0,36,45,19,20,45,45,0.0050872,0.0340674,0,36,9,0,0
3,8,0,20.125,25.25,5,6,30,30,0.0042392,0.0386306,0,20,5,0,0
4,16,0,12.1875,15.4375,5,5,21,21,0.0029124,0.0405967,0,12,3,0,0
5,30,2,9.53571,11.7857,5,5,17,17,0.0025313,0.053041,0,9,2,0,0
6,42,6,6.77778,8.22222,5,5,17,17,0.0012368,0.0447913,0,6,1,0,0
7,32,10,5.18182,6.22727,5,5,9,9,6.08e-05,0.0191866,0,5,1,0,0
8,18,9,5,6,5,5,5,6,0,0.0074941,0,5,1,0,0
9,2,1,5,6,5,6,5,6,0,0.0008762,0,5,1,0,0
