obj0,obj1,obj2,cpu
23898,18396,30617,0.733479
24235,18077,30182,0.742745
28244,19897,27830,0.773998
25407,18295,28652,0.778971
25744,17976,28217,0.784084
28117,25151,25511,1.02436
20337,23809,27906,1.27296
21985,22160,28649,1.29186
24346,25629,25554,1.35992
21846,23708,25941,1.38977
23494,22059,26684,1.40833
32686,40030,24568,1.59996
34334,38381,25311,1.60923
19284,27089,28671,1.79277
20793,26988,26706,1.90103
22465,29737,25698,2.03585
34370,38345,25338,2.09189
19320,27053,28698,2.11257
20829,26952,26733,2.13907
34406,38309,25365,2.14799
19356,27017,28725,2.16037
20865,26916,26760,2.18786
34442,38273,25392,2.20016
19363,27266,28657,2.22254
19392,26981,28752,2.23059
20872,27165,26692,2.2631
20901,26880,26787,2.26829
34478,38237,25419,2.28349
19442,27443,28643,2.30884
19428,26945,28779,2.31694
20951,27342,26678,2.37964
20937,26844,26814,2.39023
34514,38201,25446,2.41347
19521,27620,28629,2.44421
19464,26909,28806,2.45873
21030,27519,26664,2.52667
20973,26808,26841,2.5425
34550,38165,25473,2.5783
19600,27797,28615,2.62345
19500,26873,28833,2.65486
22054,22090,28711,2.67267
21109,27696,26650,2.75315
21009,26772,26868,2.78133
23563,21989,26746,2.79196
34586,38129,25500,2.82667
19679,27974,28601,2.90819
19536,26837,28860,2.95345
22123,22020,28773,2.97106
21188,27873,26636,3.08199
21045,26736,26895,3.12231
23632,21919,26808,3.13318
19758,28151,28587,3.25786
19572,26801,28887,3.3141
22192,21950,28835,3.33007
21267,28050,26622,3.48396
21081,26700,26922,3.54347
23701,21849,26870,3.5612
19837,28328,28573,3.71234
19608,26765,28914,3.78652
22261,21880,28897,3.80653
21346,28227,26608,3.98701
21117,26664,26949,4.05755
23770,21779,26932,4.07681
23856,20239,31068,4.20858
19916,28505,28559,4.28294
19644,26729,28941,4.37515
22330,21810,28959,4.40257
25365,20138,29103,4.54887
21425,28404,26594,4.62065
21153,26628,26976,4.70306
23839,21709,26994,4.72556
23787,20309,31006,4.89131
19995,28682,28545,4.95946
19680,26693,28968,5.03844
22399,21740,29021,5.06268
25296,20208,29041,5.26486
21504,28581,26580,5.35501
21189,26592,27003,5.43386
23908,21639,27056,5.46053
23718,20379,30944,5.66604
20074,28859,28531,5.72798
19716,26657,28995,5.80374
22468,21670,29083,5.83274
25227,20278,28979,6.02
21583,28758,26566,6.08904
21225,26556,27030,6.1759
23977,21569,27118,6.20322
23649,20449,30882,6.42903
20153,29036,28517,6.49506
19752,26621,29022,6.59115
22537,21600,29145,6.62267
25158,20348,28917,6.79177
21662,28935,26552,6.8587
21261,26520,27057,6.93837
24046,21499,27180,6.96668
23580,20519,30820,7.20279
20232,29213,28503,7.2786
19788,26585,29049,7.36744
22606,21530,29207,7.39904
25089,20418,28855,7.579
21741,29112,26538,7.65515
21297,26484,27084,7.74131
24115,21429,27242,7.77013
23511,20589,30758,7.99198
20311,29390,28489,8.05753
19824,26549,29076,8.15552
22675,21460,29269,8.18631
25020,20488,28793,8.35267
21820,29289,26524,8.42553
21333,26448,27111,8.51955
24184,21359,27304,8.54867
23442,20659,30696,8.74875
19860,26513,29103,8.91736
22744,21390,29331,8.94686
24951,20558,28731,9.10072
21369,26412,27138,9.27374
24253,21289,27366,9.30266
23373,20729,30634,9.48601
19896,26477,29130,9.66644
22813,21320,29393,9.71033
24882,20628,28669,9.88179
21405,26376,27165,10.0728
24322,21219,27428,10.1002
23304,20799,30572,10.2614
19932,26441,29157,10.4075
22882,21250,29455,10.4472
24813,20698,28607,10.6517
21441,26340,27192,10.9307
24391,21149,27490,10.9852
23235,20869,30510,11.2203
19968,26405,29184,11.4234
22951,21180,29517,11.4648
24744,20768,28545,11.6195
21477,26304,27219,11.7998
24460,21079,27552,11.8358
23166,20939,30448,12.0053
20004,26369,29211,12.4648
23020,21110,29579,12.5179
24675,20838,28483,12.6971
21513,26268,27246,12.9839
24529,21009,27614,13.0199
23097,21009,30386,13.2021
20040,26333,29238,13.4215
23089,21040,29641,13.4647
24606,20908,28421,13.5704
21549,26232,27273,13.7792
24598,20939,27676,13.8089
23028,21079,30324,13.9172
20076,26297,29265,14.0933
23158,20970,29703,14.1194
24537,20978,28359,14.185
21585,26196,27300,14.3498
24667,20869,27738,14.3774
22959,21149,30262,14.4503
20112,26261,29292,14.6218
21789,22552,28981,14.6226
23227,20900,29765,14.651
24468,21048,28297,14.7014
21621,26160,27327,14.8715
23298,22451,27016,14.8726
24736,20799,27800,14.8954
34236,38577,25477,14.9245
22890,21219,30200,14.9412
20148,26225,29319,15.0568
21838,22454,28898,15.0575
23296,20830,29827,15.0768
24399,21118,28235,15.1066
21657,26124,27354,15.2244
23347,22353,26933,15.225
24805,20729,27862,15.249
34285,38479,25394,15.2732
34321,38443,25421,15.2753
22821,21289,30138,15.2905
20184,26189,29346,15.3662
21887,22356,28815,15.3668
23365,20760,29889,15.387
24330,21188,28173,15.4111
21693,26088,27381,15.4894
23396,22255,26850,15.4901
24874,20659,27924,15.51
22752,21359,30076,15.5434
20220,26153,29373,15.6164
21936,22258,28732,15.617
23434,20690,29951,15.6381
24261,21258,28111,15.6601
21729,26052,27408,15.7355
23445,22157,26767,15.7362
24943,20589,27986,15.7574
22683,21429,30014,15.7845
20256,26117,29400,15.8674
23503,20620,30013,15.892
24192,21328,28049,15.9137
21765,26016,27435,15.9919
25012,20519,28048,16.0142
22614,21499,29952,16.0394
20292,26081,29427,16.1124
23572,20550,30075,16.1344
24123,21398,27987,16.1529
21801,25980,27462,16.23
25081,20449,28110,16.2514
22545,21569,29890,16.2713
20328,26045,29454,16.3491
23641,20480,30137,16.3727
24054,21468,27925,16.3895
21837,25944,27489,16.4697
25150,20379,28172,16.4915
22476,21639,29828,16.5068
23710,20410,30199,16.6046
23985,21538,27863,16.6192
25219,20309,28234,16.7202
22407,21709,29766,16.7344
23779,20340,30261,16.832
23916,21608,27801,16.845
25288,20239,28296,16.9505
22338,21779,29704,16.9636
23848,20270,30323,17.0576
23847,21678,27739,17.0646
25357,20169,28358,17.16
22269,21849,29642,17.1674
23917,20200,30385,17.2625
23778,21748,27677,17.2696
25426,20099,28420,17.364
22200,21919,29580,17.373
23986,20130,30447,17.4693
23709,21818,27615,17.4769
25495,20029,28482,17.5723
22131,21989,29518,17.5827
24055,20060,30509,17.6755
23640,21888,27553,17.681
25564,19959,28544,17.7761
22062,22059,29456,17.7867
24124,19990,30571,17.8786
23571,21958,27491,17.8826
25633,19889,28606,17.9841
21993,22129,29394,17.995
23502,22028,27429,18.0932
21924,22199,29332,18.2012
23433,22098,27367,18.2971
21855,22269,29270,18.4028
23364,22168,27305,18.501
21786,22339,29208,18.6073
23295,22238,27243,18.6995
21717,22409,29146,18.8038
23226,22308,27181,18.8959
21648,22479,29084,19.0066
23157,22378,27119,19.0977
21579,22549,29022,19.2008
23088,22448,27057,19.2905
21510,22619,28960,19.3942
23019,22518,26995,19.4877
21441,22689,28898,19.5921
22950,22588,26933,19.6801
21372,22759,28836,19.7798
22881,22658,26871,19.8669
21303,22829,28774,19.9655
20319,26039,29601,19.9987
22812,22728,26809,20.0597
21828,25938,27636,20.093
21234,22899,28712,20.1598
20250,26109,29539,20.1892
20286,26073,29566,20.203
22743,22798,26747,20.2458
21759,26008,27574,20.2784
21795,25972,27601,20.2925
21165,22969,28650,20.3433
20181,26179,29477,20.3727
20217,26143,29504,20.3873
20322,26037,29593,20.3884
22674,22868,26685,20.4289
21690,26078,27512,20.4604
21726,26042,27539,20.4741
21831,25936,27628,20.4752
21096,23039,28588,20.5287
20112,26249,29415,20.5586
20148,26213,29442,20.5727
20253,26107,29531,20.5737
22605,22938,26623,20.6141
21621,26148,27450,20.6466
21657,26112,27477,20.6611
21762,26006,27566,20.6621
21027,23109,28526,20.7137
20043,26319,29353,20.7414
20079,26283,29380,20.7554
20184,26177,29469,20.7564
20289,26071,29558,20.7574
22536,23008,26561,20.7944
21552,26218,27388,20.8205
21588,26182,27415,20.8339
21693,26076,27504,20.8352
21798,25970,27593,20.8364
20958,23179,28464,20.8835
19974,26389,29291,20.9073
20010,26353,29318,20.9218
20115,26247,29407,20.9228
20220,26141,29496,20.9238
20325,26035,29585,20.9248
22467,23078,26499,20.9599
21483,26288,27326,20.9822
21519,26252,27353,20.9961
21624,26146,27442,20.9971
21729,26040,27531,20.9981
21834,25934,27620,20.9991
20889,23249,28402,21.0472
19905,26459,29229,21.0691
19941,26423,29256,21.0828
20046,26317,29345,21.0839
20151,26211,29434,21.0852
20256,26105,29523,21.0865
22753,29449,25914,21.1198
22398,23148,26437,21.1214
21414,26358,27264,21.1399
21450,26322,27291,21.1536
21555,26216,27380,21.1548
21660,26110,27469,21.1558
21765,26004,27558,21.1568
20820,23319,28340,21.1993
19836,26529,29167,21.2144
19872,26493,29194,21.2306
19977,26387,29283,21.232
20082,26281,29372,21.2338
20187,26175,29461,21.2357
20292,26069,29550,21.2369
24760,25209,25926,21.2799
22717,29485,25887,21.2833
22329,23218,26375,21.2861
21345,26428,27202,21.3105
21381,26392,27229,21.3343
21486,26286,27318,21.3357
21591,26180,27407,21.3367
21696,26074,27496,21.3378
21801,25968,27585,21.3388
29069,25131,25871,21.3768
20751,23389,28278,21.3965
19767,26599,29105,21.4121
19803,26563,29132,21.4329
19908,26457,29221,21.4342
20013,26351,29310,21.4364
20118,26245,29399,21.4384
20223,26139,29488,21.4405
20328,26033,29577,21.443
24691,25279,25864,21.48
22681,29521,25860,21.4823
22260,23288,26313,21.4855
21276,26498,27140,21.4988
21312,26462,27167,21.5134
21417,26356,27256,21.5144
21522,26250,27345,21.5155
21627,26144,27434,21.5165
21732,26038,27523,21.5176
21837,25932,27612,21.5188
28831,25136,25781,21.5507
20682,23459,28216,21.5811
19698,26669,29043,21.5958
19734,26633,29070,21.6206
19839,26527,29159,21.6219
19944,26421,29248,21.623
20049,26315,29337,21.624
20154,26209,29426,21.625
20259,26103,29515,21.6261
24622,25349,25802,21.6548
22645,29557,25833,21.6572
22191,23358,26251,21.6605
21207,26568,27078,21.6747
21243,26532,27105,21.6919
21348,26426,27194,21.693
21453,26320,27283,21.6941
21558,26214,27372,21.6954
21663,26108,27461,21.6965
21768,26002,27550,21.6976
28593,25141,25691,21.7283
20613,23529,28154,21.7405
19629,26739,28981,21.7477
19665,26703,29008,21.7628
19770,26597,29097,21.7639
19875,26491,29186,21.765
19980,26385,29275,21.766
20085,26279,29364,21.7672
20190,26173,29453,21.7684
20295,26067,29542,21.7695
24553,25419,25740,21.7941
22609,29593,25806,21.7966
22122,23428,26189,21.8002
21138,26638,27016,21.8077
21174,26602,27043,21.8226
21279,26496,27132,21.8237
21384,26390,27221,21.8247
21489,26284,27310,21.8258
21594,26178,27399,21.8269
21699,26072,27488,21.8279
21804,25966,27577,21.8289
28355,25146,25601,21.8555
20544,23599,28092,21.8689
19560,26809,28919,21.8742
19596,26773,28946,21.889
19701,26667,29035,21.8902
19806,26561,29124,21.8912
19911,26455,29213,21.8923
20016,26349,29302,21.8933
20121,26243,29391,21.8945
20226,26137,29480,21.8956
20331,26031,29569,21.8966
24484,25489,25678,21.92
22573,29629,25779,21.9218
22053,23498,26127,21.9266
21069,26708,26954,21.9318
21105,26672,26981,21.9463
21210,26566,27070,21.9474
21315,26460,27159,21.9485
21420,26354,27248,21.9495
21525,26248,27337,21.9507
21630,26142,27426,21.9521
21735,26036,27515,21.9533
21840,25930,27604,21.9545
20475,23669,28030,21.9904
19491,26879,28857,21.9946
19527,26843,28884,22.0092
19632,26737,28973,22.0103
19737,26631,29062,22.0114
19842,26525,29151,22.0125
19947,26419,29240,22.0137
20052,26313,29329,22.015
20157,26207,29418,22.0163
20262,26101,29507,22.0176
24415,25559,25616,22.0406
22537,29665,25752,22.042
21984,23568,26065,22.0475
21000,26778,26892,22.0523
21036,26742,26919,22.0668
21141,26636,27008,22.0681
21246,26530,27097,22.0693
21351,26424,27186,22.0703
21456,26318,27275,22.0714
21561,26212,27364,22.0725
21666,26106,27453,22.0735
21771,26000,27542,22.0746
20406,23739,27968,22.1114
19422,26949,28795,22.1137
19458,26913,28822,22.1283
19563,26807,28911,22.1294
19668,26701,29000,22.1304
19773,26595,29089,22.1315
19878,26489,29178,22.1325
19983,26383,29267,22.1337
20088,26277,29356,22.1351
20193,26171,29445,22.1363
20298,26065,29534,22.1373
22501,29701,25725,22.1604
21915,23638,26003,22.1672
20931,26848,26830,22.1696
20967,26812,26857,22.1838
21072,26706,26946,22.1854
21177,26600,27035,22.1866
21282,26494,27124,22.1881
21387,26388,27213,22.1892
21492,26282,27302,22.1903
