obj0,obj1,obj2,cpu
23898,18396,30617,0.410581
24235,18077,30182,0.414695
28244,19897,27830,0.434675
25407,18295,28652,0.437886
25744,17976,28217,0.441973
28117,25151,25511,0.592313
20337,23809,27906,0.705069
21985,22160,28649,0.711718
24346,25629,25554,0.739793
21846,23708,25941,0.751727
23494,22059,26684,0.758158
32686,40030,24568,0.861936
34334,38381,25311,0.865708
19284,27089,28671,0.965403
20793,26988,26706,1.02639
22465,29737,25698,1.10166
19716,26657,28995,1.14315
19752,26621,29022,1.14476
21117,26664,26949,1.16192
21153,26628,26976,1.16356
33586,39130,25243,1.16814
33622,39094,25270,1.16886
19464,26909,28806,1.18011
19500,26873,28833,1.18187
20973,26808,26841,1.19749
21009,26772,26868,1.19904
21441,26340,27192,1.1999
21477,26304,27219,1.20151
33190,39526,24946,1.20846
33226,39490,24973,1.20914
34406,38309,25365,1.2107
34442,38273,25392,1.21184
19320,27053,28698,1.22366
19536,26837,28860,1.22447
19572,26801,28887,1.22599
20220,26153,29373,1.22681
20256,26117,29400,1.22833
22717,29485,25887,1.23572
22753,29449,25914,1.23676
20937,26844,26814,1.24335
21081,26700,26922,1.24529
21225,26556,27030,1.24725
21261,26520,27057,1.24874
21801,25980,27462,1.24961
21837,25944,27489,1.25109
32974,39742,24784,1.25943
33010,39706,24811,1.2601
33262,39454,25000,1.26057
33298,39418,25027,1.26123
34370,38345,25338,1.26378
34478,38237,25419,1.26526
19356,27017,28725,1.28643
19608,26765,28914,1.2905
20184,26189,29346,1.29133
22681,29521,25860,1.30756
20829,26952,26733,1.32267
21045,26736,26895,1.325
21189,26592,27003,1.32984
21297,26484,27084,1.33063
21333,26448,27111,1.33214
21729,26052,27408,1.33294
21765,26016,27435,1.33439
32902,39814,24730,1.35165
32938,39778,24757,1.35233
33154,39562,24919,1.35283
33550,39166,25216,1.35483
33802,38914,25405,1.35582
33838,38878,25432,1.35651
31409,38166,25506,1.36368
19916,28505,28559,1.39097
19995,28682,28545,1.39207
19428,26945,28779,1.39451
19680,26693,28968,1.40113
20076,26297,29265,1.40307
20112,26261,29292,1.40468
22501,29701,25725,1.42881
22537,29665,25752,1.42985
20865,26916,26760,1.45168
21405,26376,27165,1.46406
21621,26160,27327,1.46598
21657,26124,27354,1.4675
32758,39958,24622,1.49382
32794,39922,24649,1.4945
33118,39598,24892,1.49597
33334,39382,25054,1.49699
33370,39346,25081,1.49768
33766,38950,25378,1.49821
33874,38842,25459,1.4992
34514,38201,25446,1.50537
34550,38165,25473,1.50651
31488,38343,25492,1.50909
21717,22409,29146,1.54119
21786,22339,29208,1.54183
19521,27620,28629,1.55513
19600,27797,28615,1.55637
19392,26981,28752,1.56158
19644,26729,28941,1.57001
19860,26513,29103,1.57404
19896,26477,29130,1.57552
20148,26225,29319,1.57642
20328,26045,29454,1.58025
24760,25209,25926,1.61228
22645,29557,25833,1.61613
24675,20838,28483,1.63063
24744,20768,28545,1.6313
20901,26880,26787,1.64662
21369,26412,27138,1.66601
21513,26268,27246,1.66962
21549,26232,27273,1.67128
21693,26088,27381,1.6733
25150,20379,28172,1.69611
25219,20309,28234,1.69724
32722,39994,24595,1.71344
32830,39886,24676,1.71499
33082,39634,24865,1.7156
33406,39310,25108,1.71752
33442,39274,25135,1.71821
33730,38986,25351,1.71872
31567,38520,25478,1.72782
20406,23739,27968,1.76713
22269,21849,29642,1.76764
22338,21779,29704,1.76833
19442,27443,28643,1.7896
19837,28328,28573,1.7911
20074,28859,28531,1.7935
19824,26549,29076,1.81213
19968,26405,29184,1.81406
20004,26369,29211,1.81569
20292,26081,29427,1.82345
23641,20480,30137,1.8489
23710,20410,30199,1.8502
24691,25279,25864,1.87979
22609,29593,25806,1.88416
21984,23568,26065,1.89871
22053,23498,26127,1.89936
25089,20418,28855,1.89986
25158,20348,28917,1.9005
20872,27165,26692,1.92242
21585,26196,27300,1.94983
24115,21429,27242,1.96383
24184,21359,27304,1.96502
25564,19959,28544,1.9656
25633,19889,28606,1.96678
32866,39850,24703,1.99756
33046,39670,24838,1.99859
33514,39202,25189,2.00041
33658,39058,25297,2.00143
33694,39022,25324,2.0021
32041,39582,25394,2.00964
32120,39759,25380,2.01078
20475,23669,28030,2.03838
20544,23599,28092,2.03908
22062,22059,29456,2.03959
22131,21989,29518,2.04023
23718,20379,30944,2.04074
23787,20309,31006,2.04136
19363,27266,28657,2.07375
19679,27974,28601,2.07775
20153,29036,28517,2.08108
20232,29213,28503,2.0822
19788,26585,29049,2.10488
19932,26441,29157,2.10953
20040,26333,29238,2.11154
23365,20760,29889,2.12987
23434,20690,29951,2.131
24415,25559,25616,2.16725
24484,25489,25678,2.16792
22573,29629,25779,2.17174
21915,23638,26003,2.18414
23019,22518,26995,2.18515
23088,22448,27057,2.18581
24813,20698,28607,2.18635
24882,20628,28669,2.18711
21425,28404,26594,2.21245
21504,28581,26580,2.21359
23701,21849,26870,2.26007
23770,21779,26932,2.26116
24943,20589,27986,2.26167
25012,20519,28048,2.26274
25426,20099,28420,2.26325
25495,20029,28482,2.26437
33478,39238,25162,2.31014
34586,38129,25500,2.31537
28355,25146,25601,2.31711
28593,25141,25691,2.31775
31962,39405,25408,2.31825
32594,40821,25296,2.31968
32673,40998,25282,2.32084
21165,22969,28650,2.33514
21234,22899,28712,2.33577
21993,22129,29394,2.3363
22200,21919,29580,2.33735
22890,21219,30200,2.3383
22959,21149,30262,2.33891
23856,20239,31068,2.33939
19758,28151,28587,2.36872
20311,29390,28489,2.37311
22606,21530,29207,2.40829
22675,21460,29269,2.40932
23503,20620,30013,2.40981
23572,20550,30075,2.41084
23779,20340,30261,2.41133
23848,20270,30323,2.41234
24553,25419,25740,2.44687
24622,25349,25802,2.4475
22467,23078,26499,2.45537
22536,23008,26561,2.45604
23916,21608,27801,2.45651
23985,21538,27863,2.45714
24951,20558,28731,2.45834
25020,20488,28793,2.45895
21030,27519,26664,2.48355
21109,27696,26650,2.48469
23563,21989,26746,2.52193
23632,21919,26808,2.52296
23908,21639,27056,2.52346
23977,21569,27118,2.52448
24736,20799,27800,2.52499
24805,20729,27862,2.52602
25081,20449,28110,2.52652
25357,20169,28358,2.52791
28831,25136,25781,2.56695
31725,38874,25450,2.56745
31804,39051,25436,2.56852
32436,40467,25324,2.56905
32515,40644,25310,2.57027
20682,23459,28216,2.5823
20751,23389,28278,2.583
21303,22829,28774,2.584
21855,22269,29270,2.58496
22821,21289,30138,2.58627
23028,21079,30324,2.58739
23097,21009,30386,2.58804
22468,21670,29083,2.65843
22537,21600,29145,2.65972
23227,20900,29765,2.66023
23296,20830,29827,2.66132
24055,20060,30509,2.66553
24124,19990,30571,2.66662
22191,23358,26251,2.69953
22260,23288,26313,2.70016
22674,22868,26685,2.70064
22743,22798,26747,2.70125
23847,21678,27739,2.70172
24054,21468,27925,2.70269
24123,21398,27987,2.70347
25296,20208,29041,2.70542
25365,20138,29103,2.70603
20951,27342,26678,2.72596
21346,28227,26608,2.7274
21820,29289,26524,2.72881
23839,21709,26994,2.77145
24046,21499,27180,2.77198
24460,21079,27552,2.77334
24529,21009,27614,2.77435
24874,20659,27924,2.77571
25288,20239,28296,2.77926
29069,25131,25871,2.81355
31646,38697,25464,2.81553
31883,39228,25422,2.8162
32199,39936,25366,2.81876
20613,23529,28154,2.82395
20889,23249,28402,2.82444
20958,23179,28464,2.82507
21441,22689,28898,2.82555
21510,22619,28960,2.82617
21924,22199,29332,2.82714
22752,21359,30076,2.82762
23304,20799,30572,2.82929
23373,20729,30634,2.82994
22261,21880,28897,2.8896
22330,21810,28959,2.89064
22813,21320,29393,2.89236
22882,21250,29455,2.89339
23986,20130,30447,2.90061
22122,23428,26189,2.9336
22329,23218,26375,2.93453
22398,23148,26437,2.93515
22605,22938,26623,2.93571
22950,22588,26933,2.93685
23709,21818,27615,2.93778
23778,21748,27677,2.93838
24537,20978,28359,2.93958
24606,20908,28421,2.94018
25227,20278,28979,2.94067
21267,28050,26622,2.95723
21583,28758,26566,2.9611
21150,26630,26984,2.96969
21219,26560,27046,2.9703
24391,21149,27490,2.99753
24667,20869,27738,2.99889
34285,38479,25394,3.01866
34236,38577,25477,3.01931
34321,38443,25421,3.02029
32278,40113,25352,3.02928
20820,23319,28340,3.03342
21027,23109,28526,3.03436
21372,22759,28836,3.03487
21648,22479,29084,3.03582
22545,21569,29890,3.03794
