obj0,obj1,obj2,cpu
18827,21456,21904,0.964016
24610,15584,33358,0.97993
22617,16208,24629,0.984785
18227,17014,22863,1.00547
16806,20090,24037,1.00914
19338,17350,18838,1.02253
19165,19978,20652,1.02849
16295,24196,27103,1.29233
19204,19964,20672,1.41222
19243,19950,20692,1.45154
19282,19936,20712,1.49844
19321,19922,20732,1.55421
18210,19586,24757,1.98029
18171,19600,24737,2.04721
18132,19614,24717,2.11789
18093,19628,24697,2.18478
18054,19642,24677,2.2483
21957,17107,22807,2.28619
18015,19656,24657,2.31932
21860,17116,22660,2.35015
17976,19670,24637,2.38375
21763,17125,22513,2.41254
17937,19684,24617,2.44419
21666,17134,22366,2.47365
17898,19698,24597,2.5076
21569,17143,22219,2.53519
17859,19712,24577,2.57076
21472,17152,22072,2.59802
19109,20496,22836,2.60041
17820,19726,24557,2.6313
21375,17161,21925,2.65669
19113,20459,22680,2.65916
17781,19740,24537,2.68864
21278,17170,21778,2.71322
19117,20422,22524,2.71534
17742,19754,24517,2.74561
21181,17179,21631,2.76928
19121,20385,22368,2.77152
17703,19768,24497,2.80227
21084,17188,21484,2.82348
19125,20348,22212,2.82589
17664,19782,24477,2.8593
20987,17197,21337,2.89214
19129,20311,22056,2.89445
17625,19796,24457,2.925
20890,17206,21190,2.94623
19133,20274,21900,2.94849
17586,19810,24437,2.97951
20793,17215,21043,3.00017
19137,20237,21744,3.00238
17547,19824,24417,3.03196
20696,17224,20896,3.05138
19141,20200,21588,3.05366
22592,16609,29478,3.08171
17508,19838,24397,3.08474
20599,17233,20749,3.10424
19145,20163,21432,3.10671
22495,16618,29331,3.13264
17469,19852,24377,3.13477
20502,17242,20602,3.15711
19149,20126,21276,3.15976
22398,16627,29184,3.18692
17430,19866,24357,3.18938
20405,17251,20455,3.20932
19153,20089,21120,3.213
22301,16636,29037,3.24162
17391,19880,24337,3.24365
20308,17260,20308,3.25954
19157,20052,20964,3.26272
22204,16645,28890,3.28942
17352,19894,24317,3.29165
20211,17269,20161,3.30727
19161,20015,20808,3.30947
16802,24014,27363,3.32064
22107,16654,28743,3.33756
17313,19908,24297,3.34074
20114,17278,20014,3.35381
16763,24028,27343,3.37143
22010,16663,28596,3.39013
17274,19922,24277,3.39263
20017,17287,19867,3.41085
16724,24042,27323,3.42054
21913,16672,28449,3.43492
17235,19936,24257,3.43702
19920,17296,19720,3.44768
16685,24056,27303,3.45357
21816,16681,28302,3.47166
17196,19950,24237,3.47504
19823,17305,19573,3.48611
16646,24070,27283,3.49
21719,16690,28155,3.50171
17157,19964,24217,3.50382
19726,17314,19426,3.51215
16607,24084,27263,3.51415
19118,21429,22345,3.52348
21622,16699,28008,3.52574
17118,19978,24197,3.5278
19629,17323,19279,3.53652
16568,24098,27243,3.53869
19021,21438,22198,3.54962
21525,16708,27861,3.55303
17079,19992,24177,3.55629
19532,17332,19132,3.56708
16529,24112,27223,3.56947
18924,21447,22051,3.57679
21428,16717,27714,3.57896
17040,20006,24157,3.58104
19435,17341,18985,3.58715
16490,24126,27203,3.58969
21331,16726,27567,3.59943
17001,20020,24137,3.60255
16451,24140,27183,3.61111
21234,16735,27420,3.61523
16962,20034,24117,3.6173
16412,24154,27163,3.62165
21137,16744,27273,3.62604
16923,20048,24097,3.6283
16373,24168,27143,3.63326
21040,16753,27126,3.63759
16884,20062,24077,3.63984
16334,24182,27123,3.64393
20943,16762,26979,3.64611
16845,20076,24057,3.64817
20846,16771,26832,3.65199
20749,16780,26685,3.65742
20652,16789,26538,3.65977
20555,16798,26391,3.66198
20458,16807,26244,3.66463
20361,16816,26097,3.66737
20264,16825,25950,3.66961
20167,16834,25803,3.67212
20070,16843,25656,3.67444
19973,16852,25509,3.6767
19876,16861,25362,3.67891
19779,16870,25215,3.68125
19682,16879,25068,3.68346
19585,16888,24921,3.68575
19488,16897,24774,3.68818
19391,16906,24627,3.69084
19294,16915,24480,3.69305
19197,16924,24333,3.69527
19100,16933,24186,3.69787
19003,16942,24039,3.70008
18906,16951,23892,3.70224
18809,16960,23745,3.70441
18712,16969,23598,3.70679
18615,16978,23451,3.70905
18518,16987,23304,3.71234
18421,16996,23157,3.71559
18324,17005,23010,3.71788
