obj0,obj1,obj2,cpu
23161,16926,22132,0.386833
23346,16907,23678,0.390451
25809,17969,20305,0.393954
24437,17969,21416,0.398171
24636,17558,21893,0.401132
22010,16145,23961,0.5895
22195,16126,25507,0.594604
23485,16777,23722,0.609256
21424,16799,26107,0.750933
23218,20188,20047,0.891093
22632,20842,22193,0.894441
24369,20969,18218,0.938621
27102,21502,17717,0.952019
21998,16491,25659,1.25114
23206,20534,21745,1.25254
23149,17272,23830,1.2971
24357,21315,19916,1.29844
21957,16513,25691,1.31976
23165,20556,21777,1.32114
23108,17294,23862,1.38148
24316,21337,19948,1.38292
21916,16535,25723,1.41379
23124,20578,21809,1.41519
23067,17316,23894,1.48812
24275,21359,19980,1.48946
21875,16557,25755,1.52229
23083,20600,21841,1.5238
23026,17338,23926,1.6091
24234,21381,20012,1.61045
21834,16579,25787,1.64736
23042,20622,21873,1.64993
22985,17360,23958,1.74831
24193,21403,20044,1.74965
21793,16601,25819,1.78729
23001,20644,21905,1.78868
21752,16623,25851,1.93535
22960,20666,21937,1.93676
21711,16645,25883,2.08765
22919,20688,21969,2.08906
21670,16667,25915,2.24209
22878,20710,22001,2.24356
21629,16689,25947,2.39995
22837,20732,22033,2.40133
21588,16711,25979,2.56239
22796,20754,22065,2.56386
21547,16733,26011,2.72861
22755,20776,22097,2.73015
21506,16755,26043,2.89982
22714,20798,22129,2.9012
25795,18361,21374,3.05353
21465,16777,26075,3.07381
22673,20820,22161,3.07525
25698,18333,21377,3.23189
25601,18305,21380,3.41153
25504,18277,21383,3.59714
25407,18249,21386,3.78935
25310,18221,21389,3.98182
25213,18193,21392,4.17885
25116,18165,21395,4.37839
25019,18137,21398,4.57766
24922,18109,21401,4.78124
24825,18081,21404,4.98723
24728,18053,21407,5.19412
24631,18025,21410,5.39255
24534,17997,21413,5.58905
23348,19408,22075,6.97553
23343,19438,21997,7.1719
23338,19468,21919,7.37546
23333,19498,21841,7.56967
23328,19528,21763,7.76877
24484,20279,20012,7.84145
27132,21322,18185,7.95202
23323,19558,21685,7.95977
24479,20309,19934,8.02869
27127,21352,18107,8.13277
23318,19588,21607,8.14125
24474,20339,19856,8.21293
27122,21382,18029,8.30739
23313,19618,21529,8.31202
24469,20369,19778,8.37798
27117,21412,17951,8.45931
23308,19648,21451,8.46216
24464,20399,19700,8.52776
27112,21442,17873,8.6044
23303,19678,21373,8.60635
24459,20429,19622,8.6733
27107,21472,17795,8.74808
23298,19708,21295,8.74999
24454,20459,19544,8.81529
23293,19738,21217,8.87755
24449,20489,19466,8.93957
23288,19768,21139,8.9938
24444,20519,19388,9.05766
23283,19798,21061,9.10881
24439,20549,19310,9.17293
23278,19828,20983,9.22152
23126,19894,23855,9.2722
24434,20579,19232,9.28689
23273,19858,20905,9.3253
23085,19916,23887,9.37156
23121,19924,23777,9.37447
23157,19932,23667,9.37544
24429,20609,19154,9.38923
23268,19888,20827,9.42216
23044,19938,23919,9.46364
23080,19946,23809,9.46662
23116,19954,23699,9.47011
23152,19962,23589,9.47113
24424,20639,19076,9.48495
23263,19918,20749,9.51428
23003,19960,23951,9.55089
23039,19968,23841,9.55392
23075,19976,23731,9.5569
23111,19984,23621,9.55992
23147,19992,23511,9.56093
24419,20669,18998,9.57423
23258,19948,20671,9.59906
22998,19990,23873,9.63644
23034,19998,23763,9.6394
23070,20006,23653,9.64239
23106,20014,23543,9.64536
23142,20022,23433,9.64636
24414,20699,18920,9.65829
23253,19978,20593,9.67857
22957,20012,23905,9.7146
22993,20020,23795,9.71926
23029,20028,23685,9.72232
23065,20036,23575,9.72526
23101,20044,23465,9.7282
23137,20052,23355,9.72924
24409,20729,18842,9.74037
23248,20008,20515,9.75803
22916,20034,23937,9.78504
22952,20042,23827,9.7892
22988,20050,23717,9.79319
23024,20058,23607,9.79618
23060,20066,23497,9.79934
23096,20074,23387,9.80317
23132,20082,23277,9.80417
24404,20759,18764,9.81384
23243,20038,20437,9.8281
22911,20064,23859,9.85297
22947,20072,23749,9.85695
22983,20080,23639,9.86092
23019,20088,23529,9.86405
23055,20096,23419,9.86725
23091,20104,23309,9.87076
23127,20112,23199,9.8718
24399,20789,18686,9.88043
23238,20068,20359,9.89403
22870,20086,23891,9.91053
22906,20094,23781,9.9145
22942,20102,23671,9.91867
22978,20110,23561,9.92168
23014,20118,23451,9.92472
23050,20126,23341,9.92767
23086,20134,23231,9.93115
23122,20142,23121,9.93215
23158,20150,23011,9.93318
24394,20819,18608,9.94046
23233,20098,20281,9.9516
22829,20108,23923,9.96151
22865,20116,23813,9.96552
22901,20124,23703,9.97
22937,20132,23593,9.97296
22973,20140,23483,9.97589
23009,20148,23373,9.97901
23045,20156,23263,9.98223
23081,20164,23153,9.98551
23117,20172,23043,9.98652
23153,20180,22933,9.98751
24389,20849,18530,9.99338
23228,20128,20203,10.0015
22788,20130,23955,10.0069
22824,20138,23845,10.0109
22860,20146,23735,10.0149
22896,20154,23625,10.0181
22932,20162,23515,10.0211
22968,20170,23405,10.0241
23004,20178,23295,10.0271
23040,20186,23185,10.0301
23076,20194,23075,10.0332
23112,20202,22965,10.0343
23148,20210,22855,10.0356
24384,20879,18452,10.0405
23223,20158,20125,10.0475
22783,20160,23877,10.0526
22819,20168,23767,10.0566
22855,20176,23657,10.0595
22891,20184,23547,10.0627
22927,20192,23437,10.0659
22963,20200,23327,10.0693
22999,20208,23217,10.0725
23035,20216,23107,10.0755
23071,20224,22997,10.0784
