obj0,obj1,obj2,cpu
45733,44610,15201,0.302239
29222,38757,16069,0.312467
27605,37012,18772,0.523603
35873,25518,34766,0.735
30065,26863,32985,0.75794
28607,34231,17166,0.847931
26990,32486,19869,0.852377
32245,31174,19067,0.855652
30558,33924,18191,0.859708
30628,29429,21770,0.864063
33607,26440,28068,1.05485
24161,30842,24386,1.06916
27799,27785,26287,1.07239
35213,25377,35269,1.11482
25767,29779,31587,1.12382
29405,26722,33488,1.1267
35475,27417,24521,1.14868
33858,25672,27224,1.16272
26644,36345,19742,1.18129
26029,31819,20839,1.18444
25027,34600,22445,1.1874
24412,30074,23542,1.1915
29667,28762,22740,1.19654
27980,31512,21864,1.20331
28050,27017,25443,1.21035
26363,29767,24567,1.21894
36124,24750,33922,1.23372
26678,29152,30240,1.26228
30316,26095,32141,1.27558
45433,42688,15794,1.3598
45448,42812,15770,1.36093
28922,36835,16662,1.39578
28937,36959,16638,1.39686
26344,34423,20335,1.399
26359,34547,20311,1.40129
27410,35958,19197,1.40884
27425,36082,19173,1.41057
24787,33174,22942,1.41293
24802,33298,22918,1.41535
45268,41324,16058,1.50711
45283,41448,16034,1.50826
45598,44052,15530,1.50937
45613,44176,15506,1.51047
35625,28657,24281,1.51262
28757,35471,16926,1.53778
28772,35595,16902,1.53883
29087,38199,16398,1.53996
29102,38323,16374,1.54107
26179,33059,20599,1.54311
26194,33183,20575,1.54516
26509,35787,20071,1.54734
26524,35911,20047,1.54953
27260,34718,19437,1.56014
27275,34842,19413,1.56187
27560,37198,18957,1.56362
27575,37322,18933,1.56587
24637,31934,23182,1.5686
24652,32058,23158,1.57129
24952,34538,22678,1.57368
24967,34662,22654,1.57639
32395,32414,18827,1.57756
32410,32538,18803,1.57869
29817,30002,22500,1.5833
29832,30126,22476,1.5855
30898,31661,21338,1.59945
30913,31785,21314,1.60127
28275,28877,25083,1.60368
28290,29001,25059,1.60632
24281,31834,24194,1.64151
24296,31958,24170,1.64354
45358,42068,15914,1.68509
45373,42192,15890,1.68619
45523,43432,15650,1.68731
45538,43556,15626,1.68841
45688,44796,15386,1.68954
45703,44920,15362,1.69064
35550,28037,24401,1.69278
35565,28161,24377,1.69491
33993,26788,27008,1.70248
34008,26912,26984,1.70524
28682,34851,17046,1.71715
28697,34975,17022,1.71824
28847,36215,16782,1.71934
28862,36339,16758,1.72043
29012,37579,16518,1.7215
29027,37703,16494,1.72259
29177,38943,16254,1.72381
29192,39067,16230,1.72489
26104,32439,20719,1.72698
26119,32563,20695,1.7291
26269,33803,20455,1.73131
26284,33927,20431,1.73365
26434,35167,20191,1.73585
