obj0,obj1,obj2,cpu
45733,44610,15201,0
29222,38757,16069,0
27605,37012,18772,0
35873,25518,34766,0
30065,26863,32985,0
28607,34231,17166,0
26990,32486,19869,0
32245,31174,19067,0
30558,33924,18191,0
30628,29429,21770,0
33607,26440,28068,0
24161,30842,24386,0
27799,27785,26287,0
35213,25377,35269,0
25767,29779,31587,0
29405,26722,33488,0
35475,27417,24521,0
33858,25672,27224,0
26644,36345,19742,0
26029,31819,20839,0
25027,34600,22445,0
24412,30074,23542,0
29667,28762,22740,0
27980,31512,21864,0
28050,27017,25443,0
26363,29767,24567,0
36124,24750,33922,0
26678,29152,30240,0
30316,26095,32141,0
24341,32330,24098,0
24356,32454,24074,0
27814,27909,26263,0
27829,28033,26239,0
45298,41572,16010,0
45313,41696,15986,0
29132,38571,16326,0
29147,38695,16302,0
26524,35911,20047,0
26539,36035,20023,0
27275,34842,19413,0
27290,34966,19389,0
24952,34538,22678,0
24967,34662,22654,0
24266,31710,24218,0
24281,31834,24194,0
45643,44424,15458,0
45658,44548,15434,0
35490,27541,24497,0
35505,27665,24473,0
33933,26292,27104,0
33948,26416,27080,0
28712,35099,16998,0
28727,35223,16974,0
29192,39067,16230,0
29207,39191,16206,0
26044,31943,20815,0
26599,36531,19927,0
26614,36655,19903,0
27080,33230,19725,0
27095,33354,19701,0
27305,35090,19365,0
27320,35214,19341,0
24517,30942,23374,0
24532,31066,23350,0
25012,35034,22582,0
32335,31918,18923,0
32350,32042,18899,0
30793,30793,21506,0
30808,30917,21482,0
28065,27141,25419,0
28080,27265,25395,0
36169,25122,33850,0
36184,25246,33826,0
26693,29276,30216,0
26708,29400,30192,0
24251,31586,24242,0
24296,31958,24170,0
24311,32082,24146,0
35228,25501,35245,0
35243,25625,35221,0
29435,26970,33440,0
45268,41324,16058,0
45463,42936,15746,0
45478,43060,15722,0
33873,25796,27200,0
28667,34727,17070,0
28682,34851,17046,0
28952,37083,16614,0
28967,37207,16590,0
29162,38819,16278,0
29177,38943,16254,0
26299,34051,20407,0
26314,34175,20383,0
26584,36407,19951,0
27020,32734,19821,0
27035,32858,19797,0
27200,34222,19533,0
27215,34346,19509,0
27470,36454,19101,0
27485,36578,19077,0
24487,30694,23422,0
24502,30818,23398,0
24892,34042,22774,0
24907,34166,22750,0
24997,34910,22606,0
32260,31298,19043,0
32275,31422,19019,0
32500,33282,18659,0
32515,33406,18635,0
30778,30669,21530,0
28140,27761,25299,0
28155,27885,25275,0
36139,24874,33898,0
30361,26467,32069,0
30376,26591,32045,0
24206,31214,24314,0
24221,31338,24290,0
24326,32206,24122,0
27844,28157,26215,0
30080,26987,32961,0
29420,26846,33464,0
45283,41448,16034,0
45418,42564,15818,0
45433,42688,15794,0
45628,44300,15482,0
45673,44672,15410,0
35580,28285,24353,0
35595,28409,24329,0
33888,25920,27176,0
33903,26044,27152,0
28622,34355,17142,0
28637,34479,17118,0
28697,34975,17022,0
28892,36587,16710,0
28907,36711,16686,0
29117,38447,16350,0
26164,32935,20623,0
26179,33059,20599,0
26494,35663,20095,0
26509,35787,20071,0
26569,36283,19975,0
26629,36779,19879,0
27005,32610,19845,0
27065,33106,19749,0
27170,33974,19581,0
27185,34098,19557,0
27230,34470,19485,0
27245,34594,19461,0
27365,35586,19269,0
27380,35710,19245,0
27500,36702,19053,0
27515,36826,19029,0
24427,30198,23518,0
24817,33422,22894,0
24832,33546,22870,0
24937,34414,22702,0
24982,34786,22630,0
32305,31670,18971,0
32320,31794,18947,0
32365,32166,18875,0
32530,33530,18611,0
29832,30126,22476,0
29847,30250,22452,0
28010,31760,21816,0
30763,30545,21554,0
28095,27389,25371,0
36154,24998,33874,0
30346,26343,32093,0
30391,26715,32021,0
24176,30966,24362,0
24236,31462,24266,0
24371,32578,24050,0
25782,29903,31563,0
25797,30027,31539,0
45358,42068,15914,0
45373,42192,15890,0
45448,42812,15770,0
45553,43680,15602,0
45568,43804,15578,0
35520,27789,24449,0
35610,28533,24305,0
35625,28657,24281,0
33918,26168,27128,0
33963,26540,27056,0
28652,34603,17094,0
28772,35595,16902,0
28787,35719,16878,0
28937,36959,16638,0
29102,38323,16374,0
26059,32067,20791,0
26074,32191,20767,0
26194,33183,20575,0
26464,35415,20143,0
26479,35539,20119,0
26554,36159,19999,0
27050,32982,19773,0
27125,33602,19653,0
27140,33726,19629,0
27260,34718,19437,0
27350,35462,19293,0
27455,36330,19125,0
27590,37446,18909,0
24457,30446,23470,0
24472,30570,23446,0
24712,32554,23062,0
24727,32678,23038,0
24877,33918,22798,0
24922,34290,22726,0
32290,31546,18995,0
32440,32786,18755,0
32455,32910,18731,0
29682,28886,22716,0
29922,30870,22332,0
29937,30994,22308,0
30573,34048,18167,0
27995,31636,21840,0
30688,29925,21674,0
30703,30049,21650,0
30883,31537,21362,0
30898,31661,21338,0
28125,27637,25323,0
26378,29891,24543,0
26393,30015,24519,0
36199,25370,33802,0
36214,25494,33778,0
30331,26219,32117,0
30406,26839,31997,0
24191,31090,24338,0
24401,32826,24002,0
35888,25642,34742,0
45343,41944,15938,0
45388,42316,15866,0
45403,42440,15842,0
45538,43556,15626,0
45583,43928,15554,0
35535,27913,24425,0
35550,28037,24401,0
28757,35471,16926,0
28802,35843,16854,0
28922,36835,16662,0
28982,37331,16566,0
28997,37455,16542,0
26089,32315,20743,0
26104,32439,20719,0
26254,33679,20479,0
26269,33803,20455,0
26344,34423,20335,0
26359,34547,20311,0
27913,37356,18744,0
27990,37442,18737,0
27110,33478,19677,0
27155,33850,19605,0
27335,35338,19317,0
27395,35834,19221,0
27410,35958,19197,0
27530,36950,19005,0
24442,30322,23494,0
24547,31190,23326,0
24742,32802,23014,0
24757,32926,22990,0
24862,33794,22822,0
32425,32662,18779,0
32485,33158,18683,0
29712,29134,22668,0
29727,29258,22644,0
29862,30374,22428,0
30643,29553,21746,0
30733,30297,21602,0
30748,30421,21578,0
30823,31041,21458,0
30913,31785,21314,0
28110,27513,25347,0
28215,28381,25179,0
28230,28505,25155,0
36229,25618,33754,0
30421,26963,31973,0
33622,26564,28044,0
24386,32702,24026,0
27859,28281,26191,0
45328,41820,15962,0
45523,43432,15650,0
45598,44052,15530,0
45613,44176,15506,0
45718,45044,15338,0
35565,28161,24377,0
28742,35347,16950,0
28847,36215,16782,0
28862,36339,16758,0
29012,37579,16518,0
29027,37703,16494,0
26149,32811,20647,0
26239,33555,20503,0
26284,33927,20431,0
26329,34299,20359,0
26374,34671,20287,0
26389,34795,20263,0
27836,37270,18751,0
28452,37958,18695,0
28529,38044,18688,0
25104,34686,22438,0
27440,36206,19149,0
27560,37198,18957,0
27575,37322,18933,0
24607,31686,23230,0
24622,31810,23206,0
24802,33298,22918,0
24847,33670,22846,0
32410,32538,18803,0
32470,33034,18707,0
29697,29010,22692,0
29742,29382,22620,0
29877,30498,22404,0
30588,34172,18143,0
30658,29677,21722,0
30673,29801,21698,0
30718,30173,21626,0
30838,31165,21434,0
28185,28133,25227,0
28200,28257,25203,0
28305,29125,25035,0
28320,29249,25011,0
30438,26553,32062,0
33667,26936,27972,0
45508,43308,15674,0
45703,44920,15362,0
28817,35967,16830,0
28877,36463,16734,0
29087,38199,16398,0
26119,32563,20695,0
26134,32687,20671,0
26209,33307,20551,0
26404,34919,20239,0
27682,37098,18765,0
27759,37184,18758,0
28221,37700,18716,0
28298,37786,18709,0
27442,35672,19262,0
27425,36082,19173,0
27545,37074,18981,0
24592,31562,23254,0
24637,31934,23182,0
24772,33050,22966,0
32395,32414,18827,0
29757,29506,22596,0
29772,29630,22572,0
29907,30746,22356,0
29952,31118,22284,0
30868,31413,21386,0
28170,28009,25251,0
28260,28753,25107,0
28275,28877,25083,0
33637,26688,28020,0
45493,43184,15698,0
45688,44796,15386,0
28449,38131,18659,0
28544,38225,18602,0
28832,36091,16806,0
29042,37827,16470,0
29057,37951,16446,0
26224,33431,20527,0
26434,35167,20191,0
26449,35291,20167,0
28144,37614,18723,0
28375,37872,18702,0
27082,32696,19838,0
27307,34556,19478,0
27322,34680,19454,0
27352,34928,19406,0
27397,35300,19334,0
24562,31314,23302,0
24577,31438,23278,0
24697,32430,23086,0
24787,33174,22942,0
32380,32290,18851,0
29817,30002,22500,0
29892,30622,22380,0
30855,30755,21523,0
30853,31289,21410,0
28245,28629,25131,0
28290,29001,25059,0
33652,26812,27996,0
25859,29989,31556,0
35585,27635,24440,0
35680,27729,24383,0
33935,25758,27217,0
33978,26664,27032,0
29072,38075,16422,0
28309,34075,19471,0
28404,34169,19414,0
26419,35043,20215,0
28067,37528,18730,0
27067,32572,19862,0
27142,33192,19742,0
27247,34060,19574,0
27367,35052,19382,0
27382,35176,19358,0
27592,36912,19022,0
24652,32058,23158,0
29802,29878,22524,0
28127,27103,25436,0
28142,27227,25412,0
28335,29373,24987,0
36246,25208,33843,0
36060,28105,24155,0
36155,28199,24098,0
33993,26788,27008,0
26929,36627,19571,0
27024,36721,19514,0
28119,33887,19585,0
28499,34263,19357,0
28594,34357,19300,0
27112,32944,19790,0
27157,33316,19718,0
27232,33936,19598,0
27262,34184,19550,0
27277,34308,19526,0
27292,34432,19502,0
27337,34804,19430,0
27547,36540,19094,0
27562,36664,19070,0
24489,30160,23535,0
24682,32306,23110,0
29787,29754,22548,0
30735,29763,21715,0
30900,31127,21451,0
26455,29977,24536,0
36216,24960,33891,0
36276,25456,33795,0
26755,29238,30233,0
30393,26181,32134,0
24376,31928,24137,0
27989,27973,26173,0
27909,28003,26206,0
28004,28097,26149,0
28019,28221,26125,0
25844,29865,31580,0
35775,27823,24326,0
35870,27917,24269,0
36440,28481,23927,0
