obj0,obj1,obj2,obj3,obj4,cpu
37133,28747,28979,22739,40730,0.772972
35907,28205,29646,22556,40248,0.852177
34926,27626,30983,22286,41044,1.23183
33700,27084,31650,22103,40562,1.36414
31751,29814,35930,23888,39011,1.69349
30863,25627,35054,26039,39413,1.7083
35520,26300,30162,26543,41074,1.72193
33313,25179,32166,26090,41388,1.748
30525,29272,36597,23705,38529,1.87973
29637,25085,35721,25856,38931,1.89498
34294,25758,30829,26360,40592,1.90872
32087,24637,32833,25907,40906,1.93208
29600,31065,35697,28299,34451,2.33511
28712,26878,34821,30450,34853,2.35841
34982,29998,28746,27150,36170,2.36768
32775,28877,30750,26697,36484,2.39914
31162,26430,31933,30501,36828,2.42256
26981,25967,37034,34142,35200,2.50399
29431,25519,34146,34193,37175,2.52633
28374,30523,36364,28116,33969,2.63126
33977,29977,32602,31854,35527,2.64026
27486,26336,35488,30267,34371,2.65489
33756,29456,29413,26967,35688,2.66435
34916,27792,33676,29184,35699,2.67727
31549,28335,31417,26514,36002,2.69634
29936,25888,32600,30318,36346,2.71977
32373,31848,38777,26712,34118,3.00922
30222,33099,38544,31123,29558,3.0214
31485,27661,37901,28863,34520,3.03849
29334,28912,37668,33274,29960,3.05057
37755,30781,31826,25563,35837,3.0546
35604,32032,31593,29974,31277,3.06179
33369,27551,29929,30954,36514,3.06874
33991,29585,32776,33778,31621,3.08194
35548,29660,33830,25110,36151,3.09138
33397,30911,33597,29521,31591,3.10748
33935,27213,35013,28914,36495,3.12056
31784,28464,34780,33325,31935,3.14221
27603,28001,39881,36966,30307,3.17951
30053,27553,36993,37017,32282,3.21137
31147,31306,39444,26529,33636,3.28241
28996,32557,39211,30940,29076,3.2948
34599,32011,35449,34678,30634,3.30601
30259,27119,38568,28680,34038,3.31192
28108,28370,38335,33091,29478,3.32435
36529,30239,32493,25380,35355,3.32822
34378,31490,32260,29791,30795,3.33558
32143,27009,30596,30771,36032,3.34244
32765,29043,33443,33595,31139,3.35562
34322,29118,34497,24927,35669,3.36516
32171,30369,34264,29338,31109,3.38123
32709,26671,35680,28731,36013,3.39386
30558,27922,35447,33142,31453,3.41414
30324,33159,38523,31150,29593,3.51465
29436,28972,37647,33301,29995,3.53924
35028,27686,30962,22313,41079,3.58309
35650,29720,33809,25137,36186,3.58822
32877,28937,30729,26724,36519,3.59329
33499,30971,33576,29548,31626,3.60227
33415,25239,32145,26117,41423,3.60692
