obj0,obj1,obj2,cpu
14823,29512,28179,0.691991
28353,31054,22176,1.02348
19465,36544,22750,1.02735
23971,33567,22238,1.03467
26443,26866,22736,1.06135
17555,32356,23310,1.06507
22061,29379,22798,1.07268
16549,28442,25940,1.16554
31677,21823,25882,1.25722
20157,25769,26170,1.2627
21883,24699,23931,1.26816
27831,26573,22476,1.29508
18943,32063,23050,1.29888
23449,29086,22538,1.30619
25186,23111,25305,1.31173
24195,23455,25275,1.32817
25921,22385,23036,1.33297
17033,27875,23610,1.33673
19813,25968,25337,1.33858
21539,24898,23098,1.34371
30772,31785,22031,1.53168
21884,37275,22605,1.53423
26390,34298,22093,1.53546
30376,32195,22147,1.54836
27434,26522,22766,1.57902
18546,32012,23340,1.58158
23052,29035,22828,1.58283
28241,26319,22465,1.59315
19353,31809,23039,1.59569
23859,28832,22527,1.59693
21148,25425,26200,1.72893
32668,21479,25912,1.73382
22874,24355,23961,1.7372
33475,21276,25611,1.74747
23681,24152,23660,1.75084
30250,27304,22331,1.8069
21362,32794,22905,1.80953
25868,29817,22393,1.81078
29854,27714,22447,1.82342
20804,25624,25367,1.84781
26912,22041,23066,1.85282
18024,27531,23640,1.85519
22530,24554,23128,1.85645
27719,21838,22765,1.86653
18831,27328,23339,1.86899
23337,24351,22827,1.87023
15307,28945,25849,1.87525
21488,37685,22721,1.94021
25994,34708,22209,1.94334
20966,33204,23021,2.09327
25472,30227,22509,2.09641
16298,28601,25879,2.102
21873,37331,22675,2.17293
26379,34354,22163,2.17441
19454,36600,22820,2.17856
23960,33623,22308,2.18223
23041,29091,22898,2.18825
19342,31865,23109,2.19075
23848,28888,22597,2.19219
17544,32412,23380,2.1947
22050,29435,22868,2.19611
22863,24411,24031,2.20109
23670,24208,23730,2.20357
21872,24755,24001,2.20738
21351,32850,22975,2.20993
25857,29873,22463,2.21133
18932,32119,23120,2.21542
23438,29142,22608,2.21908
22519,24610,23198,2.22763
18820,27384,23409,2.23012
23326,24407,22897,2.2315
25668,23673,24646,2.23348
25657,23729,24716,2.23415
17022,27931,23680,2.23577
21528,24954,23168,2.23856
21862,37387,22745,2.24149
26368,34410,22233,2.24325
19443,36656,22890,2.2478
23949,33679,22378,2.24992
23030,29147,22968,2.25523
19331,31921,23179,2.2581
23837,28944,22667,2.25983
17533,32468,23450,2.26272
22039,29491,22938,2.2645
22852,24467,24101,2.2689
23659,24264,23800,2.27173
21861,24811,24071,2.27486
18921,32175,23190,2.28386
23427,29198,22678,2.28597
22508,24666,23268,2.29164
18809,27440,23479,2.29451
23315,24463,22967,2.29623
25800,23001,23806,2.2985
25789,23057,23876,2.29912
17011,27987,23750,2.30194
21517,25010,23238,2.30415
19432,36712,22960,2.31791
23938,33735,22448,2.32281
23019,29203,23038,2.33299
19320,31977,23249,2.3382
23826,29000,22737,2.34109
17522,32524,23520,2.34631
22028,29547,23008,2.34917
32613,21759,26262,2.35108
32602,21815,26332,2.35173
22841,24523,24171,2.35451
23648,24320,23870,2.35966
21850,24867,24141,2.36386
18910,32231,23260,2.37608
23416,29254,22748,2.38099
26857,22321,23416,2.38412
26846,22377,23486,2.38477
22497,24722,23338,2.39174
18798,27496,23549,2.39698
23304,24519,23037,2.4015
25866,22665,23386,2.40276
25855,22721,23456,2.4034
25734,23337,24226,2.40387
25723,23393,24296,2.40449
25602,24009,25066,2.40497
17000,28043,23820,2.40972
21506,25066,23308,2.41423
19421,36768,23030,2.42556
23927,33791,22518,2.42778
23815,29056,22807,2.44239
17511,32580,23590,2.44835
22017,29603,23078,2.45017
16527,28554,26080,2.45069
32646,21591,26052,2.45212
32635,21647,26122,2.45276
33453,21388,25751,2.45611
33442,21444,25821,2.45674
27809,26685,22616,2.46722
27798,26741,22686,2.46784
18899,32287,23330,2.47564
23405,29310,22818,2.47779
26890,22153,23206,2.4794
26879,22209,23276,2.48004
22486,24778,23408,2.48939
27697,21950,22905,2.48991
27686,22006,22975,2.49053
18787,27552,23619,2.49687
23293,24575,23107,2.5003
25899,22497,23176,2.50153
25888,22553,23246,2.50216
25833,22833,23596,2.50263
25822,22889,23666,2.50328
25767,23169,24016,2.50375
25756,23225,24086,2.50441
25701,23505,24436,2.50489
25690,23561,24506,2.5055
25635,23841,24856,2.50599
25624,23897,24926,2.50662
16989,28099,23890,2.51403
21495,25122,23378,2.51643
30750,31897,22171,2.51701
28331,31166,22316,2.51941
28320,31222,22386,2.52007
28219,26431,22605,2.53264
28208,26487,22675,2.53329
16538,28498,26010,2.54658
32657,21535,25982,2.54898
32624,21703,26192,2.55002
33464,21332,25681,2.55234
33431,21500,25891,2.55329
30239,27360,22401,2.55807
27820,26629,22546,2.56043
27787,26797,22756,2.56141
26901,22097,23136,2.5766
26868,22265,23346,2.57758
22475,24834,23478,2.58973
27708,21894,22835,2.59024
27675,22062,23045,2.59119
25910,22441,23106,2.60609
25877,22609,23316,2.60705
25844,22777,23526,2.60813
25811,22945,23736,2.6091
25778,23113,23946,2.61006
25745,23281,24156,2.61102
25712,23449,24366,2.61196
25679,23617,24576,2.61291
25646,23785,24786,2.61387
25613,23953,24996,2.61481
16978,28155,23960,2.62503
21484,25178,23448,2.62855
30761,31841,22101,2.62909
28342,31110,22246,2.63145
28230,26375,22535,2.64062
28197,26543,22745,2.64159
26432,26922,22806,2.6468
16967,28211,24030,2.75672
21473,25234,23518,2.7612
16956,28267,24100,2.89486
21462,25290,23588,2.89816
16945,28323,24170,3.09984
21451,25346,23658,3.10479
23090,36897,22722,3.10536
23224,36855,22735,3.10603
20671,36166,22867,3.11144
20805,36124,22880,3.11213
24627,33523,22482,3.11944
20559,31431,23156,3.12661
20693,31389,23169,3.12726
24515,28788,22771,3.13286
22717,29335,23042,3.14085
20570,26733,23887,3.17293
20704,26691,23900,3.17357
21377,26530,23586,3.23984
24813,24252,23376,3.30294
24977,24241,23437,3.30363
16934,28379,24240,3.37432
20469,25924,25581,3.37489
20633,25913,25642,3.37554
21440,25402,23728,3.37934
22420,37107,22657,3.37992
22554,37065,22670,3.38057
26718,34276,22215,3.38442
20001,36376,22802,3.38592
20135,36334,22815,3.38659
21341,35956,22932,3.38714
24299,33545,22360,3.39673
24463,33534,22421,3.39738
19889,31641,23091,3.40541
20023,31599,23104,3.40607
21229,31221,23221,3.40662
21363,31179,23234,3.40726
24187,28810,22649,3.41454
24351,28799,22710,3.41521
18091,32188,23362,3.41575
18225,32146,23375,3.41645
22389,29357,22920,3.42272
22553,29346,22981,3.42339
24993,24064,24148,3.42629
25157,24053,24209,3.4271
16834,28433,25931,3.44998
21132,25602,25489,3.45109
21296,25591,25550,3.45176
19230,27153,23757,3.4523
19364,27111,23770,3.45296
23186,24510,23372,3.52712
20037,26950,23456,3.5283
20171,26908,23469,3.529
23993,24307,23071,3.60515
24157,24296,23132,3.60584
15843,28777,25901,3.60973
15977,28735,25914,3.61039
16923,28435,24310,3.64758
20141,25946,25459,3.64817
20305,25935,25520,3.64885
22195,24854,23342,3.65049
22359,24843,23403,3.65115
21429,25458,23798,3.65376
22152,37191,22631,3.65435
22286,37149,22644,3.65501
22822,36981,22696,3.65555
22956,36939,22709,3.65625
26554,34287,22154,3.66021
19733,36460,22776,3.66157
19867,36418,22789,3.66222
20403,36250,22841,3.66275
20537,36208,22854,3.6634
21073,36040,22906,3.66393
21207,35998,22919,3.6646
21756,37601,22747,3.6722
24135,33556,22299,3.67365
18814,31928,23366,3.67591
23216,29024,22889,3.68037
19621,31725,23065,3.68142
19755,31683,23078,3.68212
20291,31515,23130,3.68266
20425,31473,23143,3.68334
20961,31305,23195,3.68386
21095,31263,23208,3.68457
24023,28821,22588,3.69303
17823,32272,23336,3.69482
17957,32230,23349,3.69549
18493,32062,23401,3.69602
22225,29368,22859,3.70309
23530,24311,24205,3.7069
24337,24108,23904,3.70814
24501,24097,23965,3.70885
20485,25747,26292,3.71282
20649,25736,26353,3.71351
21898,32626,22957,3.71521
22032,32584,22970,3.71597
26196,29795,22515,3.71877
23777,29064,22660,3.73128
16566,28517,25905,3.73496
16700,28475,25918,3.73566
20968,25613,25428,3.73622
18560,27363,23692,3.73816
18694,27321,23705,3.73882
19900,26943,23822,3.73938
20034,26901,23835,3.74005
21240,26523,23952,3.74057
21374,26481,23965,3.74123
22858,24532,23250,3.7763
23022,24521,23311,3.77698
19367,27160,23391,3.7775
19501,27118,23404,3.77818
20707,26740,23521,3.7787
20841,26698,23534,3.77936
23665,24329,22949,3.80699
23829,24318,23010,3.80765
24485,24274,23254,3.80823
24649,24263,23315,3.80899
25305,24219,23559,3.80954
25469,24208,23620,3.81018
15575,28861,25875,3.81073
15709,28819,25888,3.81143
16245,28651,25940,3.81196
17569,27707,23662,3.81552
17703,27665,23675,3.81618
16912,28491,24380,3.85098
19977,25957,25398,3.85156
20797,25902,25703,3.85338
21867,24876,23220,3.85438
22031,24865,23281,3.85506
21418,25514,23868,3.85772
22018,37233,22618,3.8583
22688,37023,22683,3.86011
23358,36813,22748,3.86192
19599,36502,22763,3.86618
20269,36292,22828,3.86804
20939,36082,22893,3.86985
21622,37643,22734,3.8783
18680,31970,23353,3.88203
19487,31767,23052,3.886
20157,31557,23117,3.88789
20827,31347,23182,3.88974
21497,31137,23247,3.89168
17689,32314,23323,3.90008
18359,32104,23388,3.90228
21312,25414,26261,3.91013
23202,24333,24083,3.9112
23366,24322,24144,3.91189
24009,24130,23782,3.91244
24173,24119,23843,3.91315
24665,24086,24026,3.9137
24829,24075,24087,3.91437
25485,24031,24331,3.91489
25649,24020,24392,3.91561
20321,25758,26231,3.91622
22211,24677,24053,3.91832
22375,24666,24114,3.91902
21630,32710,22931,3.91958
21764,32668,22944,3.92028
26032,29806,22454,3.92311
19211,31979,23076,3.92449
19345,31937,23089,3.9252
23613,29075,22599,3.93356
16432,28559,25892,3.93506
18292,27447,23666,3.93777
18426,27405,23679,3.93848
18962,27237,23731,3.93903
19096,27195,23744,3.93968
19632,27027,23796,3.94022
19766,26985,23809,3.9409
20302,26817,23861,3.94145
20436,26775,23874,3.94214
20972,26607,23926,3.9427
21106,26565,23939,3.94338
22694,24543,23189,3.96462
19099,27244,23365,3.96652
19233,27202,23378,3.96723
19769,27034,23430,3.9678
19903,26992,23443,3.96858
20439,26824,23495,3.96913
20573,26782,23508,3.96982
21109,26614,23560,3.97035
21243,26572,23573,3.97104
23501,24340,22888,3.9899
24321,24285,23193,3.99168
25141,24230,23498,3.99351
15441,28903,25862,3.9953
16111,28693,25927,3.99713
17301,27791,23636,3.99894
17435,27749,23649,3.9996
17971,27581,23701,4.00013
16901,28547,24450,4.02796
21703,24887,23159,4.03016
21407,25570,23938,4.03403
23038,24344,24022,4.06429
23845,24141,23721,4.06674
25321,24042,24270,4.07031
22047,24688,23992,4.07291
21496,32752,22918,4.07475
19077,32021,23063,4.0808
21100,33162,23034,4.08766
18158,27489,23653,4.09221
18828,27279,23718,4.09407
19498,27069,23783,4.09591
20168,26859,23848,4.09776
20838,26649,23913,4.09963
18965,27286,23352,4.1093
19635,27076,23417,4.11113
20305,26866,23482,4.11298
20975,26656,23547,4.11483
17167,27833,23623,4.12798
17837,27623,23688,4.12979
16890,28603,24520,4.15247
21396,25626,24008,4.15571
16879,28659,24590,4.21076
21385,25682,24078,4.21232
16868,28715,24660,4.24379
21374,25738,24148,4.24541
16857,28771,24730,4.27209
21363,25794,24218,4.2737
16846,28827,24800,4.29516
21352,25850,24288,4.29664
16835,28883,24870,4.31534
21341,25906,24358,4.31681
16824,28939,24940,4.33477
21330,25962,24428,4.33623
16813,28995,25010,4.35442
21319,26018,24498,4.35588
16802,29051,25080,4.37449
21308,26074,24568,4.37595
16791,29107,25150,4.39504
21297,26130,24638,4.3965
16780,29163,25220,4.41604
21286,26186,24708,4.41767
16769,29219,25290,4.43559
21275,26242,24778,4.43707
16758,29275,25360,4.45171
21264,26298,24848,4.45319
16747,29331,25430,4.46614
21253,26354,24918,4.46759
16736,29387,25500,4.4798
21242,26410,24988,4.48124
16725,29443,25570,4.49368
21231,26466,25058,4.49519
16714,29499,25640,4.50744
21220,26522,25128,4.50889
16703,29555,25710,4.52116
16692,29611,25780,4.53487
