obj0,obj1,obj2,cpu
30765,21328,33364,0.627409
29019,21447,33551,0.671215
19218,28657,27458,0.765473
21705,32637,27287,0.770466
23751,22128,34037,0.879291
19308,25239,27780,0.881914
24584,27369,26534,1.03612
27071,31349,26363,1.0387
26322,24439,27107,1.10126
24576,24558,27294,1.16595
27509,20458,34850,1.26369
23066,23569,28593,1.26731
25763,20577,35037,1.36561
21320,23688,28780,1.36892
25083,21887,34987,1.5088
25015,22018,34982,1.50927
20912,24474,28750,1.51663
20844,24605,28745,1.51753
26761,21899,34795,1.52843
26693,22030,34790,1.52892
22726,24224,28568,1.53349
22658,24355,28563,1.53438
25423,21232,35012,1.54156
25355,21363,35007,1.54202
21184,23950,28770,1.55375
21116,24081,28765,1.55465
27169,21113,34825,1.57323
27101,21244,34820,1.57371
22998,23700,28588,1.58041
22930,23831,28583,1.58127
22454,24748,28548,1.58191
22386,24879,28543,1.58276
25627,20839,35027,1.59275
25559,20970,35022,1.59322
25219,21625,34997,1.59381
25151,21756,34992,1.59426
21252,23819,28775,1.60734
21048,24212,28760,1.60799
20980,24343,28755,1.60885
20776,24736,28740,1.60946
20708,24867,28735,1.61031
27373,20720,34840,1.63349
27305,20851,34835,1.63397
26965,21506,34810,1.63464
26897,21637,34805,1.63516
22862,23962,28578,1.64157
22794,24093,28573,1.64242
22590,24486,28558,1.64303
22522,24617,28553,1.6439
22318,25010,28538,1.64455
25695,20708,35032,1.66091
25491,21101,35017,1.66182
25287,21494,35002,1.66273
20640,24998,28730,1.6799
27441,20589,34845,1.7119
27237,20982,34830,1.71285
27033,21375,34815,1.71376
26829,21768,34800,1.71468
26902,24269,27932,7.78556
27018,24235,28097,7.78625
20584,24865,29595,8.47171
20700,24831,29760,8.47235
24816,27301,26864,10.2948
24932,27267,27029,10.296
26554,24371,27437,10.3003
26670,24337,27602,10.3009
27250,24167,28427,10.3014
25156,24388,28119,10.31
25272,24354,28284,10.3105
19888,25069,28605,11.0396
20004,25035,28770,11.0402
24700,27335,26699,13.2886
25048,27233,27194,13.2895
26438,24405,27272,13.2912
26786,24303,27767,13.2921
27134,24201,28262,13.2935
24808,24490,27624,13.2984
24924,24456,27789,13.299
19334,28623,27623,13.3205
25618,22821,32223,13.3213
25734,22787,32388,13.3219
19540,25171,28110,13.6691
19656,25137,28275,13.6696
20236,24967,29100,13.6701
20352,24933,29265,13.6707
23872,22940,32410,13.6874
23988,22906,32575,13.688
24692,24524,27459,16.4895
25040,24422,27954,16.4904
25388,24320,28449,16.4913
24342,23195,30408,16.4963
24458,23161,30573,16.4969
19424,25205,27945,16.6454
19772,25103,28440,16.6463
20120,25001,28935,16.6472
20468,24899,29430,16.6481
22596,23314,30595,16.6565
22712,23280,30760,16.6571
23646,23399,29418,17.5153
23762,23365,29583,17.5159
25038,22991,31398,17.5164
25154,22957,31563,17.517
26314,22617,33213,17.5174
26430,22583,33378,17.518
21900,23518,29605,17.5961
22016,23484,29770,17.5966
23292,23110,31585,17.5971
23408,23076,31750,17.5977
24568,22736,33400,17.5982
24684,22702,33565,17.5988
23298,23501,28923,17.8519
23414,23467,29088,17.8525
23994,23297,29913,17.8529
24110,23263,30078,17.8535
24690,23093,30903,17.854
24806,23059,31068,17.8546
25386,22889,31893,17.855
25502,22855,32058,17.8557
25966,22719,32718,17.8561
26082,22685,32883,17.8567
26662,22515,33708,17.8572
26778,22481,33873,17.8578
21552,23620,29110,17.8992
21668,23586,29275,17.8998
22248,23416,30100,17.9002
22364,23382,30265,17.9008
22944,23212,31090,17.9013
23060,23178,31255,17.9018
23640,23008,32080,17.9023
23756,22974,32245,17.9028
24220,22838,32905,17.9033
24336,22804,33070,17.9039
24916,22634,33895,17.9043
23182,23535,28758,17.9714
23530,23433,29253,17.9723
23878,23331,29748,17.9731
24226,23229,30243,17.974
24574,23127,30738,17.9749
24922,23025,31233,17.9758
25270,22923,31728,17.9767
25850,22753,32553,17.9791
26198,22651,33048,17.98
26546,22549,33543,17.9809
21436,23654,28945,17.9999
21784,23552,29440,18.0008
22132,23450,29935,18.0017
22480,23348,30430,18.0026
22828,23246,30925,18.0034
23176,23144,31420,18.0043
23524,23042,31915,18.0052
24104,22872,32740,18.0068
24452,22770,33235,18.0077
24800,22668,33730,18.0086
