obj0,obj1,obj2,obj3,cpu
17914,10443,28353,23432,1.20222
16507,10018,28732,23744,1.21388
17189,10382,30145,22805,1.29203
17947,8998,28075,22644,1.36019
16540,8573,28454,22956,1.37172
14768,15832,24849,18546,1.9737
13701,15057,25758,19468,1.98145
14801,14387,24571,17758,2.19537
13734,13612,25480,18680,2.203
16149,18970,27693,17698,2.43064
18064,21125,20922,18334,2.54785
17632,20359,23165,17961,2.55029
16997,20350,21831,19256,2.55212
16565,19584,24074,18883,2.55427
20433,19792,21651,18857,2.56899
17825,19578,22140,17512,2.67238
17393,18812,24383,17139,2.67475
16758,18803,23049,18434,2.67691
20194,18245,22869,18035,2.69374
19762,17479,25112,17662,2.69866
17901,18383,22023,19176,2.79999
16834,17608,22932,20098,2.81
20270,17050,22752,19699,2.84747
19203,16275,23661,20621,2.87087
17662,16836,23241,18354,3.0241
16595,16061,24150,19276,3.03371
17170,13054,25300,18281,3.06318
20031,15503,23970,18877,3.07042
16103,12279,26209,19203,3.0865
21031,21880,20221,21523,3.16048
22477,18241,21075,23359,3.17603
23400,20547,20950,22046,3.18024
21250,17546,22464,24001,3.18906
20792,20333,21439,20701,3.23652
22238,16694,22293,22537,3.25168
21011,15999,23682,23179,3.26418
20868,19138,21322,22365,3.29252
19181,12948,25002,23571,3.3096
22314,15499,22176,24201,3.31754
23237,17805,22051,22888,3.32378
21087,14804,23565,24843,3.34729
17768,15142,23870,20947,3.43345
20629,17591,22540,21543,3.4376
19214,11503,24724,22783,3.44911
20137,13809,24599,21470,3.45292
22075,13952,23394,23379,3.45708
22998,16258,23269,22066,3.46288
17987,10808,26113,23425,3.4768
17709,18311,23079,19152,3.91762
17693,18305,23167,19150,3.91819
16642,17536,23988,20074,3.9296
16626,17530,24076,20072,3.93018
22122,15427,23232,24177,3.93334
22106,15421,23320,24175,3.93422
17534,16788,23945,18338,3.96686
17518,16782,24033,18336,3.96751
21947,13904,24098,23363,4.00228
21931,13898,24186,23361,4.00317
17805,18347,22551,19164,4.08871
17789,18341,22639,19162,4.08928
20772,19102,21850,22353,4.09624
20756,19096,21938,22351,4.09733
16738,17572,23460,20086,4.10559
16722,17566,23548,20084,4.10616
22218,15463,22704,24189,4.11072
22202,15457,22792,24187,4.11162
