obj0,obj1,obj2,obj3,cpu
27853,25583,37108,34283,1.49736
31314,24890,34284,28532,1.51821
29547,25058,32108,30220,1.52488
26526,26136,37640,35644,1.55421
28220,25611,32640,31581,1.57757
27569,24655,36440,35079,1.69456
29846,23957,38601,35664,1.70163
29601,25188,32415,28423,1.70778
31030,23962,33616,29328,1.715
29263,24130,31440,31016,1.72152
31540,23432,33601,31601,1.73104
27169,25739,37539,36422,1.74982
28863,25214,32539,32359,1.77256
21472,30768,31055,33165,2.513
23504,31301,27030,26509,2.53142
23166,30243,26055,29102,2.55165
19825,35481,40176,40205,2.57522
20145,31321,31587,34526,2.59416
22177,31854,27562,27870,2.61711
21839,30796,26587,30463,2.63035
21188,29840,30387,33961,2.8092
23220,30373,26362,27305,2.82745
24649,29147,27563,28210,2.83664
22882,29315,25387,29898,2.84772
20788,30924,31486,35304,2.88967
22820,31457,27461,28648,2.91164
22482,30399,26486,31241,2.92475
26927,34938,26294,23235,3.9365
28698,28038,28768,24064,4.04548
25683,31489,25673,23626,4.05602
30127,26812,29969,24969,4.06354
27112,30263,26874,24531,4.07367
28360,26980,27793,26657,4.08386
25345,30431,24698,26219,4.09805
25339,28058,33325,32081,4.16796
27371,28591,29300,25425,4.21651
24356,32042,26205,24987,4.2295
27033,27533,28325,28018,4.24156
24018,30984,25230,27580,4.25798
26382,26577,32125,31516,4.51471
28414,27110,28100,24860,4.55026
25399,30561,25005,24422,4.56045
29843,25884,29301,25765,4.56772
26828,29335,26206,25327,4.57776
28076,26052,27125,27453,4.58793
25061,29503,24030,27015,4.60126
30353,25354,29286,28038,4.61426
25982,27661,33224,32859,4.66929
28014,28194,29199,26203,4.71411
27676,27136,28224,28796,4.73865
31269,30934,28857,22312,5.03081
28254,34385,25762,21874,5.04088
32698,29708,30058,23217,5.04783
29683,33159,26963,22779,5.05765
27916,33327,24787,24467,5.08859
21901,32641,30795,29672,5.21364
29512,29806,29488,23791,5.25796
26497,33257,26393,23353,5.27395
19737,37495,38600,32388,5.38912
21916,37683,37243,29505,5.4001
20574,33194,31327,31033,5.43479
22991,33622,28282,27597,5.50608
25170,33810,26925,24714,5.51862
22653,32564,27307,30190,5.54813
24832,32752,25950,27307,5.56325
30985,30006,28189,23108,5.69003
27970,33457,25094,22670,5.69994
32414,28780,29390,24013,5.70687
29399,32231,26295,23575,5.71184
27632,32399,24119,25263,5.73268
26811,28450,31865,28023,5.79975
21617,31713,30127,30468,5.80393
20380,37098,38499,33166,5.97956
21217,32797,31226,31811,6.01495
30531,33212,27763,22334,6.17214
30630,33161,27850,22354,6.17445
21967,30513,31490,33265,6.20259
22066,30462,31577,33285,6.20353
26277,31183,26195,23746,6.21836
26376,31132,26282,23766,6.22171
20970,32990,31675,31113,6.285
21069,32939,31762,31133,6.28677
31201,29974,28897,23700,6.37728
31255,29966,29074,23848,6.37893
29257,32794,26225,22930,6.37958
29356,32743,26312,22950,6.382
27246,26449,34957,33884,6.39656
27300,26441,35134,34032,6.39819
22871,28973,31866,34301,6.40195
22970,28922,31953,34321,6.40285
28576,27086,28631,25304,6.41465
28630,27078,28808,25452,6.41721
26785,29847,26223,24702,6.42003
26884,29796,26310,24722,6.42328
24847,29045,27737,28250,6.42887
24946,28994,27824,28270,6.43047
28886,25932,29780,29673,6.43763
28940,25924,29957,29821,6.44111
29614,25847,31303,31258,6.44465
30677,25306,30348,28926,6.4542
30731,25298,30525,29074,6.45902
29046,33977,26458,22034,6.54715
29145,33926,26545,22054,6.54947
21868,30564,31403,33245,6.57777
23603,31250,27117,26529,6.59122
25881,31387,25847,23666,6.59462
25980,31336,25934,23686,6.59791
26695,33155,26567,23393,6.60298
26794,33104,26654,23413,6.60641
30397,26772,30854,25709,6.60756
28300,29651,27918,24771,6.6131
28399,29600,28005,24791,6.61636
26929,29615,26090,26539,6.62485
27028,29564,26177,26559,6.62891
20871,33041,31588,31093,6.66075
27425,28583,29477,25573,6.6656
27479,28575,29654,25721,6.66933
25269,33759,27012,24734,6.68671
27573,27453,30095,29498,6.69182
22334,30541,27022,30563,6.69733
22433,30490,27109,30583,6.70041
24117,30933,25317,27600,6.71015
24216,30882,25404,27620,6.71534
31039,29998,28366,23256,6.74372
29158,32845,26138,22910,6.74659
28622,31889,24989,25463,6.76009
26652,26537,33010,32256,6.76382
26706,26529,33187,32404,6.76542
21287,29789,30474,33981,6.77131
21386,29738,30561,34001,6.77223
24059,28361,32910,34541,6.77282
24158,28310,32997,34561,6.77375
28468,27102,28277,25008,6.78604
28522,27094,28454,25156,6.78867
28846,27046,29516,26044,6.7893
28900,27038,29693,26192,6.79181
24903,29506,27841,27645,6.79244
25002,29455,27928,27665,6.79403
26389,30051,25875,24622,6.79469
26488,30000,25962,24642,6.79789
30491,25788,31425,27541,6.80281
30545,25780,31602,27689,6.80518
24748,29096,27650,28230,6.80598
28508,25988,28541,28637,6.81719
28562,25980,28718,28785,6.82043
26248,27581,28345,30578,6.82529
26347,27530,28432,30598,6.82763
29713,25796,31390,31278,6.83067
27041,28483,25770,27415,6.83165
27140,28432,25857,27435,6.83549
30407,25346,29463,28186,6.84508
28947,34028,26371,22014,6.94343
30432,33263,27676,22314,6.94625
32752,29700,30235,23365,6.95353
28114,33225,24961,24507,6.95739
21769,30615,31316,33225,6.97447
29566,29798,29665,23939,6.98617
25782,31438,25760,23646,6.99242
26178,31234,26108,23726,6.99616
28851,29857,28457,24266,6.99991
28950,29806,28544,24286,7.00333
26596,33206,26480,23373,7.00781
30181,26804,30146,25117,7.01318
30235,26796,30323,25265,7.01569
27310,30161,27048,24571,7.02081
27409,30110,27135,24591,7.0241
28597,29498,28179,24831,7.02474
28696,29447,28266,24851,7.02802
25939,30125,25220,26339,7.03646
26038,30074,25307,26359,7.04031
20122,35328,40437,40265,7.05632
20739,31015,32109,34646,7.07702
20838,30964,32196,34666,7.07861
20673,33143,31414,31053,7.08196
20772,33092,31501,31073,7.08359
27695,28543,30362,26313,7.09407
27749,28535,30539,26461,7.0978
22474,31701,27823,27930,7.09852
22573,31650,27910,27950,7.10105
24752,31838,26553,25067,7.10539
24851,31787,26640,25087,7.11014
27303,27493,29210,28758,7.11784
27357,27485,29387,28906,7.12243
22235,30592,26935,30543,7.12844
22532,30439,27196,30603,7.13503
24315,30831,25491,27640,7.15538
31093,29990,28543,23404,7.18284
28069,33406,25181,22690,7.18585
28168,33355,25268,22710,7.18823
28424,31991,24815,25423,7.20174
28523,31940,24902,25443,7.20454
26544,26553,32656,31960,7.2056
26598,26545,32833,32108,7.2072
26976,26489,34072,33144,7.20786
27030,26481,34249,33292,7.20949
27408,26425,35488,34328,7.21018
27462,26417,35665,34476,7.2118
26865,28442,32042,28171,7.21466
22079,29381,31170,34141,7.21652
22178,29330,31257,34161,7.21746
23960,28412,32823,34521,7.21804
28792,27054,29339,25896,7.23744
23418,30271,26536,27345,7.24374
23517,30220,26623,27365,7.24538
26092,30204,25614,24562,7.24824
26191,30153,25701,24582,7.25149
26686,29898,26136,24682,7.25215
26983,29745,26397,24742,7.25605
27082,29694,26484,24762,7.25928
30437,25796,31248,27393,7.26032
27224,29131,26554,25407,7.2723
27323,29080,26641,25427,7.27592
28130,26044,27302,27601,7.28045
28184,26036,27479,27749,7.28386
28778,25948,29426,29377,7.28488
28832,25940,29603,29525,7.28813
29264,25876,31019,30709,7.28889
29318,25868,31196,30857,7.29208
23971,28754,26344,30118,7.29317
24070,28703,26431,30138,7.29557
26447,28789,25248,27295,7.30789
26546,28738,25335,27315,7.31178
27338,28330,26031,27475,7.31288
27437,28279,26118,27495,7.3168
30623,25314,30171,28778,7.3189
31001,25258,31410,29814,7.32401
31055,25250,31587,29962,7.32854
27784,27120,28578,29092,7.36387
27838,27112,28755,29240,7.36832
31323,30926,29034,22460,7.41896
31377,30918,29211,22608,7.42059
28650,34181,26110,21954,7.42127
28749,34130,26197,21974,7.42362
29541,33722,26893,22134,7.42648
29640,33671,26980,22154,7.42875
30729,33110,27937,22374,7.43372
29782,33108,27050,22799,7.43704
29881,33057,27137,22819,7.43935
28015,33276,24874,24487,7.44308
21670,30666,31229,33205,7.45787
23801,31148,27291,26569,7.47427
23900,31097,27378,26589,7.47594
