obj0,obj1,obj2,obj3,cpu
23545,28406,31811,31695,0
32117,31012,33947,28383,0
31231,30400,31732,28822,0
23566,26566,29811,31531,0
22479,28834,31460,32979,0
28808,28735,30547,29262,0
29972,29060,31753,28871,0
27922,28123,28332,29701,0
29086,28448,29538,29310,0
25791,25636,28609,30518,0
26955,25961,29815,30127,0
26829,26935,27382,31256,0
24958,26663,33136,29769,0
25015,27692,30847,30309,0
24182,26621,30963,31461,0
26178,33836,23906,33579,0
29951,30900,33753,29035,0
31147,30302,36417,28494,0
28288,27100,34536,28726,0
28345,28129,32247,29266,0
28551,28531,31059,29653,0
35178,33494,32223,27572,0
34670,35394,27426,29443,0
34292,32882,30008,28011,0
33784,34782,25211,29882,0
32161,30395,30285,28828,0
24979,24823,31136,29605,0
23892,27091,32785,31053,0
25036,25852,28847,30145,0
24203,24781,28963,31297,0
23116,27049,30612,32745,0
25242,26254,27659,30532,0
24155,28522,29308,31980,0
25241,26080,27736,32035,0
24154,28348,29385,33483,0
26199,31996,21906,33415,0
25112,34264,23555,34863,0
33033,31542,30029,28060,0
32525,33442,25232,29931,0
32147,30930,27814,28499,0
31639,32830,23017,30370,0
30016,28443,28091,29316,0
28376,30538,22144,32330,0
29508,30343,23294,31187,0
31054,29742,26864,30054,0
27655,32797,23311,31749,0
26122,26988,34342,29378,0
27648,33122,22942,32193,0
28780,32927,24092,31050,0
33012,33382,32029,28224,0
32126,32770,29814,28663,0
33864,36488,24976,29800,0
33057,31122,32840,28475,0
30953,32714,24655,29954,0
32138,31271,30535,28695,0
30946,33039,24286,30398,0
29002,28350,34223,28982,0
27676,30957,21311,31585,0
26589,33225,22960,33033,0
26143,25148,32342,29214,0
28714,32256,20084,32323,0
29993,29319,28341,29183,0
27669,31282,20942,32029,0
28801,31087,22092,30886,0
26200,26177,30053,29754,0
25367,25106,30169,30906,0
30199,29721,27153,29570,0
27875,31684,19754,32416,0
29007,31489,20904,31273,0
26788,33952,21403,33864,0
26406,26579,28865,30141,0
27331,31801,23056,32272,0
24730,26891,31017,31140,0
28787,32602,24461,30606,0
26815,32051,23058,33345,0
31719,34536,22782,30288,0
30912,29170,30646,28963,0
28808,30762,22461,30442,0
27267,30375,23023,32524,0
26180,32643,24672,33972,0
29846,32061,21234,31180,0
26836,30211,21058,33181,0
27968,30016,22208,32038,0
25749,32479,22707,34629,0
27260,30700,22654,32968,0
26427,29629,22770,34120,0
27591,29954,23976,33729,0
25340,31897,24419,35568,0
30198,29547,27230,31073,0
27874,31510,19831,33919,0
26787,33778,21480,35367,0
25790,31414,23618,34354,0
24703,33682,25267,35802,0
27967,29956,23856,33269,0
24097,28144,30580,31487,0
24171,28156,30622,31434,0
25414,31909,24461,35515,0
22923,28906,31712,32661,0
22997,28918,31754,32608,0
25369,33790,25645,35325,0
25443,33802,25687,35272,0
27033,33297,23212,32715,0
27107,33309,23254,32662,0
24410,27175,33079,30682,0
24484,27187,33121,30629,0
27100,33634,22885,33106,0
27174,33646,22927,33053,0
26045,32527,22875,34417,0
26119,32539,22917,34364,0
24985,28288,31084,30851,0
23338,27085,30738,32586,0
23412,27097,30780,32533,0
25488,31921,24503,35462,0
25562,31933,24545,35409,0
25186,34276,23597,34810,0
25260,34288,23639,34757,0
22627,28858,31544,32873,0
22701,28870,31586,32820,0
23219,28954,31880,32449,0
23293,28966,31922,32396,0
24777,33694,25309,35749,0
24851,33706,25351,35696,0
26737,33249,23044,32927,0
26811,33261,23086,32874,0
27329,33345,23380,32503,0
28535,33162,24572,31307,0
28609,33174,24614,31254,0
23966,27103,32827,31000,0
24040,27115,32869,30947,0
26804,33586,22717,33318,0
27248,33658,22969,33000,0
25823,32491,22749,34576,0
24763,28252,30958,31010,0
24837,28264,31000,30957,0
23264,27073,30696,32639,0
25408,34312,23723,34651,0
25482,34324,23765,34598,0
22553,28846,31502,32926,0
22849,28894,31670,32714,0
23071,28930,31796,32555,0
23367,28978,31964,32343,0
23441,28990,32006,32290,0
25295,33778,25603,35378,0
25517,33814,25729,35219,0
26663,33237,23002,32980,0
26885,33273,23128,32821,0
27181,33321,23296,32609,0
27255,33333,23338,32556,0
24336,27163,33037,30735,0
24558,27199,33163,30576,0
27322,33670,23011,32947,0
25971,32515,22833,34470,0
24393,28192,30748,31275,0
24467,28204,30790,31222,0
24911,28276,31042,30904,0
23190,27061,30654,32692,0
23560,27121,30864,32427,0
25636,31945,24587,35356,0
25334,34300,23681,34704,0
26000,34408,24059,34227,0
26074,34420,24101,34174,0
22775,28882,31628,32767,0
23145,28942,31838,32502,0
23515,29002,32048,32237,0
24925,33718,25393,35643,0
26959,33285,23170,32768,0
28165,33102,24362,31572,0
28239,33114,24404,31519,0
28683,33186,24656,31201,0
24188,27139,32953,30841,0
24262,27151,32995,30788,0
24854,27247,33331,30364,0
24928,27259,33373,30311,0
26730,33574,22675,33371,0
27026,33622,22843,33159,0
25897,32503,22791,34523,0
24541,28216,30832,31169,0
24615,28228,30874,31116,0
23486,27109,30822,32480,0
25710,31957,24629,35303,0
25926,34396,24017,34280,0
25147,33754,25519,35484,0
25221,33766,25561,35431,0
25665,33838,25813,35113,0
28387,33138,24488,31413,0
28461,33150,24530,31360,0
28757,33198,24698,31148,0
24114,27127,32911,30894,0
24632,27211,33205,30523,0
24706,27223,33247,30470,0
26193,32551,22959,34311,0
24689,28240,30916,31063,0
25556,34336,23807,34545,0
25630,34348,23849,34492,0
26148,34432,24143,34121,0
24999,33730,25435,35590,0
25073,33742,25477,35537,0
25591,33826,25771,35166,0
28313,33126,24446,31466,0
24780,27235,33289,30417,0
26395,29277,23730,34072,0
26391,29233,23850,34066,0
25778,34372,23933,34386,0
25852,34384,23975,34333,0
27147,29055,26623,32344,0
27143,29011,26743,32338,0
27228,30348,23614,32920,0
27224,30304,23734,32914,0
26399,29321,23610,34078,0
25704,34360,23891,34439,0
25714,30578,25898,34240,0
25710,30534,26018,34234,0
27947,29736,24456,33239,0
27943,29692,24576,33233,0
27263,30331,23143,32518,0
27256,30656,22774,32962,0
26403,29365,23490,34084,0
26323,28485,25890,33964,0
26319,28441,26010,33958,0
27551,29514,25176,33669,0
27547,29470,25296,33663,0
25484,31877,24623,35456,0
25480,31833,24743,35450,0
25754,31018,24698,34300,0
25750,30974,24818,34294,0
25694,30358,26498,34210,0
25690,30314,26618,34204,0
24673,32550,28429,35593,0
24669,32506,28549,35587,0
25365,33746,25765,35319,0
25395,33274,27127,35200,0
25391,33230,27247,35194,0
27951,29780,24336,33245,0
27851,28680,27336,33095,0
27235,30023,23983,32476,0
27231,29979,24103,32470,0
27123,28791,27343,32308,0
26198,32039,26394,33835,0
26194,31995,26514,33829,0
27232,30392,23494,32926,0
27108,29028,27214,32740,0
27104,28984,27334,32734,0
26407,29409,23370,34090,0
26367,28969,24570,34030,0
26363,28925,24690,34024,0
26307,28309,26370,33940,0
26303,28265,26490,33934,0
27563,29646,24816,33687,0
27559,29602,24936,33681,0
27479,28722,27336,33561,0
25316,31633,25139,35532,0
25312,31589,25259,35526,0
25310,30765,27581,35359,0
25474,30965,27185,35277,0
25470,30921,27305,35271,0
25786,31370,23738,34348,0
25742,30886,25058,34282,0
25738,30842,25178,34276,0
25702,30446,26258,34222,0
25698,30402,26378,34216,0
25674,30138,27098,34180,0
25670,30094,27218,34174,0
24677,32594,28309,35599,0
24823,33398,26191,35654,0
24819,33354,26311,35648,0
25345,33526,26365,35289,0
25341,33482,26485,35283,0
25399,33318,27007,35206,0
27963,29912,23976,33263,0
27859,28768,27096,33107,0
27855,28724,27216,33101,0
27239,30067,23863,32482,0
27203,29671,24943,32428,0
27199,29627,25063,32422,0
27127,28835,27223,32314,0
26232,31611,27636,33722,0
27412,30832,21031,33424,0
27476,30901,21028,33451,0
27236,30436,23374,32932,0
27196,29996,24574,32872,0
27192,29952,24694,32866,0
26415,29497,23130,34102,0
26411,29453,23250,34096,0
26387,29189,23970,34060,0
26327,28529,25770,33970,0
26315,28397,26130,33952,0
26311,28353,26250,33946,0
26299,28221,26610,33928,0
26295,28177,26730,33922,0
27587,29910,24096,33723,0
27583,29866,24216,33717,0
27555,29558,25056,33675,0
27543,29426,25416,33657,0
25320,31677,25019,35538,0
25244,30841,27299,35424,0
25240,30797,27419,35418,0
25350,31205,26381,35419,0
25346,31161,26501,35413,0
25388,30821,27503,35312,0
25384,30777,27623,35306,0
25546,31757,25025,35385,0
25542,31713,25145,35379,0
25540,30889,27467,35212,0
25536,30845,27587,35206,0
25305,26149,27733,32062,0
25758,31062,24578,34306,0
25746,30930,24938,34288,0
25722,30666,25658,34252,0
25718,30622,25778,34246,0
25706,30490,26138,34228,0
25682,30226,26858,34192,0
25678,30182,26978,34186,0
25658,29962,27578,34156,0
24655,33154,26707,35730,0
24651,33110,26827,35724,0
24713,32990,27229,35653,0
24709,32946,27349,35647,0
24665,32462,28669,35581,0
24661,32418,28789,35575,0
24827,33442,26071,35660,0
24799,33134,26911,35618,0
24795,33090,27031,35612,0
25349,33570,26245,35295,0
25309,33130,27445,35235,0
25305,33086,27565,35229,0
25407,33406,26767,35218,0
25403,33362,26887,35212,0
27955,29824,24216,33251,0
27899,29208,25896,33167,0
27895,29164,26016,33161,0
27243,30111,23743,32488,0
27219,29847,24463,32452,0
27215,29803,24583,32446,0
27159,29187,26263,32362,0
27155,29143,26383,32356,0
27139,28967,26863,32332,0
27135,28923,26983,32326,0
28335,29644,27109,31989,0
28331,29600,27229,31983,0
26128,32071,26232,33894,0
26124,32027,26352,33888,0
26178,31819,26994,33805,0
26174,31775,27114,33799,0
26412,31987,26760,33664,0
26470,31823,27282,33587,0
26466,31779,27402,33581,0
26552,31923,27084,33546,0
26548,31879,27204,33540,0
27284,30694,21037,33370,0
27348,30763,21034,33397,0
27540,30970,21025,33478,0
28032,30085,22205,32065,0
27244,30524,23134,32944,0
27240,30480,23254,32938,0
27208,30128,24214,32890,0
27204,30084,24334,32884,0
27140,29380,26254,32788,0
27136,29336,26374,32782,0
24267,24850,28960,31324,0
26423,29585,22890,34114,0
26419,29541,23010,34108,0
26371,29013,24450,34036,0
26359,28881,24810,34018,0
27575,29778,24456,33705,0
27571,29734,24576,33699,0
27483,28766,27216,33567,0
25324,31721,24899,35544,0
25260,31017,26819,35448,0
25256,30973,26939,35442,0
25208,30445,28379,35370,0
25204,30401,28499,35364,0
25394,31689,25061,35485,0
25390,31645,25181,35479,0
25334,31029,26861,35395,0
25330,30985,26981,35389,0
25392,30865,27383,35318,0
25554,31845,24785,35397,0
25550,31801,24905,35391,0
25530,31581,25505,35361,0
25526,31537,25625,35355,0
25466,30877,27425,35265,0
25572,31241,26507,35260,0
25568,31197,26627,35254,0
25634,31121,26909,35189,0
25630,31077,27029,35183,0
28002,31648,19825,33973,0
25762,31106,24458,34312,0
25726,30710,25538,34258,0
25686,30270,26738,34198,0
25666,30050,27338,34168,0
24659,33198,26587,35736,0
24599,32538,28387,35646,0
24595,32494,28507,35640,0
24741,33298,26389,35695,0
24737,33254,26509,35689,0
24697,32814,27709,35629,0
24693,32770,27829,35623,0
24843,33618,25591,35684,0
24839,33574,25711,35678,0
24803,33178,26791,35624,0
25223,32986,27763,35270,0
25219,32942,27883,35264,0
25357,33658,26005,35307,0
25353,33614,26125,35301,0
25317,33218,27205,35247,0
25313,33174,27325,35241,0
25439,33758,25807,35266,0
25513,33770,25849,35213,0
25509,33726,25969,35207,0
27959,29868,24096,33257,0
27927,29516,25056,33209,0
27923,29472,25176,33203,0
27871,28900,26736,33125,0
27867,28856,26856,33119,0
27251,30199,23503,32500,0
27247,30155,23623,32494,0
27227,29935,24223,32464,0
27211,29759,24703,32440,0
27207,29715,24823,32434,0
27191,29539,25303,32410,0
27187,29495,25423,32404,0
27151,29099,26503,32350,0
27131,28879,27103,32320,0
28367,29996,26149,32037,0
28363,29952,26269,32031,0
28327,29556,27349,31977,0
26132,32115,26112,33900,0
26120,31983,26472,33882,0
26116,31939,26592,33876,0
26186,31907,26754,33817,0
26182,31863,26874,33811,0
26166,31687,27354,33787,0
26162,31643,27474,33781,0
26474,31867,27162,33593,0
26964,30349,21052,33235,0
27028,30418,21049,33262,0
27248,30568,23014,32950,0
27212,30172,24094,32896,0
27200,30040,24454,32878,0
27152,29512,25894,32806,0
27148,29468,26014,32800,0
27120,29160,26854,32758,0
27116,29116,26974,32752,0
24395,24988,28954,31378,0
24459,25057,28951,31405,0
26383,29145,24090,34054,0
26331,28573,25650,33976,0
25815,25589,30148,31095,0
27579,29822,24336,33711,0
27567,29690,24696,33693,0
27487,28810,27096,33573,0
25328,31765,24779,35550,0
25308,31545,25379,35520,0
25304,31501,25499,35514,0
25248,30885,27179,35430,0
25212,30489,28259,35376,0
25200,30357,28619,35358,0
25196,30313,28739,35352,0
25398,31733,24941,35491,0
25378,31513,25541,35461,0
25374,31469,25661,35455,0
