obj0,obj1,obj2,cpu
35538,32184,44472,9.16048
34445,33595,42184,9.16812
35684,32555,44416,9.24321
34591,33966,42128,9.25033
40049,34608,36650,16.6166
40696,33430,38242,16.6239
44947,34516,37334,16.6297
40108,34303,38002,16.6456
40842,33801,38186,16.7735
44391,36062,35212,21.4225
35096,37340,40760,23.8677
33163,36191,46555,23.9346
32070,37602,44267,23.9394
32483,39291,42931,23.9488
42302,31907,42824,23.9839
34858,35284,40848,24.0231
40462,36297,35314,24.0995
35857,33217,38910,24.1243
35604,34768,38582,24.1304
36270,34906,37574,24.1342
36017,36457,37246,24.1414
33309,36562,46499,24.1909
32216,37973,44211,24.1954
32629,39662,42875,24.2045
42448,32278,42768,24.239
35004,35655,40792,24.2778
36003,33588,38854,24.3756
35750,35139,38526,24.3817
36416,35277,37518,24.3855
36163,36828,37190,24.3924
32434,43654,42984,31.0096
33100,43792,41976,31.0191
32847,45343,41648,31.0216
32721,41347,42843,31.2201
32468,42898,42515,31.222
33134,43036,41507,31.2316
32881,44587,41179,31.234
46553,32993,41916,31.4881
33482,37224,40993,31.6027
33229,38775,40665,31.6048
33895,38913,39657,31.6145
33642,40464,39329,31.617
37096,34961,36222,31.7065
41347,36047,35314,31.734
33628,37595,40937,31.9737
33375,39146,40609,31.9757
34041,39284,39601,31.9847
33788,40835,39273,31.9872
37242,35332,36166,32.0746
45630,37806,32524,34.7118
49881,38892,31616,34.7159
45776,38177,32468,34.8264
50027,39263,31560,34.8302
35677,48114,36247,35.8091
38052,44107,34164,35.894
35823,48485,36191,35.9773
38198,44478,34108,36.0602
34373,44780,38819,36.3291
34120,46331,38491,36.3327
41269,32037,44070,36.5641
46190,41886,30798,36.6095
35987,40623,36575,36.6115
36400,42312,35239,36.6171
43264,42150,31328,36.6209
34721,38968,38305,36.6545
34468,40519,37977,36.6574
35134,40657,36969,36.6709
34881,42208,36641,36.6745
41288,36352,33962,36.7267
45539,37438,33054,36.7308
41701,38041,32626,36.7346
45952,39127,31718,36.7402
38362,36616,34492,36.7429
42613,37702,33584,36.7469
38775,38305,33156,36.7505
43026,39391,32248,36.7554
41935,35174,35554,36.759
46186,36260,34646,36.7787
36843,36512,35894,36.8094
37509,36650,34886,36.8207
37256,38201,34558,36.8313
41415,32408,44014,36.9428
46336,42257,30742,36.9807
36133,40994,36519,36.9826
36546,42683,35183,36.9881
43410,42521,31272,36.9916
34867,39339,38249,37.0241
34614,40890,37921,37.0269
35280,41028,36913,37.0401
35027,42579,36585,37.0436
41434,36723,33906,37.0891
41847,38412,32570,37.0964
46098,39498,31662,37.1014
38508,36987,34436,37.1042
38921,38676,33100,37.1115
43172,39762,32192,37.116
42081,35545,35498,37.1197
36989,36883,35838,37.1689
37655,37021,34830,37.1795
37402,38572,34502,37.1897
34390,34140,42664,38.2697
34379,34249,42760,38.2709
42862,42342,31790,38.3101
42795,42374,31867,38.3114
35846,33326,39006,38.4742
35835,33435,39102,38.4754
37041,35506,36702,38.4804
37030,35615,36798,38.4819
36733,37602,36854,38.4942
36722,37711,36950,38.4958
36204,35560,38150,38.5016
36193,35669,38246,38.5033
35527,32293,44568,38.8801
34434,33704,42280,38.897
34423,33813,42376,38.8983
34368,34358,42856,38.8989
34357,34467,42952,38.9005
34847,35393,40944,38.9139
43063,42246,31559,38.9416
42996,42278,31636,38.9428
42527,42502,32175,38.944
42460,42534,32252,38.9453
38698,39068,33828,39.0862
38687,39177,33924,39.0877
41924,35283,35650,39.1026
41913,35392,35746,39.1041
35736,34416,39966,39.1149
35725,34525,40062,39.1161
37052,35397,36606,39.1229
35461,36185,39830,39.135
35450,36294,39926,39.1361
36755,37384,36662,39.1405
36744,37493,36758,39.142
36259,35015,37670,39.1508
35962,37002,37726,39.1763
35951,37111,37822,39.1781
38041,44216,34260,39.5002
42203,32888,43688,39.5482
34401,34031,42568,39.5762
34346,34576,43048,39.5807
34814,35720,41232,39.5975
34803,35829,41328,39.5998
43130,42214,31482,39.6223
42929,42310,31713,39.6244
42728,42406,31944,39.6273
38764,38414,33252,39.7574
40663,33757,38530,39.773
35769,34089,39678,39.7885
35758,34198,39774,39.7897
37063,35288,36510,39.8017
36975,36160,37278,39.8042
35560,35204,38966,39.8174
35549,35313,39062,39.8186
35384,36948,40502,39.8193
35373,37057,40598,39.8204
36832,36621,35990,39.826
36821,36730,36086,39.8275
36248,35124,37766,39.839
36182,35778,38342,39.8413
35995,36675,37438,39.869
35984,36784,37534,39.8707
35940,37220,37918,39.8713
35929,37329,38014,39.873
37113,39618,35806,39.8806
40041,34335,38079,39.8974
42280,32125,43016,40.2186
42269,32234,43112,40.2193
