obj0,obj1,obj2,obj3,cpu
54124,50689,32288,31190,19.8683
38971,23664,31893,41655,22.0008
54670,50725,32929,30515,33.9289
39244,22932,33969,41597,36.579
37543,23722,30480,39659,36.5947
36351,25224,35417,43699,36.8105
39517,23700,32534,40980,36.9863
51761,49338,33716,31294,47.1738
50326,40992,29475,31917,49.7326
41936,34413,30941,35285,49.8688
46802,39419,29544,33393,49.9228
39757,26534,27376,36932,49.957
37952,27209,27937,38602,50.0119
40930,28746,27227,37801,50.0367
36624,24492,37493,43641,50.7279
34923,25282,34004,41703,50.7393
39790,22968,34610,40922,51.0041
38089,23758,31121,38984,51.0181
37718,24855,30256,39869,51.5397
44190,46553,34266,32615,63.4429
43644,46517,33625,33290,63.584
42482,34449,31582,34610,66.9821
47348,39455,30185,32718,67.008
40303,26570,28017,36257,67.0194
51959,48835,32399,30945,67.2099
40404,43993,33656,33020,67.2191
36779,24997,28086,37733,67.3279
49780,40956,28834,32592,67.3455
38225,36114,30091,34667,67.3565
34628,29360,30199,37117,67.3772
47380,40921,29250,34437,67.4352
36900,36749,30587,36537,67.4418
50358,42458,28540,33636,67.4623
39878,38286,29877,35736,67.4751
34159,26557,31610,39777,83.6051
39573,33062,32369,35389,83.8236
52505,48871,33040,30270,83.848
37325,25033,28727,37058,83.9285
38771,36150,30732,33992,83.9365
35174,29396,30840,36442,83.9478
49050,47448,33186,31724,84.1384
37495,42606,34443,33799,84.1517
33898,35852,34551,36249,84.18
35247,34577,30801,35468,84.3849
31650,27823,30909,37918,84.3936
38264,24891,30897,39194,86.1652
34115,25758,36792,41782,86.7248
32414,26548,33303,39844,86.7756
32589,27681,33079,40054,86.8011
28981,30581,36862,41180,92.8754
31278,37412,38075,38293,93.3634
29030,29383,34433,39962,93.4277
49596,47484,33827,31049,93.5214
38041,42642,35084,33124,93.5301
34444,35888,35192,35574,93.5501
40950,44029,34297,32345,93.5846
35793,34613,31442,34793,93.6741
32196,27859,31550,37243,93.6804
31495,27318,40316,43826,94.3529
29794,28108,36827,41888,94.3723
29969,29241,36603,42098,94.3792
34661,25794,37433,41107,94.5655
32960,26584,33944,39169,94.6056
49570,47568,33933,31124,95.4822
38015,42726,35190,33199,95.4862
39547,33146,32475,35464,95.493
34418,35972,35298,35649,95.4976
52479,48955,33146,30345,95.5
40924,44113,34403,32420,95.5059
42456,34533,31688,34685,95.5148
37299,25117,28833,37133,95.5399
32170,27943,31656,37318,95.5432
50300,41076,29581,31992,95.5455
38745,36234,30838,34067,95.5511
40277,26654,28123,36332,95.5575
35148,29480,30946,36517,95.5669
49025,47532,33280,31811,95.5946
37470,42690,34537,33886,95.5968
