obj0,obj1,obj2,obj3,obj4,cpu
10027,10277,12874,12371,11868,0.0421643
8156,11618,13242,11488,9584,0.0483165
10724,16021,14287,9466,7618,0.0525735
8626,13971,12910,10733,9394,0.0613822
9607,15932,15877,10065,7154,0.0654723
7509,13882,14500,11332,8930,0.0765527
8424,15446,10941,7799,11689,0.0821214
8637,10668,11026,11488,14749,0.0858572
7236,14362,11062,9850,12275,0.0931119
7307,15357,12531,8398,11225,0.098522
6766,12009,11394,10605,12465,0.102191
6119,14273,12652,10449,11811,0.109778
8782,14168,13041,10801,9386,0.116836
7665,14079,14631,11400,8922,0.126352
8938,14365,13172,10869,9378,0.134536
7301,14431,11169,9906,12190,0.136783
7821,14276,14762,11468,8914,0.146214
6184,14342,12759,10505,11726,0.148497
9094,14562,13303,10937,9370,0.156321
7366,14500,11276,9962,12105,0.159053
7977,14473,14893,11536,8906,0.16528
6249,14411,12866,10561,11641,0.167877
9250,14759,13434,11005,9362,0.178725
7431,14569,11383,10018,12020,0.185228
8133,14670,15024,11604,8898,0.195398
6314,14480,12973,10617,11556,0.201787
9406,14956,13565,11073,9354,0.213527
7496,14638,11490,10074,11935,0.224589
8289,14867,15155,11672,8890,0.234152
6379,14549,13080,10673,11471,0.245171
10699,17861,14686,9759,8714,0.245721
9562,15153,13696,11141,9346,0.257912
7561,14707,11597,10130,11850,0.276106
9582,17772,16276,10358,8250,0.276703
8131,13458,13641,11781,10680,0.279075
8445,15064,15286,11740,8882,0.287235
6444,14618,13187,10729,11386,0.303284
10634,17792,14579,9703,8799,0.304571
10018,11331,15166,13469,12754,0.308784
9718,15350,13827,11209,9338,0.321355
7626,14776,11704,10186,11765,0.347761
9517,17703,16169,10302,8335,0.348371
8066,13389,13534,11725,10765,0.350809
8147,12672,15534,12586,10470,0.352033
8601,15261,15417,11808,8874,0.360413
6509,14687,13294,10785,11301,0.383959
10569,17723,14472,9647,8884,0.384533
9872,11979,13059,12552,13134,0.38722
9989,11386,15119,13412,12684,0.388488
9874,15547,13958,11277,9330,0.397889
7691,14845,11811,10242,11680,0.430349
9452,17634,16062,10246,8420,0.430913
8001,13320,13427,11669,10850,0.433473
8118,12727,15487,12529,10400,0.43475
8757,15458,15548,11876,8866,0.444336
6574,14756,13401,10841,11216,0.471357
10504,17654,14365,9591,8969,0.471956
9807,11910,12952,12496,13219,0.474652
9960,11441,15072,13355,12614,0.476016
10030,15744,14089,11345,9322,0.486435
7756,14914,11918,10298,11595,0.516811
9387,17565,15955,10190,8505,0.517402
7936,13251,13320,11613,10935,0.520034
8089,12782,15440,12472,10330,0.521468
8913,15655,15679,11944,8858,0.531594
6757,13063,13686,11703,13351,0.532215
6639,14825,13508,10897,11131,0.561642
10439,17585,14258,9535,9054,0.562237
9742,11841,12845,12440,13304,0.564835
9931,11496,15025,13298,12544,0.5661
10186,15941,14220,11413,9314,0.578218
7821,14983,12025,10354,11510,0.609166
9322,17496,15848,10134,8590,0.610016
7871,13182,13213,11557,11020,0.612765
8060,12837,15393,12415,10260,0.614123
9069,15852,15810,12012,8850,0.625548
6728,13118,13639,11646,13281,0.626188
6704,14894,13615,10953,11046,0.659081
10374,17516,14151,9479,9139,0.659678
9677,11772,12738,12384,13389,0.662224
9902,11551,14978,13241,12474,0.663473
10342,16138,14351,11481,9306,0.676889
8570,11832,13224,12472,15495,0.677517
7886,15052,12132,10410,11425,0.708471
9257,17427,15741,10078,8675,0.70924
7806,13113,13106,11501,11105,0.712001
8031,12892,15346,12358,10190,0.713369
9225,16049,15941,12080,8842,0.726084
6699,13173,13592,11589,13211,0.726755
6764,13242,13699,11645,13126,0.732776
6769,14963,13722,11009,10961,0.763254
10309,17447,14044,9423,9224,0.763912
9612,11703,12631,12328,13474,0.766481
9873,11606,14931,13184,12404,0.767747
10498,16335,14482,11549,9298,0.782521
8541,11887,13177,12415,15425,0.783184
7951,15121,12239,10466,11340,0.817747
9192,17358,15634,10022,8760,0.818446
7741,13044,12999,11445,11190,0.822101
8002,12947,15299,12301,10120,0.823527
9381,16246,16072,12148,8834,0.83761
6670,13228,13545,11532,13141,0.838329
6735,13297,13652,11588,13056,0.844508
6834,15032,13829,11065,10876,0.878505
10244,17378,13937,9367,9309,0.87913
9547,11634,12524,12272,13559,0.881834
8512,11942,13130,12358,15355,0.899104
8016,15190,12346,10522,11255,0.932691
9127,17289,15527,9966,8845,0.933302
7676,12975,12892,11389,11275,0.936184
7973,13002,15252,12244,10050,0.937898
9537,16443,16203,12216,8826,0.953401
6641,13283,13498,11475,13071,0.954055
6706,13352,13605,11531,12986,0.959898
6899,15101,13936,11121,10791,0.997596
10179,17309,13830,9311,9394,0.998349
9482,11565,12417,12216,13644,1.00087
8483,11997,13083,12301,15285,1.01735
8081,15259,12453,10578,11170,1.05252
9062,17220,15420,9910,8930,1.05342
7611,12906,12785,11333,11360,1.05613
7944,13057,15205,12187,9980,1.05764
6612,13338,13451,11418,13001,1.07445
6677,13407,13558,11474,12916,1.08074
6964,15170,14043,11177,10706,1.12289
10114,17240,13723,9255,9479,1.12353
9417,11496,12310,12160,13729,1.12606
8146,15328,12560,10634,11085,1.18004
8997,17151,15313,9854,9015,1.18077
7546,12837,12678,11277,11445,1.18339
7915,13112,15158,12130,9910,1.18476
6583,13393,13404,11361,12931,1.20078
6648,13462,13511,11417,12846,1.20704
6742,13476,13665,11530,12831,1.21209
7029,15239,14150,11233,10621,1.25221
10049,17171,13616,9199,9564,1.25306
9352,11427,12203,12104,13814,1.25576
8211,15397,12667,10690,11000,1.31127
8932,17082,15206,9798,9100,1.31203
7481,12768,12571,11221,11530,1.31468
7886,13167,15111,12073,9840,1.3161
6554,13448,13357,11304,12861,1.33301
6619,13517,13464,11360,12776,1.3394
6713,13531,13618,11473,12761,1.34458
7094,15308,14257,11289,10536,1.38754
9984,17102,13509,9143,9649,1.38825
9287,11358,12096,12048,13899,1.39081
8276,15466,12774,10746,10915,1.44799
8867,17013,15099,9742,9185,1.44866
7416,12699,12464,11165,11615,1.45145
7857,13222,15064,12016,9770,1.45334
6525,13503,13310,11247,12791,1.4703
6590,13572,13417,11303,12706,1.47654
6684,13586,13571,11416,12691,1.48175
7159,15377,14364,11345,10451,1.52358
9919,17033,13402,9087,9734,1.52422
9222,11289,11989,11992,13984,1.52678
8341,15535,12881,10802,10830,1.58446
8802,16944,14992,9686,9270,1.58514
