obj0,obj1,obj2,obj3,obj4,cpu
10027,10277,12874,12371,11868,0.0413943
8156,11618,13242,11488,9584,0.0499041
10724,16021,14287,9466,7618,0.0539685
8626,13971,12910,10733,9394,0.0628847
9607,15932,15877,10065,7154,0.0669564
7509,13882,14500,11332,8930,0.0747232
8424,15446,10941,7799,11689,0.082547
8637,10668,11026,11488,14749,0.086173
7236,14362,11062,9850,12275,0.0924373
7307,15357,12531,8398,11225,0.0986345
6766,12009,11394,10605,12465,0.102158
6119,14273,12652,10449,11811,0.109037
9724,16826,13081,8919,9989,0.112488
9789,16895,13188,8975,9904,0.113361
10186,15941,14220,11413,9314,0.116384
10342,16138,14351,11481,9306,0.118149
9582,17772,16276,10358,8250,0.120952
7977,14473,14893,11536,8906,0.127703
8133,14670,15024,11604,8898,0.129604
6704,14894,13615,10953,11046,0.130117
6769,14963,13722,11009,10961,0.131958
9074,16136,12011,8359,10839,0.132491
9139,16205,12118,8415,10754,0.133434
10569,17723,14472,9647,8884,0.133926
10634,17792,14579,9703,8799,0.134927
9092,11151,11775,11880,14154,0.136678
9157,11220,11882,11936,14069,0.137567
9562,15153,13696,11141,9346,0.138078
9718,15350,13827,11209,9338,0.140076
10498,16335,14482,11549,9298,0.141377
7561,14707,11597,10130,11850,0.145432
7626,14776,11704,10186,11765,0.147201
7957,16047,13601,8958,10375,0.147764
8022,16116,13708,9014,10290,0.148706
9248,12997,14159,11964,9528,0.149208
9404,13194,14290,12032,9520,0.150177
7871,13182,13213,11557,11020,0.150778
7936,13251,13320,11613,10935,0.151782
7665,14079,14631,11400,8922,0.153968
9069,15852,15810,12012,8850,0.154529
9225,16049,15941,12080,8842,0.156371
6639,14825,13508,10897,11131,0.157018
7159,15377,14364,11345,10451,0.162033
7224,15446,14471,11401,10366,0.163911
8944,15998,11797,8247,11009,0.164492
9009,16067,11904,8303,10924,0.165419
9334,16412,12439,8583,10499,0.165912
9399,16481,12546,8639,10414,0.166852
10049,17171,13616,9199,9564,0.167403
10114,17240,13723,9255,9479,0.168347
10699,17861,14686,9759,8714,0.169647
10183,10474,13005,12439,11860,0.170852
8897,10944,11454,11712,14409,0.171385
8962,11013,11561,11768,14324,0.172329
9094,14562,13303,10937,9370,0.174794
9250,14759,13434,11005,9362,0.178257
10030,15744,14089,11345,9322,0.179388
7366,14500,11276,9962,12105,0.183525
7431,14569,11383,10018,12020,0.185314
7821,14983,12025,10354,11510,0.185896
7886,15052,12132,10410,11425,0.187709
7567,15633,12959,8622,10885,0.188335
7632,15702,13066,8678,10800,0.189373
8087,16185,13815,9070,10205,0.19015
8152,16254,13922,9126,10120,0.192265
8780,12406,13766,11760,9552,0.1938
8936,12603,13897,11828,9544,0.194828
7611,12906,12785,11333,11360,0.196713
7676,12975,12892,11389,11275,0.197735
7821,14276,14762,11468,8914,0.200037
8913,15655,15679,11944,8858,0.202098
